,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,23508665.0,6445033.33370725,3.07,0.7543,0.2457,1.7632,0.6381,0.3619,2.635,0.7249,0.2751,,,,,,,
1,1715287200000,23578321.0,6502105.87081588,2.873,0.7418,0.2582,1.7443,0.6356,0.3644,2.5562,0.7188,0.2812,,,,,,,
2,1715287500000,24281860.0,6735787.964,2.8329,0.7391,0.2609,1.722,0.6326,0.3674,2.5211,0.716,0.284,,,,,,,
3,1715287800000,24608262.0,6853400.967,2.876,0.742,0.258,1.7168,0.6319,0.3681,2.5613,0.7192,0.2808,,,,,,,
4,1715288100000,24287318.0,6751265.76381092,2.885,0.7426,0.2574,1.7108,0.6311,0.3689,2.5562,0.7188,0.2812,,,,,,,
5,1715288400000,24270267.0,6751988.2794,2.7922,0.7363,0.2637,1.6598,0.624,0.376,2.5236,0.7162,0.2838,,,,,,,
6,1715288700000,24586948.0,6931894.63047616,2.8212,0.7383,0.2617,1.6663,0.6249,0.3751,2.5499,0.7183,0.2817,,,,,,,
7,1715289000000,24615600.0,6956828.87172,2.7202,0.7312,0.2688,1.594,0.6145,0.3855,2.4698,0.7118,0.2882,,,,,,,
8,1715289300000,24737700.0,7057368.462846,2.8139,0.7378,0.2622,1.5823,0.6127,0.3873,2.5702,0.7199,0.2801,,,,,,,
9,1715289600000,24214487.0,6800896.80038142,2.8491,0.7402,0.2598,1.5986,0.6152,0.3848,2.5804,0.7207,0.2793,,,,,,,
10,1715289900000,24085866.0,6760040.07133854,2.861,0.741,0.259,1.6109,0.617,0.383,2.5625,0.7193,0.2807,,,,,,,
11,1715290200000,24013962.0,6735916.341,2.8491,0.7402,0.2598,1.6144,0.6175,0.3825,2.5486,0.7182,0.2818,,,,,,,
12,1715290500000,24012032.0,6737582.16198144,2.9017,0.7437,0.2563,1.6207,0.6184,0.3816,2.5907,0.7215,0.2785,,,,,,,
13,1715290800000,23953581.0,6687839.8152,2.9078,0.7441,0.2559,1.6175,0.618,0.382,2.5855,0.7211,0.2789,,,,,,,
14,1715291100000,23909158.0,6670848.50708822,2.9231,0.7451,0.2549,1.6176,0.618,0.382,2.592,0.7216,0.2784,,,,,,,
15,1715291400000,23885695.0,6656786.74519775,2.8971,0.7434,0.2566,1.6211,0.6185,0.3815,2.5714,0.72,0.28,,,,,,,
16,1715291700000,23826939.0,6685839.0834,2.9047,0.7439,0.2561,1.6208,0.6184,0.3816,2.5663,0.7196,0.2804,,,,,,,
17,1715292000000,23829866.0,6647904.93532956,2.9124,0.7444,0.2556,1.6199,0.6183,0.3817,2.5613,0.7192,0.2808,,,,,,,
18,1715292300000,23792639.0,6640763.94714278,2.8971,0.7434,0.2566,1.6221,0.6186,0.3814,2.5486,0.7182,0.2818,,,,,,,
19,1715292600000,23812224.0,6662546.92901376,2.8685,0.7415,0.2585,1.6169,0.6179,0.3821,2.5537,0.7186,0.2814,,,,,,,
20,1715292900000,23882050.0,6697144.887454,2.9231,0.7451,0.2549,1.6214,0.6185,0.3815,2.5804,0.7207,0.2793,,,,,,,
21,1715293200000,23882199.0,6718066.39985184,2.9154,0.7446,0.2554,1.6247,0.619,0.381,2.5689,0.7198,0.2802,,,,,,,
