,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,15577305.0,12630078.894,2.5311,0.7168,0.2832,1.4374,0.5897,0.4103,2.3647,0.7028,0.2972,,,,,,,
1,1715287200000,15571886.0,12664614.8838,2.5211,0.716,0.284,1.4375,0.5897,0.4103,2.3636,0.7027,0.2973,,,,,,,
2,1715287500000,15573268.0,12656597.20035132,2.5261,0.7164,0.2836,1.4375,0.5897,0.4103,2.3693,0.7032,0.2968,,,,,,,
3,1715287800000,15569107.0,12666680.13240674,2.5211,0.716,0.284,1.4378,0.5898,0.4102,2.367,0.703,0.297,,,,,,,
4,1715288100000,15563889.0,12659667.3126,2.5162,0.7156,0.2844,1.4369,0.5896,0.4104,2.375,0.7037,0.2963,,,,,,,
5,1715288400000,15561176.0,12657003.68227264,2.5323,0.7169,0.2831,1.4361,0.5895,0.4105,2.4037,0.7062,0.2938,,,,,,,
6,1715288700000,15557066.0,12697644.44379074,2.5286,0.7166,0.2834,1.4374,0.5897,0.4103,2.399,0.7058,0.2942,,,,,,,
7,1715289000000,15554690.0,12729958.296,2.5486,0.7182,0.2818,1.4371,0.5897,0.4103,2.4095,0.7067,0.2933,,,,,,,
8,1715289300000,15538027.0,12683102.5488767,2.5398,0.7175,0.2825,1.4381,0.5898,0.4102,2.3956,0.7055,0.2945,,,,,,,
9,1715289600000,15527178.0,12639122.892,2.5562,0.7188,0.2812,1.4392,0.59,0.41,2.4329,0.7087,0.2913,,,,,,,
10,1715289900000,15520456.0,12621234.8192,2.5791,0.7206,0.2794,1.4415,0.5904,0.4096,2.4106,0.7068,0.2932,,,,,,,
11,1715290200000,15517141.0,12606125.3484,2.5778,0.7205,0.2795,1.4427,0.5906,0.4094,2.4258,0.7081,0.2919,,,,,,,
12,1715290500000,15519625.0,12600619.90138875,2.5804,0.7207,0.2793,1.4426,0.5906,0.4094,2.4176,0.7074,0.2926,,,,,,,
13,1715290800000,15523008.0,12605112.32809152,2.5689,0.7198,0.2802,1.4437,0.5908,0.4092,2.3956,0.7055,0.2945,,,,,,,
14,1715291100000,15516799.0,12602744.1478,2.5663,0.7196,0.2804,1.4429,0.5907,0.4093,2.4014,0.706,0.294,,,,,,,
15,1715291400000,15515436.0,12598577.32006644,2.5689,0.7198,0.2802,1.4425,0.5906,0.4094,2.4048,0.7063,0.2937,,,,,,,
16,1715291700000,15520888.0,12628991.60289144,2.56,0.7191,0.2809,1.4421,0.5905,0.4095,2.4083,0.7066,0.2934,,,,,,,
17,1715292000000,15515881.0,12629724.18627652,2.5663,0.7196,0.2804,1.4424,0.5906,0.4094,2.4223,0.7078,0.2922,,,,,,,
