,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,56805668.0,24824076.916,4.3277,0.8123,0.1877,2.3948,0.7054,0.2946,3.6211,0.7836,0.2164,,,,,,,
1,1715287200000,56861047.0,24882394.1672,4.3277,0.8123,0.1877,2.3877,0.7048,0.2952,3.6211,0.7836,0.2164,,,,,,,
2,1715287500000,56853955.0,24862234.5215,4.3135,0.8118,0.1882,2.3867,0.7047,0.2953,3.6168,0.7834,0.2166,,,,,,,
3,1715287800000,56836427.0,24854569.5271,4.3333,0.8125,0.1875,2.3879,0.7048,0.2952,3.6275,0.7839,0.2161,,,,,,,
4,1715288100000,56840608.0,24856397.8784,4.3362,0.8126,0.1874,2.3884,0.7049,0.2951,3.6275,0.7839,0.2161,,,,,,,
5,1715288400000,56813137.0,24865396.01255671,4.3419,0.8128,0.1872,2.3903,0.705,0.295,3.6339,0.7842,0.2158,,,,,,,
6,1715288700000,56822915.0,24921312.80393155,4.3476,0.813,0.187,2.3899,0.705,0.295,3.662,0.7855,0.2145,,,,,,,
7,1715289000000,56809174.0,24939227.386,4.3362,0.8126,0.1874,2.3915,0.7051,0.2949,3.6598,0.7854,0.2146,,,,,,,
8,1715289300000,56841071.0,24904862.39645397,4.322,0.8121,0.1879,2.3915,0.7051,0.2949,3.6533,0.7851,0.2149,,,,,,,
9,1715289600000,56845306.0,24886874.9668,4.305,0.8115,0.1885,2.39,0.705,0.295,3.6275,0.7839,0.2161,,,,,,,
10,1715289900000,56822998.0,24862630.0245096,4.305,0.8115,0.1885,2.3907,0.7051,0.2949,3.6382,0.7844,0.2156,,,,,,,
11,1715290200000,56822347.0,24861476.93712224,4.3022,0.8114,0.1886,2.3898,0.705,0.295,3.6404,0.7845,0.2155,,,,,,,
12,1715290500000,56799602.0,24861185.7954,4.322,0.8121,0.1879,2.3912,0.7051,0.2949,3.6382,0.7844,0.2156,,,,,,,
13,1715290800000,56780290.0,24852121.9770796,4.3277,0.8123,0.1877,2.3902,0.705,0.295,3.6382,0.7844,0.2156,,,,,,,
14,1715291100000,56783159.0,24854217.53043077,4.3135,0.8118,0.1882,2.3888,0.7049,0.2951,3.6168,0.7834,0.2166,,,,,,,
15,1715291400000,56774688.0,24855958.4064,4.322,0.8121,0.1879,2.3892,0.7049,0.2951,3.6232,0.7837,0.2163,,,,,,,
16,1715291700000,56755232.0,24915546.848,4.3362,0.8126,0.1874,2.3901,0.705,0.295,3.6382,0.7844,0.2156,,,,,,,
17,1715292000000,56760275.0,24906408.67,4.3191,0.812,0.188,2.3924,0.7052,0.2948,3.6296,0.784,0.216,,,,,,,
18,1715292300000,56798455.0,24923162.054,4.3107,0.8117,0.1883,2.3912,0.7051,0.2949,3.6189,0.7835,0.2165,,,,,,,
19,1715292600000,56829364.0,24953773.7324,4.2966,0.8112,0.1888,2.3919,0.7052,0.2948,3.5914,0.7822,0.2178,,,,,,,
20,1715292900000,56738164.0,24947988.01796812,4.277,0.8105,0.1895,2.3956,0.7055,0.2945,3.5872,0.782,0.218,,,,,,,
21,1715293200000,56768742.0,24995277.1026,4.2549,0.8097,0.1903,2.3945,0.7054,0.2946,3.5641,0.7809,0.2191,,,,,,,
22,1715293500000,56742599.0,24973081.14088231,4.2715,0.8103,0.1897,2.3953,0.7055,0.2945,3.5725,0.7813,0.2187,,,,,,,
23,1715293800000,56746738.0,25051530.15335814,4.2798,0.8106,0.1894,2.3934,0.7053,0.2947,3.5767,0.7815,0.2185,,,,,,,
24,1715294100000,56549734.0,24955397.6142,4.2798,0.8106,0.1894,2.4058,0.7064,0.2936,3.5788,0.7816,0.2184,,,,,,,
25,1715294400000,56512003.0,24972654.1257,4.3277,0.8123,0.1877,2.4063,0.7064,0.2936,3.6147,0.7833,0.2167,,,,,,,
26,1715294700000,56406617.0,25005053.3161,4.322,0.8121,0.1879,2.4095,0.7067,0.2933,3.6147,0.7833,0.2167,,,,,,,
27,1715295000000,56411976.0,25117163.22887448,4.2493,0.8095,0.1905,2.4042,0.7062,0.2938,3.5851,0.7819,0.2181,,,,,,,
28,1715295300000,56404533.0,25105657.6383,4.2438,0.8093,0.1907,2.4031,0.7062,0.2938,3.5893,0.7821,0.2179,,,,,,,
