timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715286900000,254226275.00000000,6127768.44209000,2.9200,0.7449,0.2551,1.7257,0.6331,0.3669,2.6219,0.7239,0.2761,-0.0009,0.02410,-0.00002052
1715287200000,254042801.00000000,6135133.64415000,2.9093,0.7442,0.2558,1.7218,0.6326,0.3674,2.6153,0.7234,0.2766,-0.0011,0.02414,-0.00002591
1715287500000,253988241.00000000,6134372.25439779,2.9170,0.7447,0.2553,1.7219,0.6326,0.3674,2.6232,0.7240,0.2760,-0.0010,0.02415,-0.00002429
1715287800000,253986334.00000000,6141389.55612000,2.9078,0.7441,0.2559,1.7209,0.6325,0.3675,2.6219,0.7239,0.2761,-0.0011,0.02417,-0.00002604
1715288100000,253891708.00000000,6132947.16443808,2.9078,0.7441,0.2559,1.7179,0.6321,0.3679,2.6443,0.7256,0.2744,-0.0013,0.02415,-0.00003237
1715288400000,253968737.00000000,6138424.37329000,2.9154,0.7446,0.2554,1.7183,0.6321,0.3679,2.6860,0.7287,0.2713,-0.0008,0.02416,-0.00002016
1715288700000,253769017.00000000,6150906.72553957,2.8895,0.7429,0.2571,1.7161,0.6318,0.3682,2.6684,0.7274,0.2726,-0.0008,0.02423,-0.00002013
1715289000000,253889873.00000000,6156829.42025000,2.8790,0.7422,0.2578,1.7148,0.6316,0.3684,2.6670,0.7273,0.2727,-0.0002,0.02426,-0.00000486
1715289300000,255612852.00000000,6187627.97674956,2.8895,0.7429,0.2571,1.7201,0.6324,0.3676,2.6711,0.7276,0.2724,-0.0008,0.02421,-0.00001955
1715289600000,262694760.00000000,6341451.50640000,2.9730,0.7483,0.2517,1.8153,0.6448,0.3552,2.7651,0.7344,0.2656,-0.0009,0.02414,-0.00002105
1715289900000,262690534.00000000,6338722.58542000,2.9746,0.7484,0.2516,1.8131,0.6445,0.3555,2.7665,0.7345,0.2655,-0.0003,0.02414,-0.00000836
1715290200000,262615670.00000000,6336916.11710000,2.9683,0.7480,0.2520,1.8128,0.6445,0.3555,2.7651,0.7344,0.2656,-0.0008,0.02412,-0.00001984
1715290500000,262583150.00000000,6332759.84185400,2.9761,0.7485,0.2515,1.8130,0.6445,0.3555,2.7693,0.7347,0.2653,-0.0008,0.02412,-0.00001957
