,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,7291749.0,33525808.42499676,1.401,0.5835,0.4165,2.4344,0.7088,0.2912,1.6219,0.6186,0.3814,,,,,,,
1,1715287200000,7294488.0,33569393.37939744,1.4033,0.5839,0.4161,2.4359,0.709,0.291,1.6281,0.6195,0.3805,,,,,,,
2,1715287500000,7297309.0,33557079.99931096,1.4027,0.5838,0.4162,2.4377,0.7091,0.2909,1.6192,0.6182,0.3818,,,,,,,
3,1715287800000,7296828.0,33594596.112,1.3958,0.5826,0.4174,2.4441,0.7096,0.2904,1.6089,0.6167,0.3833,,,,,,,
4,1715288100000,7297868.0,33632822.15445316,1.3918,0.5819,0.4181,2.4437,0.7096,0.2904,1.6008,0.6155,0.3845,,,,,,,
5,1715288400000,7298796.0,33642836.57495208,1.3935,0.5822,0.4178,2.4438,0.7096,0.2904,1.6028,0.6158,0.3842,,,,,,,
6,1715288700000,7300172.0,33828288.5663074,1.3969,0.5828,0.4172,2.439,0.7092,0.2908,1.6082,0.6166,0.3834,,,,,,,
7,1715289000000,7303960.0,33870653.708,1.3918,0.5819,0.4181,2.4326,0.7087,0.2913,1.6015,0.6156,0.3844,,,,,,,
8,1715289300000,7303794.0,33765195.49616658,1.3981,0.583,0.417,2.4325,0.7087,0.2913,1.6021,0.6157,0.3843,,,,,,,
9,1715289600000,7304238.0,33685684.8084,1.3901,0.5816,0.4184,2.4328,0.7087,0.2913,1.6028,0.6158,0.3842,,,,,,,
10,1715289900000,7296482.0,33552872.477,1.3998,0.5833,0.4167,2.4391,0.7092,0.2908,1.6123,0.6172,0.3828,,,,,,,
11,1715290200000,7297152.0,33529044.71319936,1.3998,0.5833,0.4167,2.439,0.7092,0.2908,1.6116,0.6171,0.3829,,,,,,,
12,1715290500000,7294579.0,33478645.97396232,1.4027,0.5838,0.4162,2.4393,0.7092,0.2908,1.6123,0.6172,0.3828,,,,,,,
13,1715290800000,7293551.0,33404958.95798392,1.4114,0.5853,0.4147,2.4439,0.7096,0.2904,1.613,0.6173,0.3827,,,,,,,
14,1715291100000,7301082.0,33417782.4222,1.4085,0.5848,0.4152,2.4318,0.7086,0.2914,1.6137,0.6174,0.3826,,,,,,,
15,1715291400000,7299663.0,33403257.888,1.4102,0.5851,0.4149,2.4322,0.7086,0.2914,1.6137,0.6174,0.3826,,,,,,,
16,1715291700000,7300845.0,33520995.11189115,1.4033,0.5839,0.4161,2.4298,0.7084,0.2916,1.6254,0.6191,0.3809,,,,,,,
17,1715292000000,7300543.0,33452548.1346,1.3981,0.583,0.417,2.4313,0.7086,0.2914,1.6096,0.6168,0.3832,,,,,,,
