timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,613469753.00000000,15492436.31361387,3.6512,0.7850,0.2150,1.5502,0.6079,0.3921,3.4763,0.7766,0.2234,-0.0006,0.0252440,-0.00001468
1715287500000,613246480.00000000,15474661.67632000,3.6751,0.7861,0.2139,1.5500,0.6078,0.3922,3.4803,0.7768,0.2232,-0.0004,0.0252360,-0.00001001
1715287800000,612817289.00000000,15457740.06677334,3.6838,0.7865,0.2135,1.5487,0.6076,0.3924,3.4984,0.7777,0.2223,-0.0007,0.0252200,-0.00001880
1715288100000,612372295.00000000,15449736.58968940,3.6992,0.7872,0.2128,1.5493,0.6077,0.3923,3.5086,0.7782,0.2218,-0.0008,0.0252210,-0.00001946
1715288400000,612129522.00000000,15468164.10711246,3.7015,0.7873,0.2127,1.5488,0.6077,0.3923,3.5106,0.7783,0.2217,-0.0004,0.0252580,-0.00001049
1715288700000,613442187.00000000,15559175.86725564,3.6729,0.7860,0.2140,1.5525,0.6082,0.3918,3.5126,0.7784,0.2216,-0.0003,0.0253660,-0.00000661
1715289000000,614794934.00000000,15646531.07030000,3.6382,0.7844,0.2156,1.5450,0.6071,0.3929,3.4843,0.7770,0.2230,0.0001,0.0254530,0.00000160
1715289300000,614728335.00000000,15576681.19524855,3.6447,0.7847,0.2153,1.5450,0.6071,0.3929,3.4563,0.7756,0.2244,-0.0013,0.0253210,-0.00003358
1715289600000,614329162.00000000,15549721.59308702,3.6425,0.7846,0.2154,1.5452,0.6071,0.3929,3.4843,0.7770,0.2230,-0.0010,0.0253060,-0.00002483
1715289900000,613966886.00000000,15515557.17610600,3.6577,0.7853,0.2147,1.5459,0.6072,0.3928,3.4643,0.7760,0.2240,-0.0005,0.0252720,-0.00001234
1715290200000,614410973.00000000,15520058.04263838,3.6860,0.7866,0.2134,1.5469,0.6074,0.3926,3.4743,0.7765,0.2235,-0.0010,0.0252500,-0.00002591
1715290500000,614196868.00000000,15513998.68881200,3.6904,0.7868,0.2132,1.5464,0.6073,0.3927,3.4883,0.7772,0.2228,-0.0005,0.0252590,-0.00001313
