,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,8846191.0,8291534.8243,2.888,0.7428,0.2572,1.33,0.5708,0.4292,2.73,0.7319,0.2681,,,,,,,
1,1715287200000,8825844.0,8295514.21449168,2.8625,0.7411,0.2589,1.3253,0.5699,0.4301,2.7078,0.7303,0.2697,,,,,,,
2,1715287500000,8825438.0,8280468.61557008,2.879,0.7422,0.2578,1.3233,0.5696,0.4304,2.7258,0.7316,0.2684,,,,,,,
3,1715287800000,8828944.0,8280855.78186992,2.9494,0.7468,0.2532,1.3257,0.57,0.43,2.811,0.7376,0.2624,,,,,,,
4,1715288100000,8827415.0,8276600.5464436,2.9417,0.7463,0.2537,1.3251,0.5699,0.4301,2.7922,0.7363,0.2637,,,,,,,
5,1715288400000,8831473.0,8288050.74088642,2.9401,0.7462,0.2538,1.3221,0.5694,0.4306,2.7764,0.7352,0.2648,,,,,,,
6,1715288700000,8819086.0,8324056.1513281,2.9293,0.7455,0.2545,1.3205,0.5691,0.4309,2.7341,0.7322,0.2678,,,,,,,
7,1715289000000,8786973.0,8315991.2472,2.9093,0.7442,0.2558,1.3183,0.5687,0.4313,2.7216,0.7313,0.2687,,,,,,,
8,1715289300000,8787617.0,8280363.58408178,2.9308,0.7456,0.2544,1.3174,0.5685,0.4315,2.7397,0.7326,0.2674,,,,,,,
9,1715289600000,8784475.0,8272340.1075,2.9355,0.7459,0.2541,1.3198,0.5689,0.4311,2.723,0.7314,0.2686,,,,,,,
10,1715289900000,8780737.0,8289893.8017,2.9002,0.7436,0.2564,1.3213,0.5692,0.4308,2.6805,0.7283,0.2717,,,,,,,
11,1715290200000,8784327.0,8273994.40763013,2.8941,0.7432,0.2568,1.3211,0.5692,0.4308,2.6805,0.7283,0.2717,,,,,,,
12,1715290500000,8784898.0,8271976.70809442,2.8835,0.7425,0.2575,1.3231,0.5695,0.4305,2.6697,0.7275,0.2725,,,,,,,
13,1715290800000,8784708.0,8263952.79378408,2.876,0.742,0.258,1.3237,0.5697,0.4303,2.6684,0.7274,0.2726,,,,,,,
14,1715291100000,8775008.0,8267567.18837632,2.8715,0.7417,0.2583,1.3215,0.5692,0.4308,2.6643,0.7271,0.2729,,,,,,,
15,1715291400000,8773202.0,8275761.4466,2.864,0.7412,0.2588,1.3216,0.5693,0.4307,2.667,0.7273,0.2727,,,,,,,
16,1715291700000,8760534.0,8294725.54415784,2.876,0.742,0.258,1.3234,0.5696,0.4304,2.6955,0.7294,0.2706,,,,,,,
17,1715292000000,8751571.0,8269359.4379,2.9017,0.7437,0.2563,1.3248,0.5698,0.4302,2.6887,0.7289,0.2711,,,,,,,
18,1715292300000,8763339.0,8278515.77026383,2.9108,0.7443,0.2557,1.3224,0.5694,0.4306,2.7523,0.7335,0.2665,,,,,,,
19,1715292600000,8751674.0,8285209.7758,2.879,0.7422,0.2578,1.3223,0.5694,0.4306,2.7272,0.7317,0.2683,,,,,,,
20,1715292900000,8753300.0,8300754.39,2.879,0.7422,0.2578,1.3228,0.5695,0.4305,2.7175,0.731,0.269,,,,,,,
21,1715293200000,8749446.0,8306724.0324,2.879,0.7422,0.2578,1.3229,0.5695,0.4305,2.712,0.7306,0.2694,,,,,,,
22,1715293500000,8732734.0,8301047.79957726,2.885,0.7426,0.2574,1.3272,0.5703,0.4297,2.7064,0.7302,0.2698,,,,,,,
23,1715293800000,8732287.0,8336972.69994946,2.8565,0.7407,0.2593,1.325,0.5699,0.4301,2.659,0.7267,0.2733,,,,,,,
24,1715294100000,8729633.0,8342205.7767169,2.7951,0.7365,0.2635,1.3234,0.5696,0.4304,2.6271,0.7243,0.2757,,,,,,,
25,1715294400000,8720984.0,8354702.672,2.7693,0.7347,0.2653,1.3282,0.5705,0.4295,2.6298,0.7245,0.2755,,,,,,,
26,1715294700000,8709576.0,8399228.46225384,2.758,0.7339,0.2661,1.3259,0.5701,0.4299,2.6193,0.7237,0.2763,,,,,,,
27,1715295000000,8712278.0,8436316.50722722,2.7425,0.7328,0.2672,1.3174,0.5685,0.4315,2.6127,0.7232,0.2768,,,,,,,
28,1715295300000,8692889.0,8431297.02076304,2.7078,0.7303,0.2697,1.3239,0.5697,0.4303,2.5984,0.7221,0.2779,,,,,,,
29,1715295600000,8688601.0,8399270.5867,2.7092,0.7304,0.2696,1.3251,0.5699,0.4301,2.5945,0.7218,0.2782,,,,,,,
30,1715295900000,8664493.0,8344513.62008972,2.7327,0.7321,0.2679,1.3278,0.5704,0.4296,2.5971,0.722,0.278,,,,,,,
31,1715296200000,8720228.0,8373924.81192036,2.7023,0.7299,0.2701,1.3131,0.5677,0.4323,2.5855,0.7211,0.2789,,,,,,,
32,1715296500000,8714070.0,8343239.1783813,2.7341,0.7322,0.2678,1.3117,0.5674,0.4326,2.6114,0.7231,0.2769,,,,,,,
33,1715296800000,8685553.0,8337262.3247,2.7189,0.7311,0.2689,1.3035,0.5659,0.4341,2.5829,0.7209,0.2791,,,,,,,
34,1715297100000,8680440.0,8306265.4671888,2.7175,0.731,0.269,1.303,0.5658,0.4342,2.5855,0.7211,0.2789,,,,,,,
35,1715297400000,8674824.0,8293547.78855904,2.7327,0.7321,0.2679,1.3045,0.5661,0.4339,2.5984,0.7221,0.2779,,,,,,,
36,1715297700000,8671041.0,8277304.54935339,2.7355,0.7323,0.2677,1.3081,0.5667,0.4333,2.5984,0.7221,0.2779,,,,,,,
37,1715298000000,8672880.0,8247041.592,2.7552,0.7337,0.2663,1.3084,0.5668,0.4332,2.6232,0.724,0.276,,,,,,,
38,1715298300000,8661100.0,8226447.979771,2.7679,0.7346,0.2654,1.3066,0.5665,0.4335,2.6298,0.7245,0.2755,,,,,,,
39,1715298600000,8704475.0,8271357.036592,2.8183,0.7381,0.2619,1.3021,0.5656,0.4344,2.6792,0.7282,0.2718,,,,,,,
40,1715298900000,8716380.0,8272716.258,2.8329,0.7391,0.2609,1.3034,0.5659,0.4341,2.6765,0.728,0.272,,,,,,,
41,1715299200000,8715521.0,8256213.0433,2.8655,0.7413,0.2587,1.305,0.5662,0.4338,2.7133,0.7307,0.2693,,,,,,,
42,1715299500000,8712677.0,8224040.79924528,2.8685,0.7415,0.2585,1.3067,0.5665,0.4335,2.7078,0.7303,0.2697,,,,,,,
43,1715299800000,8726213.0,8240065.46410079,2.873,0.7418,0.2582,1.307,0.5665,0.4335,2.712,0.7306,0.2694,,,,,,,
44,1715300100000,8745323.0,8252627.41866786,2.867,0.7414,0.2586,1.304,0.566,0.434,2.7133,0.7307,0.2693,,,,,,,
45,1715300400000,8721466.0,8260830.34808954,2.8536,0.7405,0.2595,1.3022,0.5656,0.4344,2.6563,0.7265,0.2735,,,,,,,
46,1715300700000,8698382.0,8249930.56617114,2.8551,0.7406,0.2594,1.3041,0.566,0.434,2.6311,0.7246,0.2754,,,,,,,
47,1715301000000,8694574.0,8240717.2372,2.8506,0.7403,0.2597,1.3054,0.5662,0.4338,2.6245,0.7241,0.2759,,,,,,,
48,1715301300000,8723302.0,8289578.37776376,2.8506,0.7403,0.2597,1.307,0.5665,0.4335,2.6298,0.7245,0.2755,,,,,,,
49,1715301600000,8742480.0,8316651.721284,2.8358,0.7393,0.2607,1.3055,0.5662,0.4338,2.6219,0.7239,0.2761,,,,,,,
50,1715301900000,8741794.0,8325447.87781848,2.8256,0.7386,0.2614,1.3052,0.5662,0.4338,2.6088,0.7229,0.2771,,,,,,,
51,1715302200000,8771375.0,8339707.56785,2.8285,0.7388,0.2612,1.3135,0.5678,0.4322,2.6219,0.7239,0.2761,,,,,,,
52,1715302500000,8761767.0,8342566.04065122,2.8476,0.7401,0.2599,1.3146,0.568,0.432,2.6179,0.7236,0.2764,,,,,,,
53,1715302800000,8770296.0,8356338.0288,2.8037,0.7371,0.2629,1.3111,0.5673,0.4327,2.5894,0.7214,0.2786,,,,,,,
54,1715303100000,8799840.0,8429828.1996096,2.8625,0.7411,0.2589,1.3065,0.5664,0.4336,2.6403,0.7253,0.2747,,,,,,,
55,1715303400000,8811211.0,8415629.65557647,2.873,0.7418,0.2582,1.3078,0.5667,0.4333,2.639,0.7252,0.2748,,,,,,,
56,1715303700000,8779783.0,8355719.4811,2.8911,0.743,0.257,1.3038,0.5659,0.4341,2.7023,0.7299,0.2701,,,,,,,
57,1715304000000,8785102.0,8361660.0836,2.9047,0.7439,0.2561,1.3025,0.5657,0.4343,2.7037,0.73,0.27,,,,,,,
58,1715304300000,8807633.0,8381066.47466582,2.9154,0.7446,0.2554,1.3014,0.5655,0.4345,2.7037,0.73,0.27,,,,,,,
59,1715304600000,8815680.0,8432966.4709824,2.9047,0.7439,0.2561,1.2993,0.5651,0.4349,2.6928,0.7292,0.2708,,,,,,,
