,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,5077702.1,44251722.34300629,3.1528,0.7592,0.2408,1.782,0.6406,0.3594,3.4663,0.7761,0.2239,,,,,,,
1,1715287200000,5077814.9,44264877.31351773,3.1563,0.7594,0.2406,1.7806,0.6404,0.3596,3.4683,0.7762,0.2238,,,,,,,
2,1715287500000,5078688.1,44255688.1034,3.1545,0.7593,0.2407,1.7815,0.6405,0.3595,3.4703,0.7763,0.2237,,,,,,,
3,1715287800000,5081921.9,44293947.93688084,3.1894,0.7613,0.2387,1.7819,0.6405,0.3595,3.4723,0.7764,0.2236,,,,,,,
4,1715288100000,5076613.9,44222259.45815787,3.1841,0.761,0.239,1.7784,0.6401,0.3599,3.5537,0.7804,0.2196,,,,,,,
5,1715288400000,5079965.8,44308697.51088017,3.1649,0.7599,0.2401,1.778,0.64,0.36,3.5455,0.78,0.22,,,,,,,
6,1715288700000,5081589.3,44453743.1964,3.1237,0.7575,0.2425,1.7761,0.6398,0.3602,3.5208,0.7788,0.2212,,,,,,,
7,1715289000000,5070385.7,44534775.60853756,3.1305,0.7579,0.2421,1.7739,0.6395,0.3605,3.4603,0.7758,0.2242,,,,,,,
8,1715289300000,5068566.0,44294198.274,3.1391,0.7584,0.2416,1.7774,0.6399,0.3601,3.4763,0.7766,0.2234,,,,,,,
9,1715289600000,5068145.0,44249826.4106176,3.1408,0.7585,0.2415,1.7788,0.6401,0.3599,3.4843,0.777,0.223,,,,,,,
10,1715289900000,5070748.3,44272703.4073,3.1408,0.7585,0.2415,1.7783,0.6401,0.3599,3.4723,0.7764,0.2236,,,,,,,
11,1715290200000,5070290.7,44299129.8459,3.1271,0.7577,0.2423,1.7816,0.6405,0.3595,3.4703,0.7763,0.2237,,,,,,,
12,1715290500000,5072782.6,44308124.65720973,3.1356,0.7582,0.2418,1.7838,0.6408,0.3592,3.4524,0.7754,0.2246,,,,,,,
13,1715290800000,5073460.4,44295386.32477744,3.1545,0.7593,0.2407,1.7845,0.6409,0.3591,3.4643,0.776,0.224,,,,,,,
14,1715291100000,5074792.5,44313088.11,3.1563,0.7594,0.2406,1.7863,0.6411,0.3589,3.4883,0.7772,0.2228,,,,,,,
15,1715291400000,5075104.8,44342723.11624541,3.1374,0.7583,0.2417,1.7862,0.6411,0.3589,3.4863,0.7771,0.2229,,,,,,,
16,1715291700000,5075691.4,44437678.207,3.1169,0.7571,0.2429,1.7858,0.641,0.359,3.4703,0.7763,0.2237,,,,,,,
17,1715292000000,5077506.8,44433262.0068,3.1237,0.7575,0.2425,1.7848,0.6409,0.3591,3.4464,0.7751,0.2249,,,,,,,
18,1715292300000,5076245.2,44433873.25080756,3.1135,0.7569,0.2431,1.7845,0.6409,0.3591,3.4703,0.7763,0.2237,,,,,,,
19,1715292600000,5078424.1,44479662.02395232,3.1186,0.7572,0.2428,1.7851,0.6409,0.3591,3.4484,0.7752,0.2248,,,,,,,
20,1715292900000,5079925.0,44521877.20511625,3.1186,0.7572,0.2428,1.7842,0.6408,0.3592,3.4623,0.7759,0.2241,,,,,,,
21,1715293200000,5081204.1,44553799.29296182,3.122,0.7574,0.2426,1.7835,0.6407,0.3593,3.4563,0.7756,0.2244,,,,,,,
22,1715293500000,5080222.5,44533230.435,3.1254,0.7576,0.2424,1.7839,0.6408,0.3592,3.4663,0.7761,0.2239,,,,,,,
23,1715293800000,5082338.7,44622933.786,3.1051,0.7564,0.2436,1.7826,0.6406,0.3594,3.4603,0.7758,0.2242,,,,,,,
24,1715294100000,5082856.6,44632563.8046,3.1135,0.7569,0.2431,1.7811,0.6404,0.3596,3.4464,0.7751,0.2249,,,,,,,
25,1715294400000,5081523.6,44794661.11780132,3.1254,0.7576,0.2424,1.7812,0.6404,0.3596,3.4524,0.7754,0.2246,,,,,,,
26,1715294700000,5075963.0,44876588.883,3.08,0.7549,0.2451,1.7795,0.6402,0.3598,3.4543,0.7755,0.2245,,,,,,,
27,1715295000000,5060668.8,44934115.97244451,3.085,0.7552,0.2448,1.7767,0.6399,0.3601,3.4287,0.7742,0.2258,,,,,,,
28,1715295300000,5043892.9,44820776.08184703,3.0833,0.7551,0.2449,1.7852,0.641,0.359,3.3783,0.7716,0.2284,,,,,,,
29,1715295600000,5047541.0,44874834.31225303,3.0866,0.7553,0.2447,1.7878,0.6413,0.3587,3.3573,0.7705,0.2295,,,,,,,
30,1715295900000,5038456.8,44741496.384,3.08,0.7549,0.2451,1.7851,0.6409,0.3591,3.3649,0.7709,0.2291,,,,,,,
31,1715296200000,5043126.2,44623778.86587932,3.09,0.7555,0.2445,1.7879,0.6413,0.3587,3.3917,0.7723,0.2277,,,,,,,
32,1715296500000,5041293.6,44454126.9648,3.1667,0.76,0.24,1.79,0.6416,0.3584,3.4209,0.7738,0.2262,,,,,,,
33,1715296800000,5048776.2,44540303.6364,3.1684,0.7601,0.2399,1.7905,0.6416,0.3584,3.4683,0.7762,0.2238,,,,,,,
34,1715297100000,5046103.8,44415857.67293018,3.158,0.7595,0.2405,1.7946,0.6422,0.3578,3.4723,0.7764,0.2236,,,,,,,
35,1715297400000,5053921.4,44540703.47063449,3.1459,0.7588,0.2412,1.7963,0.6424,0.3576,3.4643,0.776,0.224,,,,,,,
36,1715297700000,5051702.8,44444115.64884066,3.1477,0.7589,0.2411,1.7973,0.6425,0.3575,3.4484,0.7752,0.2248,,,,,,,
37,1715298000000,5052510.2,44432792.9311806,3.1391,0.7584,0.2416,1.7963,0.6424,0.3576,3.4385,0.7747,0.2253,,,,,,,
38,1715298300000,5053486.7,44435450.60661114,3.1339,0.7581,0.2419,1.7958,0.6423,0.3577,3.4307,0.7743,0.2257,,,,,,,
39,1715298600000,5053106.5,44538080.691,3.1254,0.7576,0.2424,1.7953,0.6423,0.3577,3.4366,0.7746,0.2254,,,,,,,
40,1715298900000,5051872.2,44516777.53770252,3.1374,0.7583,0.2417,1.7902,0.6416,0.3584,3.4267,0.7741,0.2259,,,,,,,
41,1715299200000,5050438.8,44474164.0728,3.1288,0.7578,0.2422,1.7898,0.6416,0.3584,3.4464,0.7751,0.2249,,,,,,,
42,1715299500000,5046921.4,44361819.89921343,3.1305,0.7579,0.2421,1.7928,0.6419,0.3581,3.4287,0.7742,0.2258,,,,,,,
43,1715299800000,5044417.7,44400437.45375035,3.1322,0.758,0.242,1.7909,0.6417,0.3583,3.4307,0.7743,0.2257,,,,,,,
44,1715300100000,5042750.1,44391329.1303,3.1563,0.7594,0.2406,1.7918,0.6418,0.3582,3.4287,0.7742,0.2258,,,,,,,
45,1715300400000,5046074.8,44354997.492,3.1322,0.758,0.242,1.7973,0.6425,0.3575,3.4307,0.7743,0.2257,,,,,,,
46,1715300700000,5044031.4,44284981.04710855,3.1186,0.7572,0.2428,1.7966,0.6424,0.3576,3.3898,0.7722,0.2278,,,,,,,
47,1715301000000,5044536.6,44316254.031,3.1237,0.7575,0.2425,1.7978,0.6426,0.3574,3.3783,0.7716,0.2284,,,,,,,
48,1715301300000,5045880.6,44358336.3546,3.122,0.7574,0.2426,1.7986,0.6427,0.3573,3.363,0.7708,0.2292,,,,,,,
49,1715301600000,5045287.1,44338056.59508592,3.1135,0.7569,0.2431,1.7987,0.6427,0.3573,3.3516,0.7702,0.2298,,,,,,,
50,1715301900000,5045440.5,44388051.45155455,3.1135,0.7569,0.2431,1.7983,0.6426,0.3574,3.3478,0.77,0.23,,,,,,,
51,1715302200000,5045918.5,44280525.91664975,3.1085,0.7566,0.2434,1.7987,0.6427,0.3573,3.3573,0.7705,0.2295,,,,,,,
52,1715302500000,5047267.2,44367749.10020458,3.1152,0.757,0.243,1.7969,0.6425,0.3575,3.3422,0.7697,0.2303,,,,,,,
53,1715302800000,5047211.5,44344800.239,3.1186,0.7572,0.2428,1.7964,0.6424,0.3576,3.3554,0.7704,0.2296,,,,,,,
54,1715303100000,5046395.3,44334001.45407464,3.1305,0.7579,0.2421,1.7966,0.6424,0.3576,3.3649,0.7709,0.2291,,,,,,,
55,1715303400000,5046282.8,44240761.3076,3.1271,0.7577,0.2423,1.7973,0.6425,0.3575,3.3802,0.7717,0.2283,,,,,,,
56,1715303700000,5048546.9,44280804.8599,3.1339,0.7581,0.2419,1.7969,0.6425,0.3575,3.3611,0.7707,0.2293,,,,,,,
57,1715304000000,5049780.8,44377992.18189254,3.1425,0.7586,0.2414,1.7984,0.6427,0.3573,3.3535,0.7703,0.2297,,,,,,,
58,1715304300000,5056016.8,44463606.81386641,3.1356,0.7582,0.2418,1.7931,0.642,0.358,3.363,0.7708,0.2292,,,,,,,
59,1715304600000,5056567.6,44524268.38797277,3.1237,0.7575,0.2425,1.7939,0.6421,0.3579,3.3592,0.7706,0.2294,,,,,,,
60,1715304900000,5055650.9,44594573.98006805,3.0601,0.7537,0.2463,1.7945,0.6422,0.3578,3.3668,0.771,0.229,,,,,,,
61,1715305200000,5056522.6,44642642.89024943,3.07,0.7543,0.2457,1.7935,0.642,0.358,3.3141,0.7682,0.2318,,,,,,,
62,1715305500000,5052076.4,44534053.466,3.029,0.7518,0.2482,1.7968,0.6424,0.3576,3.3478,0.77,0.23,,,,,,,
63,1715305800000,5053284.7,44529544.7764,3.0683,0.7542,0.2458,1.7973,0.6425,0.3575,3.3346,0.7693,0.2307,,,,,,,
