,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,993753247.0,8034842.81563145,3.771,0.7904,0.2096,3.0344,0.7521,0.2479,3.386,0.772,0.228,,,,,,,
1,1715287200000,993377300.0,8044776.660093,3.7642,0.7901,0.2099,3.0318,0.752,0.248,3.3802,0.7717,0.2283,,,,,,,
2,1715287500000,993411777.0,8046635.3937,3.7596,0.7899,0.2101,3.0307,0.7519,0.2481,3.3802,0.7717,0.2283,,,,,,,
3,1715287800000,992454797.0,8039141.89394722,3.7214,0.7882,0.2118,3.0293,0.7518,0.2482,3.3649,0.7709,0.2291,,,,,,,
4,1715288100000,992527404.0,8042122.02056868,3.7416,0.7891,0.2109,3.0279,0.7517,0.2483,3.3725,0.7713,0.2287,,,,,,,
5,1715288400000,992361022.0,8043225.01385308,3.7371,0.7889,0.2111,3.0273,0.7517,0.2483,3.3649,0.7709,0.2291,,,,,,,
6,1715288700000,989581933.0,8055196.93462,3.7506,0.7895,0.2105,3.0449,0.7528,0.2472,3.3898,0.7722,0.2278,,,,,,,
7,1715289000000,988580986.0,8066820.84576,3.7438,0.7892,0.2108,3.0505,0.7531,0.2469,3.3821,0.7718,0.2282,,,,,,,
8,1715289300000,989660119.0,8057248.58263017,3.7371,0.7889,0.2111,3.0548,0.7534,0.2466,3.3725,0.7713,0.2287,,,,,,,
9,1715289600000,989824890.0,8047276.3557,3.7237,0.7883,0.2117,3.0472,0.7529,0.2471,3.3687,0.7711,0.2289,,,,,,,
10,1715289900000,990167111.0,8050058.61243,3.7148,0.7879,0.2121,3.0403,0.7525,0.2475,3.3611,0.7707,0.2293,,,,,,,
11,1715290200000,990136268.0,8049807.85884,3.7192,0.7881,0.2119,3.0403,0.7525,0.2475,3.363,0.7708,0.2292,,,,,,,
12,1715290500000,990239635.0,8049994.6743909,3.7192,0.7881,0.2119,3.0389,0.7524,0.2476,3.3649,0.7709,0.2291,,,,,,,
13,1715290800000,990110435.0,8037914.533417,3.7192,0.7881,0.2119,3.0412,0.7526,0.2474,3.3611,0.7707,0.2293,,,,,,,
14,1715291100000,989136997.0,8028666.74272948,3.7125,0.7878,0.2122,3.0488,0.753,0.247,3.3535,0.7703,0.2297,,,,,,,
15,1715291400000,988943461.0,8040110.33793,3.7037,0.7874,0.2126,3.0456,0.7528,0.2472,3.3478,0.77,0.23,,,,,,,
16,1715291700000,988650338.0,8047613.75132,3.717,0.788,0.212,3.048,0.753,0.247,3.3535,0.7703,0.2297,,,,,,,
17,1715292000000,988537193.0,8048768.6791253,3.7125,0.7878,0.2122,3.0485,0.753,0.247,3.344,0.7698,0.2302,,,,,,,
18,1715292300000,987262042.0,8036313.02188,3.7259,0.7884,0.2116,3.0555,0.7534,0.2466,3.3573,0.7705,0.2295,,,,,,,
19,1715292600000,987042948.0,8061623.9256426,3.7103,0.7877,0.2123,3.0524,0.7532,0.2468,3.3535,0.7703,0.2297,,,,,,,
20,1715292900000,986665060.0,8061053.5402,3.7059,0.7875,0.2125,3.0497,0.7531,0.2469,3.3516,0.7702,0.2298,,,,,,,
21,1715293200000,986947197.0,8063358.59949,3.7125,0.7878,0.2122,3.0525,0.7532,0.2468,3.3497,0.7701,0.2299,,,,,,,
22,1715293500000,987181982.0,8060528.44760658,3.7125,0.7878,0.2122,3.0516,0.7532,0.2468,3.3516,0.7702,0.2298,,,,,,,
23,1715293800000,986907103.0,8057484.61359114,3.7059,0.7875,0.2125,3.0527,0.7532,0.2468,3.3725,0.7713,0.2287,,,,,,,
24,1715294100000,987198094.0,8066316.65022648,3.7214,0.7882,0.2118,3.0496,0.7531,0.2469,3.3706,0.7712,0.2288,,,,,,,
25,1715294400000,988030262.0,8075645.58585176,3.7326,0.7887,0.2113,3.0509,0.7531,0.2469,3.4307,0.7743,0.2257,,,,,,,
26,1715294700000,986351874.0,8103502.04659062,3.7192,0.7881,0.2119,2.9622,0.7476,0.2524,3.4326,0.7744,0.2256,,,,,,,
27,1715295000000,986762069.0,8128136.77952542,3.7461,0.7893,0.2107,2.9619,0.7476,0.2524,3.4425,0.7749,0.2251,,,,,,,
28,1715295300000,986777064.0,8146821.57261336,3.7304,0.7886,0.2114,2.9756,0.7485,0.2515,3.4287,0.7742,0.2258,,,,,,,
29,1715295600000,986961486.0,8137675.10513748,3.7214,0.7882,0.2118,2.9794,0.7487,0.2513,3.4131,0.7734,0.2266,,,,,,,
30,1715295900000,987998981.0,8141111.60344,3.7192,0.7881,0.2119,2.9683,0.748,0.252,3.415,0.7735,0.2265,,,,,,,
31,1715296200000,987167203.0,8120822.40708717,3.7551,0.7897,0.2103,2.9815,0.7488,0.2512,3.4307,0.7743,0.2257,,,,,,,
32,1715296500000,1001076137.0,8246454.77538983,3.6361,0.7843,0.2157,2.9292,0.7455,0.2545,3.3459,0.7699,0.2301,,,,,,,
33,1715296800000,1000503962.0,8260010.6346777,3.6168,0.7834,0.2166,2.93,0.7455,0.2545,3.3346,0.7693,0.2307,,,,,,,
34,1715297100000,1002228194.0,8264985.04692234,3.6168,0.7834,0.2166,2.9276,0.7454,0.2546,3.3309,0.7691,0.2309,,,,,,,
35,1715297400000,1003275490.0,8271906.087501,3.6275,0.7839,0.2161,2.9345,0.7458,0.2542,3.3365,0.7694,0.2306,,,,,,,
36,1715297700000,1002938920.0,8265430.2568932,3.6512,0.785,0.215,2.9419,0.7463,0.2537,3.3422,0.7697,0.2303,,,,,,,
37,1715298000000,1003471244.0,8267258.39909304,3.6253,0.7838,0.2162,2.9387,0.7461,0.2539,3.3234,0.7687,0.2313,,,,,,,
