,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,72866236.1,58239019.04490782,3.8709,0.7947,0.2053,2.1399,0.6815,0.3185,4.4054,0.815,0.185,,,,,,,
1,1715287200000,72873620.2,58402805.92630698,3.8614,0.7943,0.2057,2.1382,0.6813,0.3187,4.4113,0.8152,0.1848,,,,,,,
2,1715287500000,72922027.4,58392094.6744678,3.8544,0.794,0.206,2.1381,0.6813,0.3187,4.4142,0.8153,0.1847,,,,,,,
3,1715287800000,72905141.0,58385477.0571797,3.8497,0.7938,0.2062,2.138,0.6813,0.3187,4.4054,0.815,0.185,,,,,,,
4,1715288100000,72912176.1,58397385.15137678,3.8309,0.793,0.207,2.1364,0.6812,0.3188,4.3821,0.8142,0.1858,,,,,,,
5,1715288400000,72943243.5,58529847.50740066,3.7824,0.7909,0.2091,2.1318,0.6807,0.3193,4.3305,0.8124,0.1876,,,,,,,
6,1715288700000,73485581.9,59406992.19314066,3.7619,0.79,0.21,2.1263,0.6801,0.3199,4.3079,0.8116,0.1884,,,,,,,
7,1715289000000,73380084.1,59458686.05085917,3.7962,0.7915,0.2085,2.1278,0.6803,0.3197,4.3447,0.8129,0.1871,,,,,,,
8,1715289300000,73312618.0,59223484.84852306,3.787,0.7911,0.2089,2.131,0.6806,0.3194,4.3135,0.8118,0.1882,,,,,,,
9,1715289600000,73323230.3,59218181.26779117,3.7529,0.7896,0.2104,2.1273,0.6802,0.3198,4.2854,0.8108,0.1892,,,,,,,
10,1715289900000,73337941.1,59387682.28259026,3.7642,0.7901,0.2099,2.1244,0.6799,0.3201,4.291,0.811,0.189,,,,,,,
11,1715290200000,73374906.8,59401594.99874704,3.7551,0.7897,0.2103,2.1209,0.6796,0.3204,4.2687,0.8102,0.1898,,,,,,,
