,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,70965371.0,4185435.39144576,1.6476,0.6223,0.3777,1.0509,0.5124,0.4876,1.9002,0.6552,0.3448,,,,,,,
1,1715287200000,70803944.0,4198970.54772536,1.6316,0.62,0.38,1.0409,0.51,0.49,1.8977,0.6549,0.3451,,,,,,,
2,1715287500000,70675972.0,4175536.42576,1.6323,0.6201,0.3799,1.0427,0.5104,0.4896,1.8927,0.6543,0.3457,,,,,,,
3,1715287800000,70741238.0,4187881.2896,1.6385,0.621,0.379,1.0467,0.5114,0.4886,1.9011,0.6553,0.3447,,,,,,,
4,1715288100000,71217803.0,4219654.82775,1.6137,0.6174,0.3826,1.0508,0.5124,0.4876,1.8777,0.6525,0.3475,,,,,,,
5,1715288400000,71710192.0,4259825.6339432,1.6035,0.6159,0.3841,1.0498,0.5121,0.4879,1.8678,0.6513,0.3487,,,,,,,
6,1715288700000,72117637.0,4297489.98883,1.5988,0.6152,0.3848,1.0462,0.5113,0.4887,1.9078,0.6561,0.3439,,,,,,,
7,1715289000000,72132361.0,4325279.9758791,1.584,0.613,0.387,1.05,0.5122,0.4878,1.886,0.6535,0.3465,,,,,,,
8,1715289300000,71985577.0,4306177.21614,1.5974,0.615,0.385,1.0565,0.5137,0.4863,1.8818,0.653,0.347,,,,,,,
9,1715289600000,72150804.0,4313434.8060144,1.586,0.6133,0.3867,1.0582,0.5141,0.4859,1.862,0.6506,0.3494,,,,,,,
10,1715289900000,72540125.0,4360901.9486375,1.586,0.6133,0.3867,1.0573,0.5139,0.4861,1.876,0.6523,0.3477,,,,,,,
11,1715290200000,72830796.0,4381500.68736,1.5667,0.6104,0.3896,1.0578,0.514,0.486,1.849,0.649,0.351,,,,,,,
12,1715290500000,73151222.0,4387583.96112008,1.6055,0.6162,0.3838,1.0495,0.5121,0.4879,1.9129,0.6567,0.3433,,,,,,,
13,1715290800000,73395523.0,4434465.02130102,1.5887,0.6137,0.3863,1.0445,0.5109,0.4891,1.8944,0.6545,0.3455,,,,,,,
14,1715291100000,73983094.0,4492253.46768,1.584,0.613,0.387,1.0404,0.5099,0.4901,1.918,0.6573,0.3427,,,,,,,
15,1715291400000,74201150.0,4521717.9094475,1.6035,0.6159,0.3841,1.0467,0.5114,0.4886,1.8935,0.6544,0.3456,,,,,,,
16,1715291700000,74130509.0,4513065.38792,1.6076,0.6165,0.3835,1.0439,0.5107,0.4893,1.9078,0.6561,0.3439,,,,,,,
17,1715292000000,74371713.0,4554990.75847764,1.6103,0.6169,0.3831,1.0458,0.5112,0.4888,1.9257,0.6582,0.3418,,,,,,,
18,1715292300000,74875747.0,4634808.7393,1.588,0.6136,0.3864,1.046,0.5112,0.4888,1.8752,0.6522,0.3478,,,,,,,
19,1715292600000,75074446.0,4657618.62984,1.5773,0.612,0.388,1.0424,0.5104,0.4896,1.8563,0.6499,0.3501,,,,,,,
20,1715292900000,75162630.0,4649536.2397584,1.5826,0.6128,0.3872,1.048,0.5117,0.4883,1.8433,0.6483,0.3517,,,,,,,
21,1715293200000,74719564.0,4595253.186,1.5947,0.6146,0.3854,1.0514,0.5125,0.4875,1.8547,0.6497,0.3503,,,,,,,
22,1715293500000,74747109.0,4607411.79876,1.5786,0.6122,0.3878,1.0474,0.5116,0.4884,1.8498,0.6491,0.3509,,,,,,,
23,1715293800000,74692326.0,4572920.39239818,1.578,0.6121,0.3879,1.0455,0.5111,0.4889,1.8377,0.6476,0.3524,,,,,,,
24,1715294100000,74761748.0,4587141.6196864,1.586,0.6133,0.3867,1.0462,0.5113,0.4887,1.8417,0.6481,0.3519,,,,,,,
25,1715294400000,74743497.0,4584018.67101,1.5747,0.6116,0.3884,1.0474,0.5116,0.4884,1.8169,0.645,0.355,,,,,,,
26,1715294700000,75029682.0,4635333.75396,1.553,0.6083,0.3917,1.0493,0.512,0.488,1.7785,0.6401,0.3599,,,,,,,
27,1715295000000,74595220.0,4598795.313,1.576,0.6118,0.3882,1.0456,0.5111,0.4889,1.7972,0.6425,0.3575,,,,,,,
28,1715295300000,74631031.0,4584584.23433,1.578,0.6121,0.3879,1.047,0.5115,0.4885,1.7933,0.642,0.358,,,,,,,
29,1715295600000,74799687.0,4559788.91952,1.5833,0.6129,0.3871,1.0423,0.5104,0.4896,1.8153,0.6448,0.3552,,,,,,,
30,1715295900000,74948048.0,4568359.33441664,1.5602,0.6094,0.3906,1.0483,0.5118,0.4882,1.8043,0.6434,0.3566,,,,,,,
31,1715296200000,74841513.0,4549823.63467614,1.5575,0.609,0.391,1.0483,0.5118,0.4882,1.7871,0.6412,0.3588,,,,,,,
32,1715296500000,74773625.0,4531339.25069125,1.5714,0.6111,0.3889,1.0494,0.512,0.488,1.7941,0.6421,0.3579,,,,,,,
33,1715296800000,74872657.0,4524554.66251,1.572,0.6112,0.3888,1.044,0.5108,0.4892,1.7855,0.641,0.359,,,,,,,
34,1715297100000,74668366.0,4480820.26968092,1.574,0.6115,0.3885,1.0474,0.5116,0.4884,1.7917,0.6418,0.3582,,,,,,,
35,1715297400000,74779276.0,4505670.48227868,1.5569,0.6089,0.3911,1.0517,0.5126,0.4874,1.7847,0.6409,0.3591,,,,,,,
36,1715297700000,74771462.0,4503147.93696638,1.5615,0.6096,0.3904,1.0522,0.5127,0.4873,1.7785,0.6401,0.3599,,,,,,,
37,1715298000000,75005793.0,4509702.30250296,1.5747,0.6116,0.3884,1.0519,0.5126,0.4874,1.7871,0.6412,0.3588,,,,,,,
38,1715298300000,75044502.0,4511675.46024,1.5634,0.6099,0.3901,1.0511,0.5124,0.4876,1.7801,0.6403,0.3597,,,,,,,
39,1715298600000,75054452.0,4526534.00012,1.5621,0.6097,0.3903,1.0496,0.5121,0.4879,1.791,0.6417,0.3583,,,,,,,
40,1715298900000,75215491.0,4534793.09892388,1.5641,0.61,0.39,1.0523,0.5127,0.4873,1.7871,0.6412,0.3588,,,,,,,
41,1715299200000,75452774.0,4546029.6335,1.5674,0.6105,0.3895,1.0499,0.5122,0.4878,1.8114,0.6443,0.3557,,,,,,,
42,1715299500000,74679276.0,4493292.97006212,1.5233,0.6037,0.3963,1.058,0.5141,0.4859,1.7495,0.6363,0.3637,,,,,,,
43,1715299800000,74428464.0,4475383.54032,1.5183,0.6029,0.3971,1.0574,0.5139,0.4861,1.7488,0.6362,0.3638,,,,,,,
44,1715300100000,74053231.0,4456135.40264956,1.5082,0.6013,0.3987,1.0564,0.5137,0.4863,1.733,0.6341,0.3659,,,,,,,
45,1715300400000,73711479.0,4426374.31395,1.5013,0.6002,0.3998,1.0586,0.5142,0.4858,1.702,0.6299,0.3701,,,,,,,
46,1715300700000,73438905.0,4397521.6314,1.5189,0.603,0.397,1.0574,0.5139,0.4861,1.7337,0.6342,0.3658,,,,,,,
47,1715301000000,73292064.0,4397523.84,1.5088,0.6014,0.3986,1.0555,0.5135,0.4865,1.733,0.6341,0.3659,,,,,,,
48,1715301300000,72997996.0,4397205.8343506,1.5126,0.602,0.398,1.0532,0.513,0.487,1.733,0.6341,0.3659,,,,,,,
49,1715301600000,72841666.0,4369378.1983436,1.4938,0.599,0.401,1.0567,0.5138,0.4862,1.6954,0.629,0.371,,,,,,,
50,1715301900000,72935482.0,4385538.32653282,1.4938,0.599,0.401,1.0584,0.5142,0.4858,1.6853,0.6276,0.3724,,,,,,,
51,1715302200000,72792200.0,4367532.0,1.4944,0.5991,0.4009,1.0589,0.5143,0.4857,1.6788,0.6267,0.3733,,,,,,,
52,1715302500000,72487322.0,4347789.57356,1.4956,0.5993,0.4007,1.0561,0.5136,0.4864,1.6874,0.6279,0.3721,,,,,,,
53,1715302800000,72439730.0,4349524.7866928,1.4956,0.5993,0.4007,1.0563,0.5137,0.4863,1.6918,0.6285,0.3715,,,,,,,
54,1715303100000,72185395.0,4341229.6553,1.4913,0.5986,0.4014,1.0585,0.5142,0.4858,1.6674,0.6251,0.3749,,,,,,,
55,1715303400000,72159349.0,4332440.0980251,1.4963,0.5994,0.4006,1.0595,0.5144,0.4856,1.6617,0.6243,0.3757,,,,,,,
56,1715303700000,72180571.0,4328252.36097533,1.5075,0.6012,0.3988,1.0571,0.5139,0.4861,1.6874,0.6279,0.3721,,,,,,,
57,1715304000000,72191966.0,4335127.5583,1.5038,0.6006,0.3994,1.0557,0.5135,0.4865,1.6774,0.6265,0.3735,,,,,,,
58,1715304300000,72120221.0,4335146.48431,1.5,0.6,0.4,1.054,0.5132,0.4868,1.6853,0.6276,0.3724,,,,,,,
59,1715304600000,72300059.0,4360416.55829,1.4863,0.5978,0.4022,1.0551,0.5134,0.4866,1.6681,0.6252,0.3748,,,,,,,
60,1715304900000,72037677.0,4347550.16688762,1.495,0.5992,0.4008,1.0505,0.5123,0.4877,1.6932,0.6287,0.3713,,,,,,,
61,1715305200000,71794321.0,4344992.30692,1.4851,0.5976,0.4024,1.0536,0.513,0.487,1.6817,0.6271,0.3729,,,,,,,
62,1715305500000,71723551.0,4323591.04660283,1.4814,0.597,0.403,1.0531,0.5129,0.4871,1.6824,0.6272,0.3728,,,,,,,
63,1715305800000,71680503.0,4328781.27533982,1.4894,0.5983,0.4017,1.0519,0.5126,0.4874,1.6752,0.6262,0.3738,,,,,,,
64,1715306100000,71580684.0,4332478.1636472,1.5687,0.6107,0.3893,1.0518,0.5126,0.4874,1.6802,0.6269,0.3731,,,,,,,
65,1715306400000,71660470.0,4335468.4674658,1.5707,0.611,0.389,1.0763,0.5184,0.4816,1.6998,0.6296,0.3704,,,,,,,
66,1715306700000,71743763.0,4340497.6615,1.4679,0.5948,0.4052,1.0783,0.5188,0.4812,1.6392,0.6211,0.3789,,,,,,,
67,1715307000000,71715771.0,4339845.45849492,1.4802,0.5968,0.4032,1.078,0.5188,0.4812,1.656,0.6235,0.3765,,,,,,,
68,1715307300000,71703963.0,4324466.00853,1.4752,0.596,0.404,1.0813,0.5195,0.4805,1.6553,0.6234,0.3766,,,,,,,
69,1715307600000,71592712.0,4325459.12060408,1.4759,0.5961,0.4039,1.0805,0.5194,0.4806,1.6469,0.6222,0.3778,,,,,,,
70,1715307900000,71464182.0,4324297.65282,1.5484,0.6076,0.3924,1.0793,0.5191,0.4809,1.6316,0.62,0.38,,,,,,,
71,1715308200000,71402553.0,4316644.91174265,1.5767,0.6119,0.3881,1.0789,0.519,0.481,1.6638,0.6246,0.3754,,,,,,,
72,1715308500000,71591137.0,4328852.59900584,1.5628,0.6098,0.3902,1.0739,0.5178,0.4822,1.6652,0.6248,0.3752,,,,,,,
73,1715308800000,71390732.0,4302762.96598652,1.578,0.6121,0.3879,1.0801,0.5192,0.4808,1.6702,0.6255,0.3745,,,,,,,
74,1715309100000,71482133.0,4323629.69628618,1.5575,0.609,0.391,1.0801,0.5193,0.4807,1.6497,0.6226,0.3774,,,,,,,
75,1715309400000,71312017.0,4303680.22595,1.5569,0.6089,0.3911,1.0774,0.5186,0.4814,1.6371,0.6208,0.3792,,,,,,,
76,1715309700000,71242173.0,4297840.10658387,1.5674,0.6105,0.3895,1.0757,0.5182,0.4818,1.6448,0.6219,0.3781,,,,,,,
77,1715310000000,71250835.0,4298562.87555,1.5602,0.6094,0.3906,1.0749,0.5181,0.4819,1.635,0.6205,0.3795,,,,,,,
78,1715310300000,71750988.0,4319908.86447648,1.5355,0.6056,0.3944,1.0709,0.5171,0.4829,1.6624,0.6244,0.3756,,,,,,,
79,1715310600000,71837186.0,4321432.73241298,1.5297,0.6047,0.3953,1.0718,0.5173,0.4827,1.6539,0.6232,0.3768,,,,,,,
80,1715310900000,71873166.0,4310233.76502,1.5432,0.6068,0.3932,1.0743,0.5179,0.4821,1.6539,0.6232,0.3768,,,,,,,
81,1715311200000,71767557.0,4315791.55980933,1.5323,0.6051,0.3949,1.0706,0.5171,0.4829,1.6427,0.6216,0.3784,,,,,,,
82,1715311500000,71795379.0,4317056.13927,1.5368,0.6058,0.3942,1.0713,0.5172,0.4828,1.6469,0.6222,0.3778,,,,,,,
83,1715311800000,71796358.0,4320645.95142644,1.5407,0.6064,0.3936,1.0712,0.5172,0.4828,1.6497,0.6226,0.3774,,,,,,,
84,1715312100000,71861147.0,4312885.42921871,1.5497,0.6078,0.3922,1.073,0.5176,0.4824,1.6724,0.6258,0.3742,,,,,,,
85,1715312400000,71826210.0,4310290.8621,1.5517,0.6081,0.3919,1.0722,0.5174,0.4826,1.6645,0.6247,0.3753,,,,,,,
86,1715312700000,71799474.0,4312327.38606654,1.5484,0.6076,0.3924,1.0719,0.5174,0.4826,1.6504,0.6227,0.3773,,,,,,,
87,1715313000000,71691288.0,4315955.3356116,1.5549,0.6086,0.3914,1.0711,0.5172,0.4828,1.6434,0.6217,0.3783,,,,,,,
