,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,118432717.0,12720162.93292121,2.6697,0.7275,0.2725,1.1982,0.5451,0.4549,2.7202,0.7312,0.2688,,,,,,,
1,1715287200000,118418290.0,12731325.6169692,2.6697,0.7275,0.2725,1.1962,0.5447,0.4553,2.7216,0.7313,0.2687,,,,,,,
2,1715287500000,118395931.0,12720458.82664,2.6697,0.7275,0.2725,1.1957,0.5446,0.4554,2.7189,0.7311,0.2689,,,,,,,
3,1715287800000,118366888.0,12718522.1156,2.6603,0.7268,0.2732,1.195,0.5444,0.4556,2.7106,0.7305,0.2695,,,,,,,
4,1715288100000,118368611.0,12715156.19362,2.6523,0.7262,0.2738,1.195,0.5444,0.4556,2.7023,0.7299,0.2701,,,,,,,
5,1715288400000,118323914.0,12720268.01939492,2.6496,0.726,0.274,1.1945,0.5443,0.4557,2.7064,0.7302,0.2698,,,,,,,
6,1715288700000,118441289.0,12751777.66116792,2.6523,0.7262,0.2738,1.192,0.5438,0.4562,2.7244,0.7315,0.2685,,,,,,,
7,1715289000000,118575764.0,12787642.00554096,2.6603,0.7268,0.2732,1.1908,0.5435,0.4565,2.7327,0.7321,0.2679,,,,,,,
8,1715289300000,118572464.0,12761954.30032,2.6657,0.7272,0.2728,1.1915,0.5437,0.4563,2.7397,0.7326,0.2674,,,,,,,
9,1715289600000,118529067.0,12753727.6092,2.6603,0.7268,0.2732,1.1914,0.5437,0.4563,2.7078,0.7303,0.2697,,,,,,,
10,1715289900000,118483829.0,12751229.67698,2.6456,0.7257,0.2743,1.1918,0.5438,0.4562,2.6914,0.7291,0.2709,,,,,,,
11,1715290200000,118403558.0,12741406.87638,2.647,0.7258,0.2742,1.1911,0.5436,0.4564,2.6982,0.7296,0.2704,,,,,,,
12,1715290500000,118312348.0,12716043.15950584,2.659,0.7267,0.2733,1.19,0.5434,0.4566,2.7202,0.7312,0.2688,,,,,,,
13,1715290800000,118328113.0,12719088.86637,2.655,0.7264,0.2736,1.1894,0.5433,0.4567,2.723,0.7314,0.2686,,,,,,,
14,1715291100000,118409472.0,12718769.9001984,2.7037,0.73,0.27,1.1896,0.5433,0.4567,2.7453,0.733,0.267,,,,,,,
15,1715291400000,118405673.0,12728080.57414169,2.7147,0.7308,0.2692,1.1891,0.5432,0.4568,2.7509,0.7334,0.2666,,,,,,,
16,1715291700000,118369584.0,12722362.88832,2.7175,0.731,0.269,1.1892,0.5432,0.4568,2.7608,0.7341,0.2659,,,,,,,
17,1715292000000,118561011.0,12738195.02184,2.7636,0.7343,0.2657,1.1874,0.5428,0.4572,2.8066,0.7373,0.2627,,,,,,,
18,1715292300000,118627782.0,12754903.01291934,2.7693,0.7347,0.2653,1.1871,0.5428,0.4572,2.7994,0.7368,0.2632,,,,,,,
19,1715292600000,118616162.0,12754859.95258748,2.7651,0.7344,0.2656,1.1876,0.5429,0.4571,2.7922,0.7363,0.2637,,,,,,,
20,1715292900000,118698857.0,12783866.8989,2.7594,0.734,0.266,1.1868,0.5427,0.4573,2.8037,0.7371,0.2629,,,,,,,
