,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4646718.6,21199259.59692,0.4374,0.3043,0.6957,1.0551,0.5134,0.4866,0.3933,0.2823,0.7177,,,,,,,
1,1715287200000,4649979.5,21242966.3478,0.4372,0.3042,0.6958,1.0544,0.5132,0.4868,0.3943,0.2828,0.7172,,,,,,,
2,1715287500000,4652987.3,21251123.59656,0.4401,0.3056,0.6944,1.055,0.5134,0.4866,0.3961,0.2837,0.7163,,,,,,,
3,1715287800000,4647277.4,21258505.73856,0.4382,0.3047,0.6953,1.0537,0.5131,0.4869,0.3968,0.2841,0.7159,,,,,,,
4,1715288100000,4639449.8,21184961.46289632,0.4393,0.3052,0.6948,1.0542,0.5132,0.4868,0.3972,0.2843,0.7157,,,,,,,
5,1715288400000,4633996.5,21135658.0365,0.4374,0.3043,0.6957,1.0543,0.5132,0.4868,0.3926,0.2819,0.7181,,,,,,,
6,1715288700000,4639466.3,21190516.75829874,0.4418,0.3064,0.6936,1.0545,0.5133,0.4867,0.3933,0.2823,0.7177,,,,,,,
7,1715289000000,4638219.2,21236723.38831397,0.4397,0.3054,0.6946,1.0543,0.5132,0.4868,0.3935,0.2824,0.7176,,,,,,,
8,1715289300000,4643473.7,21311686.89352,0.4399,0.3055,0.6945,1.0534,0.513,0.487,0.3949,0.2831,0.7169,,,,,,,
9,1715289600000,4645488.2,21282949.73755034,0.4395,0.3053,0.6947,1.0537,0.5131,0.4869,0.3966,0.284,0.716,,,,,,,
10,1715289900000,4647106.4,21340442.01008,0.4355,0.3034,0.6966,1.0536,0.513,0.487,0.3937,0.2825,0.7175,,,,,,,
11,1715290200000,4654524.3,21433153.49664,0.4316,0.3015,0.6985,1.0529,0.5129,0.4871,0.3924,0.2818,0.7182,,,,,,,
12,1715290500000,4658331.4,21420405.27662,0.4345,0.3029,0.6971,1.053,0.5129,0.4871,0.393,0.2821,0.7179,,,,,,,
13,1715290800000,4665242.4,21456458.79622627,0.4358,0.3035,0.6965,1.0543,0.5132,0.4868,0.3939,0.2826,0.7174,,,,,,,
