,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,13814841.5,11493948.128,1.8185,0.6452,0.3548,0.987,0.4967,0.5033,1.7473,0.636,0.364,,,,,,,
1,1715287200000,13810601.6,11496437.53410509,1.8233,0.6458,0.3542,0.986,0.4965,0.5035,1.7556,0.6371,0.3629,,,,,,,
2,1715287500000,13808524.4,11479008.65880877,1.8305,0.6467,0.3533,0.9882,0.497,0.503,1.7601,0.6377,0.3623,,,,,,,
3,1715287800000,13804721.8,11481826.24926046,1.8281,0.6464,0.3536,0.9879,0.497,0.503,1.7579,0.6374,0.3626,,,,,,,
4,1715288100000,13805354.7,11472249.7557,1.8265,0.6462,0.3538,0.9891,0.4973,0.5027,1.7594,0.6376,0.3624,,,,,,,
5,1715288400000,13800286.1,11471879.47274452,1.8313,0.6468,0.3532,0.986,0.4965,0.5035,1.767,0.6386,0.3614,,,,,,,
6,1715288700000,13784472.4,11466569.80700722,1.8265,0.6462,0.3538,0.9873,0.4968,0.5032,1.7617,0.6379,0.3621,,,,,,,
7,1715289000000,13762620.2,11456571.66155363,1.8289,0.6465,0.3535,0.9865,0.4966,0.5034,1.7624,0.638,0.362,,,,,,,
8,1715289300000,13729678.3,11409362.6673,1.8361,0.6474,0.3526,0.9902,0.4975,0.5025,1.764,0.6382,0.3618,,,,,,,
9,1715289600000,13697904.4,11343343.53197998,1.8441,0.6484,0.3516,0.9909,0.4977,0.5023,1.7709,0.6391,0.3609,,,,,,,
10,1715289900000,13725224.7,11358262.76021653,1.8369,0.6475,0.3525,0.9903,0.4976,0.5024,1.7632,0.6381,0.3619,,,,,,,
11,1715290200000,13730435.8,11377350.6474683,1.8385,0.6477,0.3523,0.9912,0.4978,0.5022,1.7617,0.6379,0.3621,,,,,,,
12,1715290500000,13716315.6,11363001.43449229,1.8425,0.6482,0.3518,0.9934,0.4984,0.5016,1.7655,0.6384,0.3616,,,,,,,
13,1715290800000,13713636.3,11348956.28029118,1.8193,0.6453,0.3547,0.9871,0.4968,0.5032,1.7473,0.636,0.364,,,,,,,
14,1715291100000,13667077.9,11346116.00712528,1.8185,0.6452,0.3548,0.9876,0.4969,0.5031,1.7488,0.6362,0.3638,,,,,,,
15,1715291400000,13656931.7,11340073.52504352,1.8137,0.6446,0.3554,0.9852,0.4963,0.5037,1.7473,0.636,0.364,,,,,,,
16,1715291700000,13650633.2,11348109.91486336,1.8114,0.6443,0.3557,0.9854,0.4963,0.5037,1.7473,0.636,0.364,,,,,,,
17,1715292000000,13650244.4,11349316.88817836,1.8066,0.6437,0.3563,0.9893,0.4973,0.5027,1.7352,0.6344,0.3656,,,,,,,
18,1715292300000,13646835.6,11366526.33939278,1.8129,0.6445,0.3555,0.9922,0.498,0.502,1.7397,0.635,0.365,,,,,,,
19,1715292600000,13641320.8,11375479.27216334,1.8129,0.6445,0.3555,0.9924,0.4981,0.5019,1.745,0.6357,0.3643,,,,,,,
20,1715292900000,13636074.6,11372486.2164,1.8345,0.6472,0.3528,0.9922,0.498,0.502,1.7579,0.6374,0.3626,,,,,,,
21,1715293200000,13641459.0,11376976.806,1.8361,0.6474,0.3526,0.991,0.4977,0.5023,1.7617,0.6379,0.3621,,,,,,,
22,1715293500000,13615074.3,11354971.9662,1.8409,0.648,0.352,0.9911,0.4978,0.5022,1.7647,0.6383,0.3617,,,,,,,
23,1715293800000,13588231.9,11332585.4046,1.8385,0.6477,0.3523,0.9925,0.4981,0.5019,1.7624,0.638,0.362,,,,,,,
24,1715294100000,13617399.1,11343293.4503,1.8321,0.6469,0.3531,0.9925,0.4981,0.5019,1.7579,0.6374,0.3626,,,,,,,
25,1715294400000,13612569.6,11358027.10032614,1.8297,0.6466,0.3534,0.992,0.498,0.502,1.7609,0.6378,0.3622,,,,,,,
26,1715294700000,13623706.6,11410017.48950507,1.8249,0.646,0.354,0.9917,0.4979,0.5021,1.7367,0.6346,0.3654,,,,,,,
27,1715295000000,13632979.3,11432232.12729353,1.8233,0.6458,0.3542,0.9905,0.4976,0.5024,1.73,0.6337,0.3663,,,,,,,
28,1715295300000,13653644.1,11449821.83063513,1.8273,0.6463,0.3537,0.9907,0.4977,0.5023,1.7322,0.634,0.366,,,,,,,
