,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,110891119.0,4224951.6339,4.777,0.8269,0.1731,2.3159,0.6984,0.3016,3.7893,0.7912,0.2088,,,,,,,
1,1715287200000,110728578.0,4228746.5395356,4.7372,0.8257,0.1743,2.3087,0.6978,0.3022,3.7733,0.7905,0.2095,,,,,,,
2,1715287500000,110680359.0,4223549.21779692,4.7339,0.8256,0.1744,2.3082,0.6977,0.3023,3.7755,0.7906,0.2094,,,,,,,
3,1715287800000,110663322.0,4225604.80614426,4.9102,0.8308,0.1692,2.3017,0.6971,0.3029,3.8685,0.7946,0.2054,,,,,,,
4,1715288100000,110682710.0,4222611.796126,4.8962,0.8304,0.1696,2.3053,0.6975,0.3025,3.8638,0.7944,0.2056,,,,,,,
5,1715288400000,110656511.0,4220973.80048813,4.9067,0.8307,0.1693,2.3078,0.6977,0.3023,3.878,0.795,0.205,,,,,,,
6,1715288700000,111029973.0,4247450.50681527,4.8514,0.8291,0.1709,2.2733,0.6945,0.3055,3.8426,0.7935,0.2065,,,,,,,
7,1715289000000,111032895.0,4252801.9302111,4.8514,0.8291,0.1709,2.261,0.6933,0.3067,3.845,0.7936,0.2064,,,,,,,
8,1715289300000,111054634.0,4257449.30798002,4.8824,0.83,0.17,2.277,0.6948,0.3052,3.8497,0.7938,0.2062,,,,,,,
9,1715289600000,111016659.0,4247200.95886047,4.8824,0.83,0.17,2.2904,0.6961,0.3039,3.8473,0.7937,0.2063,,,,,,,
10,1715289900000,111025528.0,4247591.33486312,4.8893,0.8302,0.1698,2.2912,0.6962,0.3038,3.8497,0.7938,0.2062,,,,,,,
11,1715290200000,111052022.0,4248808.16195164,4.8824,0.83,0.17,2.2893,0.696,0.304,3.8473,0.7937,0.2063,,,,,,,
12,1715290500000,111061713.0,4247224.24978026,4.8893,0.8302,0.1698,2.2888,0.6959,0.3041,3.8497,0.7938,0.2062,,,,,,,
13,1715290800000,111100511.0,4239502.17533076,4.8997,0.8305,0.1695,2.3113,0.698,0.302,3.8497,0.7938,0.2062,,,,,,,
14,1715291100000,110971184.0,4234382.95348,4.8928,0.8303,0.1697,2.309,0.6978,0.3022,3.8638,0.7944,0.2056,,,,,,,
15,1715291400000,110982302.0,4245824.40168454,4.8997,0.8305,0.1695,2.3074,0.6976,0.3024,3.8709,0.7947,0.2053,,,,,,,
16,1715291700000,111042937.0,4249674.27260535,4.872,0.8297,0.1703,2.3104,0.6979,0.3021,3.852,0.7939,0.2061,,,,,,,
17,1715292000000,111004431.0,4243495.14897696,4.8651,0.8295,0.1705,2.3079,0.6977,0.3023,3.852,0.7939,0.2061,,,,,,,
18,1715292300000,110923794.0,4248381.3102,4.8377,0.8287,0.1713,2.3035,0.6973,0.3027,3.7893,0.7912,0.2088,,,,,,,
19,1715292600000,110728430.0,4242001.7241628,4.8207,0.8282,0.1718,2.2871,0.6958,0.3042,3.7962,0.7915,0.2085,,,,,,,
20,1715292900000,110769118.0,4248775.48989072,4.814,0.828,0.172,2.2844,0.6955,0.3045,3.7916,0.7913,0.2087,,,,,,,
21,1715293200000,110768207.0,4247200.86854998,4.8106,0.8279,0.1721,2.2825,0.6954,0.3046,3.7916,0.7913,0.2087,,,,,,,
22,1715293500000,110749507.0,4245607.82323161,4.8106,0.8279,0.1721,2.2827,0.6954,0.3046,3.7916,0.7913,0.2087,,,,,,,
23,1715293800000,110939948.0,4256351.99875396,4.814,0.828,0.172,2.2896,0.696,0.304,3.787,0.7911,0.2089,,,,,,,
24,1715294100000,110902509.0,4256115.56911881,4.8005,0.8276,0.1724,2.296,0.6966,0.3034,3.7847,0.791,0.209,,,,,,,
25,1715294400000,111020648.0,4264873.73581072,4.814,0.828,0.172,2.2985,0.6968,0.3032,3.7985,0.7916,0.2084,,,,,,,
26,1715294700000,111346244.0,4295850.55322644,4.7837,0.8271,0.1729,2.2678,0.694,0.306,3.7847,0.791,0.209,,,,,,,
27,1715295000000,111472091.0,4308347.26942996,4.7703,0.8267,0.1733,2.254,0.6927,0.3073,3.7733,0.7905,0.2095,,,,,,,
28,1715295300000,111567821.0,4310706.14660034,4.7637,0.8265,0.1735,2.2495,0.6923,0.3077,3.771,0.7904,0.2096,,,,,,,
29,1715295600000,111723860.0,4319390.7858566,4.7703,0.8267,0.1733,2.2419,0.6915,0.3085,3.7574,0.7898,0.2102,,,,,,,
30,1715295900000,111406611.0,4310259.39188784,4.7837,0.8271,0.1729,2.2694,0.6941,0.3059,3.7551,0.7897,0.2103,,,,,,,
31,1715296200000,111476510.0,4307184.802776,4.8411,0.8288,0.1712,2.3039,0.6973,0.3027,3.7619,0.79,0.21,,,,,,,
32,1715296500000,111402206.0,4295146.58701386,4.8411,0.8288,0.1712,2.3019,0.6971,0.3029,3.7596,0.7899,0.2101,,,,,,,
33,1715296800000,111357610.0,4293334.7475928,4.848,0.829,0.171,2.3004,0.697,0.303,3.7664,0.7902,0.2098,,,,,,,
34,1715297100000,111378388.0,4295239.59240332,4.848,0.829,0.171,2.2997,0.6969,0.3031,3.7642,0.7901,0.2099,,,,,,,
35,1715297400000,111381281.0,4292620.09017347,4.848,0.829,0.171,2.2997,0.6969,0.3031,3.7642,0.7901,0.2099,,,,,,,
36,1715297700000,111484540.0,4297008.8268716,4.8411,0.8288,0.1712,2.3021,0.6972,0.3028,3.7551,0.7897,0.2103,,,,,,,
37,1715298000000,111467108.0,4291319.80135124,4.848,0.829,0.171,2.3078,0.6977,0.3023,3.7506,0.7895,0.2105,,,,,,,
38,1715298300000,111463175.0,4286528.1746575,4.8548,0.8292,0.1708,2.3073,0.6976,0.3024,3.7551,0.7897,0.2103,,,,,,,
39,1715298600000,111427988.0,4293528.74797756,4.8685,0.8296,0.1704,2.2868,0.6958,0.3042,3.7596,0.7899,0.2101,,,,,,,
40,1715298900000,111425460.0,4296388.5711186,4.872,0.8297,0.1703,2.2876,0.6958,0.3042,3.7664,0.7902,0.2098,,,,,,,
41,1715299200000,111364625.0,4294595.23878625,4.8893,0.8302,0.1698,2.2884,0.6959,0.3041,3.7778,0.7907,0.2093,,,,,,,
42,1715299500000,111545965.0,4301230.2577544,4.8685,0.8296,0.1704,2.2936,0.6964,0.3036,3.7733,0.7905,0.2095,,,,,,,
43,1715299800000,111805618.0,4305573.97414628,4.8651,0.8295,0.1705,2.2985,0.6968,0.3032,3.7824,0.7909,0.2091,,,,,,,
44,1715300100000,111940679.0,4315988.17774437,4.8445,0.8289,0.1711,2.2958,0.6966,0.3034,3.771,0.7904,0.2096,,,,,,,
45,1715300400000,111844180.0,4312505.7875088,4.8651,0.8295,0.1705,2.2996,0.6969,0.3031,3.7847,0.791,0.209,,,,,,,
46,1715300700000,111822870.0,4314746.9415285,4.8754,0.8298,0.1702,2.302,0.6972,0.3028,3.787,0.7911,0.2089,,,,,,,
47,1715301000000,111734839.0,4304082.98304789,4.8754,0.8298,0.1702,2.3122,0.6981,0.3019,3.7801,0.7908,0.2092,,,,,,,
48,1715301300000,111732481.0,4307397.75770619,4.8754,0.8298,0.1702,2.3159,0.6984,0.3016,3.7778,0.7907,0.2093,,,,,,,
49,1715301600000,111664458.0,4304843.5190328,4.872,0.8297,0.1703,2.3172,0.6985,0.3015,3.7801,0.7908,0.2092,,,,,,,
50,1715301900000,111678866.0,4311238.65838874,4.8548,0.8292,0.1708,2.3091,0.6978,0.3022,3.7664,0.7902,0.2098,,,,,,,
51,1715302200000,111665215.0,4309352.7110198,4.8445,0.8289,0.1711,2.3067,0.6976,0.3024,3.7664,0.7902,0.2098,,,,,,,
52,1715302500000,111688131.0,4307134.38259614,4.848,0.829,0.171,2.3071,0.6976,0.3024,3.7687,0.7903,0.2097,,,,,,,
53,1715302800000,111700016.0,4306436.61985744,4.872,0.8297,0.1703,2.3084,0.6977,0.3023,3.7847,0.791,0.209,,,,,,,
54,1715303100000,111570241.0,4309727.45943113,4.8858,0.8301,0.1699,2.307,0.6976,0.3024,3.7985,0.7916,0.2084,,,,,,,
55,1715303400000,111494167.0,4300201.80289795,4.8997,0.8305,0.1695,2.3139,0.6982,0.3018,3.7962,0.7915,0.2085,,,,,,,
56,1715303700000,112102467.0,4315944.9795,4.9453,0.8318,0.1682,2.3371,0.7003,0.2997,3.8356,0.7932,0.2068,,,,,,,
57,1715304000000,112031211.0,4318258.71236454,4.9277,0.8313,0.1687,2.3423,0.7008,0.2992,3.8309,0.793,0.207,,,,,,,
58,1715304300000,112003032.0,4318202.97675888,4.9102,0.8308,0.1692,2.339,0.7005,0.2995,3.8333,0.7931,0.2069,,,,,,,
59,1715304600000,112090628.0,4318992.010125,4.8928,0.8303,0.1697,2.3332,0.7,0.3,3.8239,0.7927,0.2073,,,,,,,
60,1715304900000,112170578.0,4325415.2667869,4.8997,0.8305,0.1695,2.3289,0.6996,0.3004,3.8239,0.7927,0.2073,,,,,,,
61,1715305200000,112418128.0,4345250.68597024,4.8789,0.8299,0.1701,2.3114,0.698,0.302,3.8077,0.792,0.208,,,,,,,
62,1715305500000,112332362.0,4328724.19969914,4.8962,0.8304,0.1696,2.3307,0.6998,0.3002,3.8146,0.7923,0.2077,,,,,,,
63,1715305800000,112334984.0,4331021.38732768,5.068,0.8352,0.1648,2.3249,0.6992,0.3008,3.8077,0.792,0.208,,,,,,,
64,1715306100000,112629662.0,4347504.9532,5.0864,0.8357,0.1643,2.3351,0.7002,0.2998,3.8216,0.7926,0.2074,,,,,,,
65,1715306400000,112709743.0,4350596.0798,4.9347,0.8315,0.1685,2.3318,0.6999,0.3001,3.8309,0.793,0.207,,,,,,,
66,1715306700000,112633087.0,4347436.67130514,4.9418,0.8317,0.1683,2.3312,0.6998,0.3002,3.8403,0.7934,0.2066,,,,,,,
67,1715307000000,112311575.0,4329045.165912,4.9347,0.8315,0.1685,2.3241,0.6992,0.3008,3.852,0.7939,0.2061,,,,,,,
68,1715307300000,112296545.0,4326982.39780375,4.9382,0.8316,0.1684,2.3238,0.6991,0.3009,3.8567,0.7941,0.2059,,,,,,,
69,1715307600000,112258239.0,4327943.52695694,4.9382,0.8316,0.1684,2.3239,0.6991,0.3009,3.8567,0.7941,0.2059,,,,,,,
70,1715307900000,112248703.0,4327191.99059812,5.1237,0.8367,0.1633,2.3247,0.6992,0.3008,3.8591,0.7942,0.2058,,,,,,,
71,1715308200000,112321501.0,4331347.33763705,5.1312,0.8369,0.1631,2.3213,0.6989,0.3011,3.8685,0.7946,0.2054,,,,,,,
72,1715308500000,112323309.0,4329088.59562788,5.135,0.837,0.163,2.3217,0.6989,0.3011,3.8662,0.7945,0.2055,,,,,,,
73,1715308800000,112317065.0,4327897.7412559,5.135,0.837,0.163,2.3215,0.6989,0.3011,3.8662,0.7945,0.2055,,,,,,,
74,1715309100000,112121450.0,4328381.30438,5.068,0.8352,0.1648,2.3053,0.6975,0.3025,3.8286,0.7929,0.2071,,,,,,,
75,1715309400000,112037645.0,4321308.77329675,5.0901,0.8358,0.1642,2.3119,0.6981,0.3019,3.8309,0.793,0.207,,,,,,,
76,1715309700000,111865291.0,4310534.34307866,5.0976,0.836,0.164,2.3208,0.6989,0.3011,3.8333,0.7931,0.2069,,,,,,,
77,1715310000000,112065127.0,4328379.93157133,5.0938,0.8359,0.1641,2.311,0.698,0.302,3.8333,0.7931,0.2069,,,,,,,
78,1715310300000,111835402.0,4311905.62913964,5.1425,0.8372,0.1628,2.3243,0.6992,0.3008,3.8614,0.7943,0.2057,,,,,,,
79,1715310600000,111816149.0,4313836.83805977,5.135,0.837,0.163,2.3263,0.6994,0.3006,3.8544,0.794,0.206,,,,,,,
80,1715310900000,112116211.0,4311428.894005,5.1538,0.8375,0.1625,2.3483,0.7013,0.2987,3.8544,0.794,0.206,,,,,,,
81,1715311200000,112150226.0,4320589.69965452,5.1275,0.8368,0.1632,2.3418,0.7008,0.2992,3.8497,0.7938,0.2062,,,,,,,
82,1715311500000,112165311.0,4323937.96780359,5.12,0.8366,0.1634,2.341,0.7007,0.2993,3.8473,0.7937,0.2063,,,,,,,
83,1715311800000,112185478.0,4324595.36094036,5.1237,0.8367,0.1633,2.3412,0.7007,0.2993,3.8473,0.7937,0.2063,,,,,,,
84,1715312100000,112228050.0,4325473.302051,5.1237,0.8367,0.1633,2.3421,0.7008,0.2992,3.8473,0.7937,0.2063,,,,,,,
