,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,19831264.0,6583781.33536,2.2862,0.6957,0.3043,2.7583,0.7339,0.2661,1.7894,0.6415,0.3585,,,,,,,
1,1715287500000,19843000.0,6585494.84,2.2862,0.6957,0.3043,2.7577,0.7339,0.2661,1.7925,0.6419,0.3581,,,,,,,
2,1715287800000,19834694.0,6585515.10188,2.2841,0.6955,0.3045,2.7602,0.7341,0.2659,1.7747,0.6396,0.3604,,,,,,,
3,1715288100000,19830683.0,6587157.97211,2.2787,0.695,0.305,2.7584,0.7339,0.2661,1.7647,0.6383,0.3617,,,,,,,
4,1715288400000,19837218.0,6594883.1241,2.3434,0.7009,0.2991,2.7552,0.7337,0.2663,1.8019,0.6431,0.3569,,,,,,,
5,1715288700000,19835625.0,6618325.87584375,2.3523,0.7017,0.2983,2.7548,0.7337,0.2663,1.8003,0.6429,0.3571,,,,,,,
6,1715289000000,19827589.0,6635631.99510329,2.3445,0.701,0.299,2.7615,0.7342,0.2658,1.8058,0.6436,0.3564,,,,,,,
7,1715289300000,19880850.0,6643849.650273,2.3135,0.6982,0.3018,2.7449,0.733,0.267,1.7933,0.642,0.358,,,,,,,
8,1715289600000,19873752.0,6637621.11506616,2.3201,0.6988,0.3012,2.7439,0.7329,0.2671,1.8121,0.6444,0.3556,,,,,,,
9,1715289900000,19851233.0,6621200.90010232,2.3478,0.7013,0.2987,2.7529,0.7335,0.2665,1.8257,0.6461,0.3539,,,,,,,
10,1715290200000,19857373.0,6613068.36409828,2.3591,0.7023,0.2977,2.754,0.7336,0.2664,1.8289,0.6465,0.3535,,,,,,,
11,1715290500000,19861692.0,6621875.99716788,2.3411,0.7007,0.2993,2.7536,0.7336,0.2664,1.798,0.6426,0.3574,,,,,,,
12,1715290800000,19860577.0,6623623.18180816,2.3278,0.6995,0.3005,2.7551,0.7337,0.2663,1.7988,0.6427,0.3573,,,,,,,
13,1715291100000,19880369.0,6631494.68733,2.3389,0.7005,0.2995,2.748,0.7332,0.2668,1.8225,0.6457,0.3543,,,,,,,
14,1715291400000,19875333.0,6629814.82881,2.3411,0.7007,0.2993,2.7481,0.7332,0.2668,1.8361,0.6474,0.3526,,,,,,,
15,1715291700000,19869150.0,6644746.052112,2.3367,0.7003,0.2997,2.7502,0.7333,0.2667,1.8345,0.6472,0.3528,,,,,,,
16,1715292000000,19859556.0,6640201.82223912,2.308,0.6977,0.3023,2.753,0.7335,0.2665,1.8058,0.6436,0.3564,,,,,,,
17,1715292300000,19871415.0,6648000.5673801,2.3223,0.699,0.301,2.7528,0.7335,0.2665,1.8066,0.6437,0.3563,,,,,,,
18,1715292600000,19868953.0,6650275.26749664,2.3201,0.6988,0.3012,2.7527,0.7335,0.2665,1.8145,0.6447,0.3553,,,,,,,
19,1715292900000,19866151.0,6657987.5382873,2.34,0.7006,0.2994,2.7545,0.7337,0.2663,1.8225,0.6457,0.3543,,,,,,,
20,1715293200000,19863892.0,6653013.34756,2.34,0.7006,0.2994,2.7547,0.7337,0.2663,1.8161,0.6449,0.3551,,,,,,,
21,1715293500000,19876528.0,6657615.62399136,2.3311,0.6998,0.3002,2.7457,0.733,0.267,1.8217,0.6456,0.3544,,,,,,,
