,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,6892813.5,15050277.96124884,2.2862,0.6957,0.3043,1.7113,0.6312,0.3688,2.0741,0.6747,0.3253,,,,,,,
1,1715287200000,6892611.8,15102401.71498,2.2862,0.6957,0.3043,1.707,0.6306,0.3694,2.0855,0.6759,0.3241,,,,,,,
2,1715287500000,6892257.1,15092664.59758,2.3058,0.6975,0.3025,1.7049,0.6303,0.3697,2.1075,0.6782,0.3218,,,,,,,
3,1715287800000,6895409.1,15088057.85775937,2.2927,0.6963,0.3037,1.7056,0.6304,0.3696,2.0969,0.6771,0.3229,,,,,,,
4,1715288100000,6896605.2,15084614.06863882,2.2895,0.696,0.304,1.7057,0.6304,0.3696,2.0931,0.6767,0.3233,,,,,,,
5,1715288400000,6897839.8,15098560.8950019,2.3003,0.697,0.303,1.7061,0.6305,0.3695,2.0989,0.6773,0.3227,,,,,,,
6,1715288700000,6898438.8,15146423.11455412,2.3036,0.6973,0.3027,1.7061,0.6305,0.3695,2.0931,0.6767,0.3233,,,,,,,
7,1715289000000,6896858.5,15146880.6377,2.3036,0.6973,0.3027,1.7053,0.6304,0.3696,2.1104,0.6785,0.3215,,,,,,,
8,1715289300000,6903406.3,15120915.13151872,2.319,0.6987,0.3013,1.7063,0.6305,0.3695,2.1133,0.6788,0.3212,,,,,,,
9,1715289600000,6901330.8,15109224.65265486,2.3036,0.6973,0.3027,1.7039,0.6302,0.3698,2.1172,0.6792,0.3208,,,,,,,
10,1715289900000,6900629.2,15108237.57048,2.2808,0.6952,0.3048,1.7029,0.63,0.37,2.0902,0.6764,0.3236,,,,,,,
11,1715290200000,6898000.2,15076269.23712,2.3025,0.6972,0.3028,1.7051,0.6303,0.3697,2.1114,0.6786,0.3214,,,,,,,
12,1715290500000,6897471.4,15057869.81334,2.2938,0.6964,0.3036,1.7046,0.6303,0.3697,2.0941,0.6768,0.3232,,,,,,,
13,1715290800000,6900408.2,15054625.33122166,2.2982,0.6968,0.3032,1.7051,0.6303,0.3697,2.0893,0.6763,0.3237,,,,,,,
14,1715291100000,6902739.9,15059017.36584,2.2841,0.6955,0.3045,1.7033,0.6301,0.3699,2.0998,0.6774,0.3226,,,,,,,
15,1715291400000,6903758.4,15062620.07712,2.2798,0.6951,0.3049,1.7025,0.63,0.37,2.096,0.677,0.323,,,,,,,
16,1715291700000,6902419.4,15088652.57069815,2.2906,0.6961,0.3039,1.7036,0.6301,0.3699,2.1153,0.679,0.321,,,,,,,
17,1715292000000,6907196.9,15103331.51561142,2.3036,0.6973,0.3027,1.7042,0.6302,0.3698,2.0902,0.6764,0.3236,,,,,,,
18,1715292300000,6890861.8,15045770.88504076,2.3256,0.6993,0.3007,1.7122,0.6313,0.3687,2.1387,0.6814,0.3186,,,,,,,
19,1715292600000,6896745.9,15063872.39478,2.3245,0.6992,0.3008,1.7097,0.631,0.369,2.1427,0.6818,0.3182,,,,,,,
20,1715292900000,6900893.1,15099448.49489965,2.3267,0.6994,0.3006,1.7067,0.6306,0.3694,2.1616,0.6837,0.3163,,,,,,,
21,1715293200000,6908217.0,15138666.7338,2.3201,0.6988,0.3012,1.7016,0.6298,0.3702,2.1368,0.6812,0.3188,,,,,,,
22,1715293500000,6902947.5,15138016.48957088,2.2971,0.6967,0.3033,1.7022,0.6299,0.3701,2.1182,0.6793,0.3207,,,,,,,
23,1715293800000,6904571.1,15171045.30488755,2.2906,0.6961,0.3039,1.6985,0.6294,0.3706,2.1162,0.6791,0.3209,,,,,,,
24,1715294100000,6901395.6,15152015.55810703,2.3322,0.6999,0.3001,1.6984,0.6294,0.3706,2.1338,0.6809,0.3191,,,,,,,
25,1715294400000,6889887.1,15187382.95745097,2.3422,0.7008,0.2992,1.6951,0.629,0.371,2.1766,0.6852,0.3148,,,,,,,
26,1715294700000,6880362.5,15220737.9225,2.3212,0.6989,0.3011,1.6859,0.6277,0.3723,2.1447,0.682,0.318,,,,,,,
27,1715295000000,6874638.5,15262550.20015954,2.3278,0.6995,0.3005,1.6901,0.6283,0.3717,2.1526,0.6828,0.3172,,,,,,,
28,1715295300000,6869038.4,15294114.9169732,2.2916,0.6962,0.3038,1.7023,0.6299,0.3701,2.0788,0.6752,0.3248,,,,,,,
29,1715295600000,6887541.7,15311770.74935995,2.2723,0.6944,0.3056,1.6999,0.6296,0.3704,2.0637,0.6736,0.3264,,,,,,,
30,1715295900000,6880731.2,15249076.48544,2.2971,0.6967,0.3033,1.7048,0.6303,0.3697,2.0931,0.6767,0.3233,,,,,,,
31,1715296200000,6888768.5,15218966.68719132,2.3278,0.6995,0.3005,1.7021,0.6299,0.3701,2.1606,0.6836,0.3164,,,,,,,
32,1715296500000,6884987.3,15192567.26874539,2.3245,0.6992,0.3008,1.7026,0.63,0.37,2.1486,0.6824,0.3176,,,,,,,
33,1715296800000,6892416.5,15202603.07405,2.3422,0.7008,0.2992,1.7044,0.6302,0.3698,2.1447,0.682,0.318,,,,,,,
34,1715297100000,6899687.7,15186196.20644327,2.3512,0.7016,0.2984,1.6989,0.6295,0.3705,2.1626,0.6838,0.3162,,,,,,,
35,1715297400000,6903046.9,15203706.62706314,2.3434,0.7009,0.2991,1.7005,0.6297,0.3703,2.1586,0.6834,0.3166,,,,,,,
36,1715297700000,6902930.7,15201702.11946601,2.3523,0.7017,0.2983,1.7025,0.63,0.37,2.1387,0.6814,0.3186,,,,,,,
37,1715298000000,6901138.8,15186646.04328,2.3445,0.701,0.299,1.7003,0.6297,0.3703,2.124,0.6799,0.3201,,,,,,,
38,1715298300000,6898267.3,15185041.57218351,2.3389,0.7005,0.2995,1.6993,0.6295,0.3705,2.1182,0.6793,0.3207,,,,,,,
39,1715298600000,6877165.0,15189389.87738455,2.3223,0.699,0.301,1.7054,0.6304,0.3696,2.1289,0.6804,0.3196,,,,,,,
40,1715298900000,6886332.8,15208496.15093766,2.3234,0.6991,0.3009,1.7044,0.6302,0.3698,2.1085,0.6783,0.3217,,,,,,,
41,1715299200000,6895331.8,15231098.41302,2.308,0.6977,0.3023,1.7028,0.63,0.37,2.0979,0.6772,0.3228,,,,,,,
42,1715299500000,6899950.1,15191408.30670193,2.3091,0.6978,0.3022,1.7006,0.6297,0.3703,2.1085,0.6783,0.3217,,,,,,,
43,1715299800000,6898425.4,15231723.2832,2.3245,0.6992,0.3008,1.7022,0.6299,0.3701,2.1153,0.679,0.321,,,,,,,
44,1715300100000,6891049.5,15206478.93165,2.3212,0.6989,0.3011,1.6998,0.6296,0.3704,2.1328,0.6808,0.3192,,,,,,,
45,1715300400000,6887085.1,15196960.85179752,2.3344,0.7001,0.2999,1.7014,0.6298,0.3702,2.1309,0.6806,0.3194,,,,,,,
46,1715300700000,6889929.8,15185405.2792,2.3311,0.6998,0.3002,1.7018,0.6299,0.3701,2.127,0.6802,0.3198,,,,,,,
47,1715301000000,6886076.3,15165420.88765285,2.3411,0.7007,0.2993,1.6996,0.6296,0.3704,2.1387,0.6814,0.3186,,,,,,,
48,1715301300000,6889114.4,15171632.37669162,2.3557,0.702,0.298,1.6943,0.6288,0.3712,2.1496,0.6825,0.3175,,,,,,,
49,1715301600000,6894774.2,15198840.24648,2.3422,0.7008,0.2992,1.6947,0.6289,0.3711,2.1201,0.6795,0.3205,,,,,,,
50,1715301900000,6895203.7,15222094.46824228,2.3367,0.7003,0.2997,1.6931,0.6287,0.3713,2.1143,0.6789,0.3211,,,,,,,
51,1715302200000,6899150.9,15190046.8136043,2.3389,0.7005,0.2995,1.6946,0.6289,0.3711,2.1017,0.6776,0.3224,,,,,,,
52,1715302500000,6890850.2,15181910.6865477,2.3344,0.7001,0.2999,1.6934,0.6287,0.3713,2.1172,0.6792,0.3208,,,,,,,
53,1715302800000,6891433.4,15183895.21022,2.3411,0.7007,0.2993,1.6933,0.6287,0.3713,2.1143,0.6789,0.3211,,,,,,,
54,1715303100000,6896126.8,15232321.34895709,2.3367,0.7003,0.2997,1.6943,0.6288,0.3712,2.1066,0.6781,0.3219,,,,,,,
55,1715303400000,6880408.3,15144466.70913,2.3681,0.7031,0.2969,1.6967,0.6292,0.3708,2.1377,0.6813,0.3187,,,,,,,
56,1715303700000,6836206.6,15033658.89336354,2.3921,0.7052,0.2948,1.6929,0.6287,0.3713,2.1496,0.6825,0.3175,,,,,,,
57,1715304000000,6840479.6,15071515.28752823,2.4188,0.7075,0.2925,1.6932,0.6287,0.3713,2.1546,0.683,0.317,,,,,,,
58,1715304300000,6837050.8,15081802.77384643,2.4118,0.7069,0.2931,1.6919,0.6285,0.3715,2.1546,0.683,0.317,,,,,,,
59,1715304600000,6844620.1,15138246.27517,2.3944,0.7054,0.2946,1.6892,0.6281,0.3719,2.1407,0.6816,0.3184,,,,,,,
60,1715304900000,6855555.3,15223573.88673079,2.3979,0.7057,0.2943,1.6922,0.6286,0.3714,2.1486,0.6824,0.3176,,,,,,,
61,1715305200000,6846447.3,15193755.11327197,2.3864,0.7047,0.2953,1.6925,0.6286,0.3714,2.1387,0.6814,0.3186,,,,,,,
62,1715305500000,6856488.0,15213463.34120136,2.3864,0.7047,0.2953,1.694,0.6288,0.3712,2.1328,0.6808,0.3192,,,,,,,
63,1715305800000,6858163.4,15225526.9681508,2.3887,0.7049,0.2951,1.6931,0.6287,0.3713,2.1437,0.6819,0.3181,,,,,,,
64,1715306100000,6836381.3,15174764.31500867,2.4118,0.7069,0.2931,1.6921,0.6285,0.3715,2.1606,0.6836,0.3164,,,,,,,
65,1715306400000,6838041.5,15183187.3466,2.3967,0.7056,0.2944,1.7626,0.638,0.362,2.1486,0.6824,0.3176,,,,,,,
66,1715306700000,6886045.9,15315209.23828706,2.3727,0.7035,0.2965,1.77,0.639,0.361,2.0807,0.6754,0.3246,,,,,,,
67,1715307000000,6884950.3,15300279.02189414,2.3887,0.7049,0.2951,1.7734,0.6394,0.3606,2.1143,0.6789,0.3211,,,,,,,
