,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,28150515.0,5153400.77146425,3.2845,0.7666,0.2334,2.2714,0.6943,0.3057,2.7566,0.7338,0.2662,,,,,,,
1,1715287500000,28152932.0,5123552.09468,3.3554,0.7704,0.2296,2.2742,0.6946,0.3054,2.7951,0.7365,0.2635,,,,,,,
2,1715287800000,28183618.0,5133988.4496587,3.3422,0.7697,0.2303,2.2643,0.6937,0.3063,2.8081,0.7374,0.2626,,,,,,,
3,1715288100000,28208568.0,5142997.11910152,3.3403,0.7696,0.2304,2.2612,0.6934,0.3066,2.8023,0.737,0.263,,,,,,,
4,1715288400000,28239594.0,5149882.4962566,3.3384,0.7695,0.2305,2.2573,0.693,0.307,2.8139,0.7378,0.2622,,,,,,,
5,1715288700000,28152380.0,5158753.5946248,3.2827,0.7665,0.2335,2.2622,0.6935,0.3065,2.7495,0.7333,0.2667,,,,,,,
6,1715289000000,28064680.0,5123207.334,3.3783,0.7716,0.2284,2.2829,0.6954,0.3046,2.7836,0.7357,0.2643,,,,,,,
7,1715289300000,28042173.0,5109815.60020008,3.3365,0.7694,0.2306,2.2867,0.6957,0.3043,2.758,0.7339,0.2661,,,,,,,
8,1715289600000,27665603.0,5005814.20682,3.5228,0.7789,0.2211,2.3022,0.6972,0.3028,2.8941,0.7432,0.2568,,,,,,,
9,1715289900000,27639243.0,5003049.85549965,3.5351,0.7795,0.2205,2.3012,0.6971,0.3029,2.8926,0.7431,0.2569,,,,,,,
10,1715290200000,27667769.0,5002609.31289,3.4803,0.7768,0.2232,2.2966,0.6967,0.3033,2.8183,0.7381,0.2619,,,,,,,
11,1715290500000,27876888.0,5010091.73774928,3.4964,0.7776,0.2224,2.2995,0.6969,0.3031,2.8462,0.74,0.26,,,,,,,
12,1715290800000,27938546.0,5011247.31328734,3.4924,0.7774,0.2226,2.2932,0.6963,0.3037,2.8139,0.7378,0.2622,,,,,,,
13,1715291100000,27926505.0,5013366.1776,3.4405,0.7748,0.2252,2.2848,0.6956,0.3044,2.8226,0.7384,0.2616,,,,,,,
14,1715291400000,27908039.0,5012004.72401,3.4287,0.7742,0.2258,2.2845,0.6955,0.3045,2.8212,0.7383,0.2617,,,,,,,
15,1715291700000,27921431.0,5025051.48828703,3.4248,0.774,0.226,2.2846,0.6955,0.3045,2.8241,0.7385,0.2615,,,,,,,
16,1715292000000,27941943.0,5040478.11332673,3.4563,0.7756,0.2244,2.2733,0.6945,0.3055,2.8388,0.7395,0.2605,,,,,,,
17,1715292300000,27928006.0,5044360.91220096,3.4248,0.774,0.226,2.2803,0.6951,0.3049,2.8183,0.7381,0.2619,,,,,,,
18,1715292600000,27954386.0,5052229.16795548,3.4444,0.775,0.225,2.2738,0.6945,0.3055,2.8462,0.74,0.26,,,,,,,
19,1715292900000,27875779.0,5063923.49090486,3.4248,0.774,0.226,2.2797,0.6951,0.3049,2.8023,0.737,0.263,,,,,,,
20,1715293200000,27873230.0,5065402.0879,3.4563,0.7756,0.2244,2.2682,0.694,0.306,2.8373,0.7394,0.2606,,,,,,,
21,1715293500000,27860662.0,5050066.22093286,3.4543,0.7755,0.2245,2.2748,0.6946,0.3054,2.8344,0.7392,0.2608,,,,,,,
22,1715293800000,27862037.0,5048742.92216833,3.4484,0.7752,0.2248,2.2777,0.6949,0.3051,2.8432,0.7398,0.2602,,,,,,,
23,1715294100000,27842486.0,5039092.09687506,3.4014,0.7728,0.2272,2.2855,0.6956,0.3044,2.8124,0.7377,0.2623,,,,,,,
24,1715294400000,27754042.0,5028477.32956,3.4444,0.775,0.225,2.2947,0.6965,0.3035,2.8447,0.7399,0.2601,,,,,,,
25,1715294700000,27698577.0,5035726.49616804,3.4385,0.7747,0.2253,2.2933,0.6964,0.3036,2.8447,0.7399,0.2601,,,,,,,
26,1715295000000,27678173.0,5043305.77638174,3.4524,0.7754,0.2246,2.2983,0.6968,0.3032,2.8183,0.7381,0.2619,,,,,,,
27,1715295300000,27624185.0,5056350.98805505,3.3995,0.7727,0.2273,2.2995,0.6969,0.3031,2.8139,0.7378,0.2622,,,,,,,
28,1715295600000,27564153.0,5024945.0919,3.4228,0.7739,0.2261,2.3084,0.6977,0.3023,2.811,0.7376,0.2624,,,,,,,
29,1715295900000,27528256.0,5005187.50592,3.4425,0.7749,0.2251,2.3105,0.6979,0.3021,2.8432,0.7398,0.2602,,,,,,,
30,1715296200000,27531004.0,4990269.78504,3.4743,0.7765,0.2235,2.3085,0.6977,0.3023,2.8745,0.7419,0.2581,,,,,,,
31,1715296500000,27482108.0,4990750.8128,3.4307,0.7743,0.2257,2.3087,0.6978,0.3022,2.8417,0.7397,0.2603,,,,,,,
32,1715296800000,27410213.0,4973309.04672,3.4307,0.7743,0.2257,2.3216,0.6989,0.3011,2.8417,0.7397,0.2603,,,,,,,
33,1715297100000,27372516.0,4948403.44248,3.4444,0.775,0.225,2.3275,0.6995,0.3005,2.8314,0.739,0.261,,,,,,,
34,1715297400000,27347271.0,4943882.58659547,3.4267,0.7741,0.2259,2.331,0.6998,0.3002,2.8344,0.7392,0.2608,,,,,,,
35,1715297700000,27341328.0,4943093.64518928,3.4209,0.7738,0.2262,2.3339,0.7001,0.2999,2.7936,0.7364,0.2636,,,,,,,
36,1715298000000,27279338.0,4914275.35346334,3.4307,0.7743,0.2257,2.34,0.7006,0.2994,2.7965,0.7366,0.2634,,,,,,,
37,1715298300000,27274799.0,4919555.49563,3.4307,0.7743,0.2257,2.3375,0.7004,0.2996,2.7908,0.7362,0.2638,,,,,,,
38,1715298600000,27208598.0,4920203.96746862,3.4504,0.7753,0.2247,2.344,0.701,0.299,2.8256,0.7386,0.2614,,,,,,,
39,1715298900000,27198598.0,4918866.4483,3.4643,0.776,0.224,2.3479,0.7013,0.2987,2.7453,0.733,0.267,,,,,,,
40,1715299200000,27174920.0,4907641.6334384,3.4723,0.7764,0.2236,2.3468,0.7012,0.2988,2.7538,0.7336,0.2664,,,,,,,
41,1715299500000,27109743.0,4888428.85776,3.4346,0.7745,0.2255,2.3479,0.7013,0.2987,2.7693,0.7347,0.2653,,,,,,,
42,1715299800000,27070907.0,4882093.51880662,3.4803,0.7768,0.2232,2.3476,0.7013,0.2987,2.7979,0.7367,0.2633,,,,,,,
43,1715300100000,27047227.0,4872287.47178,3.4903,0.7773,0.2227,2.3495,0.7015,0.2985,2.8095,0.7375,0.2625,,,,,,,
44,1715300400000,27032895.0,4862406.82365,3.4504,0.7753,0.2247,2.3582,0.7022,0.2978,2.7908,0.7362,0.2638,,,,,,,
45,1715300700000,27009405.0,4848970.3898688,3.4643,0.776,0.224,2.3659,0.7029,0.2971,2.7651,0.7344,0.2656,,,,,,,
46,1715301000000,26971740.0,4844606.7587112,3.4464,0.7751,0.2249,2.3621,0.7026,0.2974,2.7622,0.7342,0.2658,,,,,,,
47,1715301300000,26973621.0,4849047.84717,3.4267,0.7741,0.2259,2.3591,0.7023,0.2977,2.7369,0.7324,0.2676,,,,,,,
48,1715301600000,26981700.0,4855356.915,3.4209,0.7738,0.2262,2.3584,0.7022,0.2978,2.7523,0.7335,0.2665,,,,,,,
49,1715301900000,26977718.0,4853291.4682,3.4385,0.7747,0.2253,2.3574,0.7021,0.2979,2.7764,0.7352,0.2648,,,,,,,
