,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,6195779.3,17891551.88461,2.5842,0.721,0.279,1.8903,0.654,0.346,3.0717,0.7544,0.2456,,,,,,,
1,1715287200000,6196094.2,17911995.83340717,2.6049,0.7226,0.2774,1.8912,0.6541,0.3459,3.075,0.7546,0.2454,,,,,,,
2,1715287500000,6197354.0,17898578.0874,2.6062,0.7227,0.2773,1.8944,0.6545,0.3455,3.0634,0.7539,0.2461,,,,,,,
3,1715287800000,6208023.1,17939835.27237113,2.5613,0.7192,0.2808,1.8871,0.6536,0.3464,3.0355,0.7522,0.2478,,,,,,,
4,1715288100000,6200701.0,17946873.62318279,2.56,0.7191,0.2809,1.8883,0.6538,0.3462,3.0323,0.752,0.248,,,,,,,
5,1715288400000,6197930.7,17961457.9510837,2.5753,0.7203,0.2797,1.8917,0.6542,0.3458,3.0388,0.7524,0.2476,,,,,,,
6,1715288700000,6201114.2,18027139.53333822,2.5868,0.7212,0.2788,1.8913,0.6541,0.3459,3.0634,0.7539,0.2461,,,,,,,
7,1715289000000,6202558.2,18048076.44981457,2.6049,0.7226,0.2774,1.8935,0.6544,0.3456,3.0535,0.7533,0.2467,,,,,,,
8,1715289300000,6201523.7,18008798.96616752,2.647,0.7258,0.2742,1.9087,0.6562,0.3438,3.122,0.7574,0.2426,,,,,,,
9,1715289600000,6186989.5,17896485.8277,2.659,0.7267,0.2733,1.9083,0.6562,0.3438,3.1477,0.7589,0.2411,,,,,,,
10,1715289900000,6184181.1,17877849.14199,2.663,0.727,0.273,1.9096,0.6563,0.3437,3.1632,0.7598,0.2402,,,,,,,
11,1715290200000,6183399.9,17862605.63112,2.647,0.7258,0.2742,1.9122,0.6566,0.3434,3.1288,0.7578,0.2422,,,,,,,
12,1715290500000,6183792.8,17839270.9396649,2.6711,0.7276,0.2724,1.9134,0.6568,0.3432,3.1288,0.7578,0.2422,,,,,,,
13,1715290800000,6184061.5,17840840.81070356,2.6697,0.7275,0.2725,1.9133,0.6567,0.3433,3.1322,0.758,0.242,,,,,,,
14,1715291100000,6182555.3,17857513.61989296,2.6657,0.7272,0.2728,1.9126,0.6567,0.3433,3.1254,0.7576,0.2424,,,,,,,
15,1715291400000,6184458.8,17876247.2418048,2.651,0.7261,0.2739,1.9119,0.6566,0.3434,3.1408,0.7585,0.2415,,,,,,,
16,1715291700000,6184254.8,17920250.81651031,2.6523,0.7262,0.2738,1.9115,0.6565,0.3435,3.1374,0.7583,0.2417,,,,,,,
17,1715292000000,6185974.0,17914358.50381392,2.6127,0.7232,0.2768,1.911,0.6565,0.3435,3.09,0.7555,0.2445,,,,,,,
18,1715292300000,6186482.8,17930769.54238256,2.6166,0.7235,0.2765,1.9104,0.6564,0.3436,3.1169,0.7571,0.2429,,,,,,,
19,1715292600000,6186625.2,17928039.52776413,2.635,0.7249,0.2751,1.9109,0.6565,0.3435,3.1203,0.7573,0.2427,,,,,,,
20,1715292900000,6187703.2,17971506.2052685,2.6245,0.7241,0.2759,1.91,0.6564,0.3436,3.1068,0.7565,0.2435,,,,,,,
21,1715293200000,6190656.0,17965902.7776,2.6232,0.724,0.276,1.912,0.6566,0.3434,3.1186,0.7572,0.2428,,,,,,,
22,1715293500000,6192861.5,17958612.24287441,2.635,0.7249,0.2751,1.9103,0.6564,0.3436,3.1237,0.7575,0.2425,,,,,,,
23,1715293800000,6192182.0,17994635.94423728,2.655,0.7264,0.2736,1.9185,0.6574,0.3426,3.1254,0.7576,0.2424,,,,,,,
24,1715294100000,6186585.0,17970546.68617305,2.6523,0.7262,0.2738,1.9131,0.6567,0.3433,3.1391,0.7584,0.2416,,,,,,,
25,1715294400000,6189517.4,18029547.67097297,2.6324,0.7247,0.2753,1.9117,0.6566,0.3434,3.1051,0.7564,0.2436,,,,,,,
26,1715294700000,6196214.1,18114777.53238135,2.6792,0.7282,0.2718,1.9119,0.6566,0.3434,3.2159,0.7628,0.2372,,,,,,,
27,1715295000000,6181865.0,18110727.7501814,2.6576,0.7266,0.2734,1.9162,0.6571,0.3429,3.1356,0.7582,0.2418,,,,,,,
28,1715295300000,6177655.4,18135742.95778,2.6536,0.7263,0.2737,1.917,0.6572,0.3428,3.1339,0.7581,0.2419,,,,,,,
29,1715295600000,6175859.8,18098974.72988,2.6523,0.7262,0.2738,1.9177,0.6573,0.3427,3.1494,0.759,0.241,,,,,,,
30,1715295900000,6175589.8,18087275.83239575,2.667,0.7273,0.2727,1.9212,0.6577,0.3423,3.1511,0.7591,0.2409,,,,,,,
31,1715296200000,6164692.6,17997203.57644,2.6765,0.728,0.272,1.9218,0.6577,0.3423,3.1632,0.7598,0.2402,,,,,,,
32,1715296500000,6157155.0,17946259.6785,2.6751,0.7279,0.2721,1.9254,0.6582,0.3418,3.1615,0.7597,0.2403,,,,,,,
33,1715296800000,6148574.1,17931701.50524,2.6232,0.724,0.276,1.9297,0.6587,0.3413,3.0766,0.7547,0.2453,,,,,,,
34,1715297100000,6163124.1,17977400.47165066,2.6206,0.7238,0.2762,1.9296,0.6587,0.3413,3.0617,0.7538,0.2462,,,,,,,
35,1715297400000,6169921.2,18021934.58477559,2.6403,0.7253,0.2747,1.9319,0.6589,0.3411,3.085,0.7552,0.2448,,,,,,,
36,1715297700000,6167222.1,17971073.47866531,2.639,0.7252,0.2748,1.9329,0.659,0.341,3.0917,0.7556,0.2444,,,,,,,
37,1715298000000,6168056.9,17948428.77331,2.6684,0.7274,0.2726,1.9361,0.6594,0.3406,3.1135,0.7569,0.2431,,,,,,,
