,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,159088.645,4779597.26467125,3.1789,0.7607,0.2393,1.5439,0.6069,0.3931,2.2154,0.689,0.311,,,,,,,
1,1715287200000,159147.246,4782807.27586812,3.1789,0.7607,0.2393,1.5433,0.6068,0.3932,2.2258,0.69,0.31,,,,,,,
2,1715287500000,159096.247,4780842.22235,3.1789,0.7607,0.2393,1.5432,0.6068,0.3932,2.2383,0.6912,0.3088,,,,,,,
3,1715287800000,158954.472,4774992.33888,3.1356,0.7582,0.2418,1.5452,0.6071,0.3929,2.2279,0.6902,0.3098,,,,,,,
4,1715288100000,158194.579,4747419.31579,3.1999,0.7619,0.2381,1.5479,0.6075,0.3925,2.2541,0.6927,0.3073,,,,,,,
5,1715288400000,158194.227,4745331.80919012,3.2088,0.7624,0.2376,1.5486,0.6076,0.3924,2.2552,0.6928,0.3072,,,,,,,
6,1715288700000,158147.627,4758769.16711791,3.1999,0.7619,0.2381,1.549,0.6077,0.3923,2.2468,0.692,0.308,,,,,,,
7,1715289000000,158149.236,4753966.03416,3.1911,0.7614,0.2386,1.5481,0.6075,0.3925,2.2446,0.6918,0.3082,,,,,,,
8,1715289300000,158091.504,4747487.86512,3.1876,0.7612,0.2388,1.5507,0.6079,0.3921,2.2436,0.6917,0.3083,,,,,,,
9,1715289600000,157890.582,4741188.28182538,3.1929,0.7615,0.2385,1.5544,0.6085,0.3915,2.2383,0.6912,0.3088,,,,,,,
10,1715289900000,157877.513,4740005.00172611,3.1824,0.7609,0.2391,1.5538,0.6084,0.3916,2.2289,0.6903,0.3097,,,,,,,
11,1715290200000,157880.22,4739564.2044,3.1946,0.7616,0.2384,1.5533,0.6084,0.3916,2.2352,0.6909,0.3091,,,,,,,
12,1715290500000,157690.442,4730713.26,3.1841,0.761,0.239,1.5543,0.6085,0.3915,2.2237,0.6898,0.3102,,,,,,,
13,1715290800000,157545.314,4723754.5799574,3.1841,0.761,0.239,1.554,0.6085,0.3915,2.2289,0.6903,0.3097,,,,,,,
14,1715291100000,157460.401,4719455.79195549,3.207,0.7623,0.2377,1.5541,0.6085,0.3915,2.2394,0.6913,0.3087,,,,,,,
15,1715291400000,157462.223,4726149.50487643,3.2105,0.7625,0.2375,1.553,0.6083,0.3917,2.2446,0.6918,0.3082,,,,,,,
16,1715291700000,157432.862,4727494.93868174,3.2017,0.762,0.238,1.5507,0.6079,0.3921,2.283,0.6954,0.3046,,,,,,,
17,1715292000000,157387.328,4720045.96672,3.223,0.7632,0.2368,1.5527,0.6083,0.3917,2.2884,0.6959,0.3041,,,,,,,
18,1715292300000,157539.212,4723025.57576,3.2571,0.7651,0.2349,1.5489,0.6077,0.3923,2.3156,0.6984,0.3016,,,,,,,
19,1715292600000,157563.796,4720611.32816,3.2699,0.7658,0.2342,1.5484,0.6076,0.3924,2.3278,0.6995,0.3005,,,,,,,
20,1715292900000,157565.593,4720665.16628,3.2772,0.7662,0.2338,1.5491,0.6077,0.3923,2.3212,0.6989,0.3011,,,,,,,
21,1715293200000,157627.311,4721439.11526496,3.279,0.7663,0.2337,1.547,0.6074,0.3926,2.3124,0.6981,0.3019,,,,,,,
22,1715293500000,157796.311,4722843.58823,3.2974,0.7673,0.2327,1.5448,0.607,0.393,2.3201,0.6988,0.3012,,,,,,,
23,1715293800000,158037.606,4731645.92364,3.2992,0.7674,0.2326,1.5416,0.6065,0.3935,2.3278,0.6995,0.3005,,,,,,,
24,1715294100000,157366.885,4722402.97180642,3.2535,0.7649,0.2351,1.5548,0.6086,0.3914,2.2289,0.6903,0.3097,,,,,,,
25,1715294400000,157258.96,4718815.35051585,3.2517,0.7648,0.2352,1.5511,0.608,0.392,2.2712,0.6943,0.3057,,,,,,,
26,1715294700000,157539.947,4730924.60841,3.2553,0.765,0.235,1.5486,0.6076,0.3924,2.2723,0.6944,0.3056,,,,,,,
27,1715295000000,157361.506,4723992.41012,3.279,0.7663,0.2337,1.5398,0.6063,0.3937,2.3003,0.697,0.303,,,,,,,
28,1715295300000,157201.958,4720774.79874,3.2589,0.7652,0.2348,1.5406,0.6064,0.3936,2.3124,0.6981,0.3019,,,,,,,
29,1715295600000,157253.906,4719584.56160242,3.2827,0.7665,0.2335,1.5405,0.6064,0.3936,2.3069,0.6976,0.3024,,,,,,,
30,1715295900000,156383.855,4696207.16565,3.2445,0.7644,0.2356,1.5455,0.6072,0.3928,2.2552,0.6928,0.3072,,,,,,,
31,1715296200000,156244.915,4681919.1422896,3.2699,0.7658,0.2342,1.5464,0.6073,0.3927,2.2648,0.6937,0.3063,,,,,,,
32,1715296500000,156177.111,4675598.35467504,3.2717,0.7659,0.2341,1.5477,0.6075,0.3925,2.268,0.694,0.306,,,,,,,
33,1715296800000,156182.464,4674933.09053706,3.2863,0.7667,0.2333,1.5487,0.6076,0.3924,2.2605,0.6933,0.3067,,,,,,,
34,1715297100000,156174.164,4670621.50965028,3.2918,0.767,0.233,1.5495,0.6078,0.3922,2.2626,0.6935,0.3065,,,,,,,
35,1715297400000,156127.668,4668971.72580752,3.3159,0.7683,0.2317,1.5494,0.6077,0.3923,2.2765,0.6948,0.3052,,,,,,,
36,1715297700000,155859.716,4668151.15879182,3.2974,0.7673,0.2327,1.5564,0.6088,0.3912,2.252,0.6925,0.3075,,,,,,,
37,1715298000000,155825.151,4663846.76943,3.2918,0.767,0.233,1.5576,0.609,0.391,2.2478,0.6921,0.3079,,,,,,,
38,1715298300000,155863.184,4663587.33946537,3.2955,0.7672,0.2328,1.5563,0.6088,0.3912,2.2573,0.693,0.307,,,,,,,
39,1715298600000,155659.956,4672081.77570664,3.3178,0.7684,0.2316,1.553,0.6083,0.3917,2.2787,0.695,0.305,,,,,,,
40,1715298900000,155607.498,4665112.79004,3.3066,0.7678,0.2322,1.5527,0.6083,0.3917,2.2798,0.6951,0.3049,,,,,,,
41,1715299200000,155589.766,4664581.18468,3.3011,0.7675,0.2325,1.5526,0.6082,0.3918,2.2744,0.6946,0.3054,,,,,,,
42,1715299500000,155642.202,4652145.41778,3.2882,0.7668,0.2332,1.5523,0.6082,0.3918,2.2787,0.695,0.305,,,,,,,
43,1715299800000,155586.648,4655152.50816,3.2772,0.7662,0.2338,1.5531,0.6083,0.3917,2.2798,0.6951,0.3049,,,,,,,
44,1715300100000,155613.047,4657498.49671,3.2827,0.7665,0.2335,1.5524,0.6082,0.3918,2.2852,0.6956,0.3044,,,,,,,
45,1715300400000,155810.501,4664966.39994,3.29,0.7669,0.2331,1.5522,0.6082,0.3918,2.2755,0.6947,0.3053,,,,,,,
46,1715300700000,155762.526,4655741.90214,3.2735,0.766,0.234,1.5519,0.6081,0.3919,2.2755,0.6947,0.3053,,,,,,,
47,1715301000000,155858.754,4660176.7446,3.2827,0.7665,0.2335,1.5532,0.6083,0.3917,2.2605,0.6933,0.3067,,,,,,,
48,1715301300000,155906.881,4667852.01714,3.2699,0.7658,0.2342,1.5535,0.6084,0.3916,2.2595,0.6932,0.3068,,,,,,,
49,1715301600000,155876.836,4665905.49501318,3.2662,0.7656,0.2344,1.5546,0.6085,0.3915,2.2563,0.6929,0.3071,,,,,,,
50,1715301900000,155853.221,4672479.56558,3.2608,0.7653,0.2347,1.5545,0.6085,0.3915,2.2552,0.6928,0.3072,,,,,,,
51,1715302200000,155737.734,4658118.2216454,3.2699,0.7658,0.2342,1.5548,0.6086,0.3914,2.2648,0.6937,0.3063,,,,,,,
52,1715302500000,155725.054,4660850.86622,3.29,0.7669,0.2331,1.5535,0.6084,0.3916,2.2798,0.6951,0.3049,,,,,,,
53,1715302800000,155671.115,4656123.04965,3.2863,0.7667,0.2333,1.5532,0.6083,0.3917,2.2755,0.6947,0.3053,,,,,,,
54,1715303100000,155707.306,4660319.66858,3.2974,0.7673,0.2327,1.5538,0.6084,0.3916,2.2819,0.6953,0.3047,,,,,,,
55,1715303400000,155703.351,4650859.09437,3.29,0.7669,0.2331,1.5536,0.6084,0.3916,2.2862,0.6957,0.3043,,,,,,,
56,1715303700000,155638.639,4650482.53332,3.3011,0.7675,0.2325,1.5554,0.6087,0.3913,2.3512,0.7016,0.2984,,,,,,,
57,1715304000000,155650.487,4657062.57104,3.3029,0.7676,0.2324,1.5553,0.6087,0.3913,2.358,0.7022,0.2978,,,,,,,
58,1715304300000,155694.803,4656837.87115426,3.3029,0.7676,0.2324,1.5554,0.6087,0.3913,2.3523,0.7017,0.2983,,,,,,,
59,1715304600000,155686.359,4658135.86128,3.3066,0.7678,0.2322,1.5557,0.6087,0.3913,2.3568,0.7021,0.2979,,,,,,,
60,1715304900000,155492.522,4671225.15705856,3.2481,0.7646,0.2354,1.564,0.61,0.39,2.3146,0.6983,0.3017,,,,,,,
