,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,46224320.0,2225728.2803488,2.9216,0.745,0.255,1.0934,0.5223,0.4777,2.6245,0.7241,0.2759,,,,,,,
1,1715287500000,46232263.0,2225018.73443311,2.8941,0.7432,0.2568,1.0921,0.522,0.478,2.6271,0.7243,0.2757,,,,,,,
2,1715287800000,46243103.0,2226142.97842,2.867,0.7414,0.2586,1.0938,0.5224,0.4776,2.601,0.7223,0.2777,,,,,,,
3,1715288100000,46156390.0,2220122.359,2.8911,0.743,0.257,1.0949,0.5226,0.4774,2.651,0.7261,0.2739,,,,,,,
4,1715288400000,46187013.0,2224372.08852156,2.867,0.7414,0.2586,1.0942,0.5225,0.4775,2.6496,0.726,0.274,,,,,,,
5,1715288700000,46208988.0,2229928.85214036,2.8655,0.7413,0.2587,1.0977,0.5233,0.4767,2.6576,0.7266,0.2734,,,,,,,
6,1715289000000,46554870.0,2252172.8417238,2.8212,0.7383,0.2617,1.1059,0.5251,0.4749,2.6284,0.7244,0.2756,,,,,,,
7,1715289300000,46598365.0,2248356.66575685,2.8124,0.7377,0.2623,1.1095,0.526,0.474,2.6206,0.7238,0.2762,,,,,,,
8,1715289600000,46268678.0,2226911.47214,2.8462,0.74,0.26,1.1045,0.5248,0.4752,2.639,0.7252,0.2748,,,,,,,
9,1715289900000,46285012.0,2226309.0772,2.8715,0.7417,0.2583,1.1035,0.5246,0.4754,2.6483,0.7259,0.2741,,,,,,,
10,1715290200000,46320217.0,2228928.84204,2.8715,0.7417,0.2583,1.1066,0.5253,0.4747,2.643,0.7255,0.2745,,,,,,,
11,1715290500000,46287342.0,2226912.72177204,2.879,0.7422,0.2578,1.1102,0.5261,0.4739,2.6403,0.7253,0.2747,,,,,,,
12,1715290800000,46267169.0,2225288.8938085,2.888,0.7428,0.2572,1.1091,0.5259,0.4741,2.639,0.7252,0.2748,,,,,,,
13,1715291100000,46210221.0,2223635.83452,2.8625,0.7411,0.2589,1.1083,0.5257,0.4743,2.6101,0.723,0.277,,,,,,,
14,1715291400000,46206313.0,2222985.71843,2.8625,0.7411,0.2589,1.1095,0.526,0.474,2.6075,0.7228,0.2772,,,,,,,
15,1715291700000,46195096.0,2227989.48008,2.8895,0.7429,0.2571,1.1065,0.5253,0.4747,2.6377,0.7251,0.2749,,,,,,,
16,1715292000000,45969657.0,2218938.79431348,2.8476,0.7401,0.2599,1.1105,0.5262,0.4738,2.6036,0.7225,0.2775,,,,,,,
17,1715292300000,45960414.0,2215291.9548,2.8462,0.74,0.26,1.1108,0.5263,0.4737,2.6219,0.7239,0.2761,,,,,,,
18,1715292600000,45861185.0,2211311.22912565,2.92,0.7449,0.2551,1.1105,0.5262,0.4738,2.655,0.7264,0.2736,,,,,,,
19,1715292900000,45923774.0,2218901.74378444,2.9032,0.7438,0.2562,1.1118,0.5265,0.4735,2.6245,0.7241,0.2759,,,,,,,
20,1715293200000,45889406.0,2217834.99198,2.8835,0.7425,0.2575,1.1117,0.5264,0.4736,2.6166,0.7235,0.2765,,,,,,,
21,1715293500000,45807943.0,2214700.89843079,2.9032,0.7438,0.2562,1.1145,0.5271,0.4729,2.6153,0.7234,0.2766,,,,,,,
22,1715293800000,45736498.0,2213913.60434832,2.8835,0.7425,0.2575,1.1124,0.5266,0.4734,2.6153,0.7234,0.2766,,,,,,,
23,1715294100000,45767803.0,2215161.6652,2.8971,0.7434,0.2566,1.1135,0.5268,0.4732,2.6206,0.7238,0.2762,,,,,,,
24,1715294400000,45661604.0,2216123.85035856,2.917,0.7447,0.2553,1.1133,0.5268,0.4732,2.6563,0.7265,0.2735,,,,,,,
25,1715294700000,45653266.0,2221487.92356,2.9078,0.7441,0.2559,1.1096,0.526,0.474,2.6483,0.7259,0.2741,,,,,,,
26,1715295000000,45656369.0,2230933.18257733,2.9108,0.7443,0.2557,1.1103,0.5261,0.4739,2.6324,0.7247,0.2753,,,,,,,
27,1715295300000,46029868.0,2250400.24652,2.9246,0.7452,0.2548,1.1125,0.5266,0.4734,2.6403,0.7253,0.2747,,,,,,,
28,1715295600000,46052278.0,2248455.03950366,2.9216,0.745,0.255,1.114,0.527,0.473,2.6403,0.7253,0.2747,,,,,,,
29,1715295900000,46293956.0,2254921.65519412,2.937,0.746,0.254,1.1147,0.5271,0.4729,2.6914,0.7291,0.2709,,,,,,,
30,1715296200000,46463989.0,2255826.66595,2.9635,0.7477,0.2523,1.1175,0.5278,0.4722,2.7051,0.7301,0.2699,,,,,,,
31,1715296500000,46499678.0,2258072.25834834,2.9463,0.7466,0.2534,1.1237,0.5291,0.4709,2.6805,0.7283,0.2717,,,,,,,
