,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
60,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
12,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
11,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
10,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
8,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
7,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
9,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
5,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
4,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
3,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
2,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
1,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
6,1715599800000,,,,,,,,,,,,,,,0.52730979,0.55732826,0.52516170,0.55425959
22,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
61,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
25,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
24,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
23,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
21,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
16,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
19,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
18,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
17,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
15,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
14,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
13,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
20,1715600100000,,,,,,,,,,,,,,,0.55476630,0.55677561,0.51764049,0.52974999
35,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
62,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
37,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
36,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
34,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
33,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
32,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
31,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
30,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
29,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
27,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
26,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
28,1715600400000,,,,,,,,,,,,,,,0.53226954,0.53472487,0.50949636,0.51408803
