,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,300422.301,134641779.45033818,2.1008,0.6775,0.3225,1.0382,0.5094,0.4906,2.2712,0.6943,0.3057,,,,,,,
1,1715287200000,300475.569,134793340.2534,2.0998,0.6774,0.3226,1.0381,0.5093,0.4907,2.2616,0.6934,0.3066,,,,,,,
2,1715287500000,300521.624,134735864.90416,2.1046,0.6779,0.3221,1.0381,0.5093,0.4907,2.2658,0.6938,0.3062,,,,,,,
3,1715287800000,300449.822,134526532.08457336,2.1075,0.6782,0.3218,1.0381,0.5094,0.4906,2.2755,0.6947,0.3053,,,,,,,
4,1715288100000,300414.611,134384622.87746564,2.1153,0.679,0.321,1.0382,0.5094,0.4906,2.2755,0.6947,0.3053,,,,,,,
5,1715288400000,300480.035,134445269.49331445,2.1133,0.6788,0.3212,1.0385,0.5094,0.4906,2.2701,0.6942,0.3058,,,,,,,
6,1715288700000,300474.871,134886154.03752297,2.1008,0.6775,0.3225,1.0384,0.5094,0.4906,2.2616,0.6934,0.3066,,,,,,,
7,1715289000000,300561.192,135259175.6043721,2.0912,0.6765,0.3235,1.0389,0.5095,0.4905,2.2489,0.6922,0.3078,,,,,,,
8,1715289300000,300708.035,135073133.80412003,2.0912,0.6765,0.3235,1.0391,0.5096,0.4904,2.2468,0.692,0.308,,,,,,,
9,1715289600000,300841.686,134942212.753621,2.0864,0.676,0.324,1.0404,0.5099,0.4901,2.23,0.6904,0.3096,,,,,,,
10,1715289900000,300876.049,134804504.99396,2.096,0.677,0.323,1.0414,0.5101,0.4899,2.2457,0.6919,0.3081,,,,,,,
11,1715290200000,300957.848,134802029.69768,2.0902,0.6764,0.3236,1.0416,0.5102,0.4898,2.2446,0.6918,0.3082,,,,,,,
12,1715290500000,301011.03,134768658.3516,2.095,0.6769,0.3231,1.0421,0.5103,0.4897,2.2415,0.6915,0.3085,,,,,,,
13,1715290800000,300911.286,135009329.93610448,2.0817,0.6755,0.3245,1.0414,0.5101,0.4899,2.2279,0.6902,0.3098,,,,,,,
14,1715291100000,300916.432,135033239.69568,2.0798,0.6753,0.3247,1.0409,0.51,0.49,2.2321,0.6906,0.3094,,,,,,,
15,1715291400000,300918.334,135139414.61606,2.0826,0.6756,0.3244,1.0408,0.51,0.49,2.2342,0.6908,0.3092,,,,,,,
16,1715291700000,300895.243,135450378.92030087,2.0788,0.6752,0.3248,1.0403,0.5099,0.4901,2.2331,0.6907,0.3093,,,,,,,
17,1715292000000,301085.145,135409434.49481472,2.0731,0.6746,0.3254,1.0402,0.5099,0.4901,2.2175,0.6892,0.3108,,,,,,,
18,1715292300000,300926.109,135218137.81806,2.075,0.6748,0.3252,1.0398,0.5097,0.4903,2.2373,0.6911,0.3089,,,,,,,
19,1715292600000,300922.355,135132192.7363,2.0769,0.675,0.325,1.0395,0.5097,0.4903,2.2383,0.6912,0.3088,,,,,,,
20,1715292900000,300722.57,135250821.69085097,2.0788,0.6752,0.3248,1.038,0.5093,0.4907,2.2321,0.6906,0.3094,,,,,,,
21,1715293200000,300211.682,135005486.5941371,2.06,0.6732,0.3268,1.035,0.5086,0.4914,2.2082,0.6883,0.3117,,,,,,,
22,1715293500000,300293.863,134992834.8098191,2.0684,0.6741,0.3259,1.0358,0.5088,0.4912,2.2258,0.69,0.31,,,,,,,
23,1715293800000,300465.026,135372199.7161499,2.0628,0.6735,0.3265,1.0361,0.5089,0.4911,2.2103,0.6885,0.3115,,,,,,,
24,1715294100000,300765.671,135283946.78003478,2.0874,0.6761,0.3239,1.0379,0.5093,0.4907,2.2446,0.6918,0.3082,,,,,,,
25,1715294400000,300749.635,135914975.55898166,2.0788,0.6752,0.3248,1.0387,0.5095,0.4905,2.2425,0.6916,0.3084,,,,,,,
26,1715294700000,300677.114,136237394.8521898,1.7816,0.6405,0.3595,1.038,0.5093,0.4907,2.0221,0.6691,0.3309,,,,,,,
27,1715295000000,300737.544,136715287.5024,1.7609,0.6378,0.3622,1.0423,0.5104,0.4896,1.9958,0.6662,0.3338,,,,,,,
28,1715295300000,300401.718,136863022.7208,1.742,0.6353,0.3647,1.0425,0.5104,0.4896,1.986,0.6651,0.3349,,,,,,,
29,1715295600000,300681.502,137020478.51967707,1.742,0.6353,0.3647,1.0429,0.5105,0.4895,1.9851,0.665,0.335,,,,,,,
30,1715295900000,300643.513,136678553.88006,1.7556,0.6371,0.3629,1.043,0.5105,0.4895,1.9895,0.6655,0.3345,,,,,,,
31,1715296200000,300570.67,136192278.25147125,1.7541,0.6369,0.3631,1.0426,0.5104,0.4896,1.9665,0.6629,0.3371,,,,,,,
32,1715296500000,301222.176,137237768.62380052,1.71,0.631,0.369,1.0356,0.5087,0.4913,1.907,0.656,0.344,,,,,,,
33,1715296800000,301761.521,137488584.19802,1.6991,0.6295,0.3705,1.0319,0.5079,0.4921,1.8935,0.6544,0.3456,,,,,,,
34,1715297100000,301862.653,137482313.15289924,1.6947,0.6289,0.3711,1.029,0.5072,0.4928,1.8952,0.6546,0.3454,,,,,,,
35,1715297400000,301232.17,137407054.3455,1.6788,0.6267,0.3733,1.0241,0.506,0.494,1.876,0.6523,0.3477,,,,,,,
36,1715297700000,301062.205,137191036.19645,1.6788,0.6267,0.3733,1.023,0.5057,0.4943,1.8711,0.6517,0.3483,,,,,,,
37,1715298000000,301057.671,137095344.52813375,1.6781,0.6266,0.3734,1.022,0.5054,0.4946,1.8694,0.6515,0.3485,,,,,,,
38,1715298300000,300867.449,136557717.75212,1.6903,0.6283,0.3717,1.0207,0.5051,0.4949,1.8843,0.6533,0.3467,,,,,,,
39,1715298600000,300618.359,136663010.21728995,1.6991,0.6295,0.3705,1.0185,0.5046,0.4954,1.9002,0.6552,0.3448,,,,,,,
40,1715298900000,300572.117,136615324.20700943,1.6925,0.6286,0.3714,1.0167,0.5041,0.4959,1.8977,0.6549,0.3451,,,,,,,
41,1715299200000,300732.684,136649924.28276,1.6918,0.6285,0.3715,1.0169,0.5042,0.4958,1.907,0.656,0.344,,,,,,,
42,1715299500000,300615.757,136085747.03633,1.6983,0.6294,0.3706,1.0159,0.5039,0.4961,1.9121,0.6566,0.3434,,,,,,,
43,1715299800000,300828.089,136362364.46281,1.6954,0.629,0.371,1.0156,0.5039,0.4961,1.9028,0.6555,0.3445,,,,,,,
44,1715300100000,301070.009,136420842.47808,1.6918,0.6285,0.3715,1.0145,0.5036,0.4964,1.9044,0.6557,0.3443,,,,,,,
45,1715300400000,301078.604,136084518.22196,1.7005,0.6297,0.3703,1.014,0.5035,0.4965,1.9129,0.6567,0.3433,,,,,,,
46,1715300700000,301124.101,136053891.31382,1.6983,0.6294,0.3706,1.0143,0.5035,0.4965,1.9095,0.6563,0.3437,,,,,,,
47,1715301000000,301376.421,136204059.70674,1.6918,0.6285,0.3715,1.0139,0.5035,0.4965,1.9257,0.6582,0.3418,,,,,,,
48,1715301300000,301538.631,136264642.34464934,1.6925,0.6286,0.3714,1.0151,0.5038,0.4962,1.9231,0.6579,0.3421,,,,,,,
49,1715301600000,301581.298,136180478.11206305,1.694,0.6288,0.3712,1.0148,0.5037,0.4963,1.924,0.658,0.342,,,,,,,
50,1715301900000,301541.568,136254572.91648,1.6976,0.6293,0.3707,1.0143,0.5036,0.4964,1.9334,0.6591,0.3409,,,,,,,
51,1715302200000,301596.298,135820876.84132,1.7152,0.6317,0.3683,1.0114,0.5028,0.4972,1.97,0.6633,0.3367,,,,,,,
52,1715302500000,301695.303,136115869.85451,1.7122,0.6313,0.3687,1.0108,0.5027,0.4973,1.963,0.6625,0.3375,,,,,,,
53,1715302800000,301700.564,136115226.45424,1.7108,0.6311,0.3689,1.011,0.5027,0.4973,1.963,0.6625,0.3375,,,,,,,
54,1715303100000,301768.377,136335935.04483,1.7056,0.6304,0.3696,1.0109,0.5027,0.4973,1.9577,0.6619,0.3381,,,,,,,
55,1715303400000,301852.24,136059897.18,1.7034,0.6301,0.3699,1.0106,0.5026,0.4974,1.949,0.6609,0.3391,,,,,,,
56,1715303700000,301768.716,135895505.87628,1.7064,0.6305,0.3695,1.0097,0.5024,0.4976,1.9472,0.6607,0.3393,,,,,,,
57,1715304000000,301694.246,136151596.27734,1.7064,0.6305,0.3695,1.0106,0.5026,0.4974,1.9472,0.6607,0.3393,,,,,,,
58,1715304300000,301657.622,136148158.9816272,1.702,0.6299,0.3701,1.0104,0.5026,0.4974,1.9438,0.6603,0.3397,,,,,,,
59,1715304600000,301713.102,136313979.4836,1.7005,0.6297,0.3703,1.0109,0.5027,0.4973,1.9499,0.661,0.339,,,,,,,
60,1715304900000,301894.012,136568511.81050652,1.6991,0.6295,0.3705,1.0112,0.5028,0.4972,1.9516,0.6612,0.3388,,,,,,,
61,1715305200000,301775.298,136656922.0552769,1.6947,0.6289,0.3711,1.0117,0.5029,0.4971,1.9455,0.6605,0.3395,,,,,,,
62,1715305500000,301789.967,136354617.09181017,1.6954,0.629,0.371,1.0118,0.5029,0.4971,1.949,0.6609,0.3391,,,,,,,
63,1715305800000,301833.996,136262957.4942,1.6925,0.6286,0.3714,1.0118,0.5029,0.4971,1.9446,0.6604,0.3396,,,,,,,
64,1715306100000,301965.002,136370414.55322,1.6983,0.6294,0.3706,1.0114,0.5028,0.4972,1.9455,0.6605,0.3395,,,,,,,
65,1715306400000,301941.508,136304051.1639422,1.6954,0.629,0.371,1.0039,0.501,0.499,1.9429,0.6602,0.3398,,,,,,,
66,1715306700000,301959.875,136032923.6875,1.6911,0.6284,0.3716,1.0049,0.5012,0.4988,1.9291,0.6586,0.3414,,,,,,,
67,1715307000000,302023.957,136049711.67022,1.6817,0.6271,0.3729,1.005,0.5012,0.4988,1.9265,0.6583,0.3417,,,,,,,
68,1715307300000,302475.955,136430267.28328726,1.6738,0.626,0.374,1.0058,0.5015,0.4985,1.9308,0.6588,0.3412,,,,,,,
69,1715307600000,302241.176,136362151.37592,1.686,0.6277,0.3723,1.0048,0.5012,0.4988,1.9516,0.6612,0.3388,,,,,,,
70,1715307900000,302278.119,136393740.95693892,1.6932,0.6287,0.3713,1.0043,0.5011,0.4989,1.9525,0.6613,0.3387,,,,,,,
71,1715308200000,302297.923,136448213.50451,1.6925,0.6286,0.3714,1.0039,0.501,0.499,1.9542,0.6615,0.3385,,,,,,,
72,1715308500000,302291.111,136687887.85383797,1.6838,0.6274,0.3726,1.0043,0.5011,0.4989,1.9446,0.6604,0.3396,,,,,,,
73,1715308800000,302310.01,136622962.8193,1.6838,0.6274,0.3726,1.004,0.501,0.499,1.9499,0.661,0.339,,,,,,,
74,1715309100000,302209.091,136884245.51564094,1.6745,0.6261,0.3739,1.0024,0.5006,0.4994,1.9438,0.6603,0.3397,,,,,,,
75,1715309400000,302343.7,136623071.156,1.6774,0.6265,0.3735,1.0029,0.5007,0.4993,1.9507,0.6611,0.3389,,,,,,,
76,1715309700000,302157.494,136430098.27245665,1.6774,0.6265,0.3735,1.0027,0.5007,0.4993,1.949,0.6609,0.3391,,,,,,,
