,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,12883453.0,26614637.2074,1.8201,0.6454,0.3546,1.5904,0.614,0.386,1.8794,0.6527,0.3473,,,,,,,
1,1715287200000,12887029.0,26646645.69258566,1.8121,0.6444,0.3556,1.5874,0.6135,0.3865,1.8777,0.6525,0.3475,,,,,,,
2,1715287500000,12924628.0,26732368.94801376,1.8313,0.6468,0.3532,1.5827,0.6128,0.3872,1.8935,0.6544,0.3456,,,,,,,
3,1715287800000,12920705.0,26701928.953,1.8345,0.6472,0.3528,1.5846,0.6131,0.3869,1.8868,0.6536,0.3464,,,,,,,
4,1715288100000,12917848.0,26693441.1072,1.8321,0.6469,0.3531,1.5838,0.613,0.387,1.8835,0.6532,0.3468,,,,,,,
5,1715288400000,12919201.0,26694536.00439634,1.8305,0.6467,0.3533,1.5853,0.6132,0.3868,1.8744,0.6521,0.3479,,,,,,,
6,1715288700000,12912799.0,26806120.02880188,1.8337,0.6471,0.3529,1.5861,0.6133,0.3867,1.876,0.6523,0.3477,,,,,,,
7,1715289000000,12892164.0,26976853.17,1.791,0.6417,0.3583,1.5871,0.6135,0.3865,1.8209,0.6455,0.3545,,,,,,,
8,1715289300000,12874658.0,26712278.10505528,1.8043,0.6434,0.3566,1.5866,0.6134,0.3866,1.8209,0.6455,0.3545,,,,,,,
9,1715289600000,12868531.0,26644293.4355,1.8193,0.6453,0.3547,1.5872,0.6135,0.3865,1.8377,0.6476,0.3524,,,,,,,
10,1715289900000,12865295.0,26624728.0025,1.8169,0.645,0.355,1.5871,0.6135,0.3865,1.8353,0.6473,0.3527,,,,,,,
11,1715290200000,12857987.0,26607358.06333084,1.8153,0.6448,0.3552,1.5873,0.6135,0.3865,1.8289,0.6465,0.3535,,,,,,,
12,1715290500000,12844754.0,26584022.4486993,1.8257,0.6461,0.3539,1.5829,0.6128,0.3872,1.845,0.6485,0.3515,,,,,,,
13,1715290800000,12835408.0,26535922.4992,1.8257,0.6461,0.3539,1.5834,0.6129,0.3871,1.8353,0.6473,0.3527,,,,,,,
14,1715291100000,12839253.0,26552529.03210537,1.8289,0.6465,0.3535,1.585,0.6132,0.3868,1.849,0.649,0.351,,,,,,,
15,1715291400000,12850852.0,26615283.01997236,1.8337,0.6471,0.3529,1.5852,0.6132,0.3868,1.8563,0.6499,0.3501,,,,,,,
16,1715291700000,12847927.0,26709951.02797233,1.8241,0.6459,0.3541,1.5838,0.613,0.387,1.858,0.6501,0.3499,,,,,,,
17,1715292000000,12838672.0,26635148.47430976,1.8257,0.6461,0.3539,1.5849,0.6131,0.3869,1.8441,0.6484,0.3516,,,,,,,
18,1715292300000,12835798.0,26645432.20622846,1.8177,0.6451,0.3549,1.5836,0.6129,0.3871,1.8409,0.648,0.352,,,,,,,
19,1715292600000,12826484.0,26720193.16418804,1.8098,0.6441,0.3559,1.5816,0.6126,0.3874,1.8209,0.6455,0.3545,,,,,,,
20,1715292900000,12818453.0,26791848.6153,1.8074,0.6438,0.3562,1.5794,0.6123,0.3877,1.8153,0.6448,0.3552,,,,,,,
21,1715293200000,12824700.0,26800079.022402,1.8121,0.6444,0.3556,1.58,0.6124,0.3876,1.8114,0.6443,0.3557,,,,,,,
22,1715293500000,12824847.0,26837274.8322,1.8106,0.6442,0.3558,1.5777,0.6121,0.3879,1.8161,0.6449,0.3551,,,,,,,
