,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,24223677.0,7056357.1101,4.6497,0.823,0.177,1.4971,0.5995,0.4005,4.423,0.8156,0.1844,,,,,,,
1,1715287200000,24274952.0,7084554.68112808,4.6243,0.8222,0.1778,1.4973,0.5996,0.4004,4.4348,0.816,0.184,,,,,,,
2,1715287500000,24269489.0,7079076.96391092,4.6211,0.8221,0.1779,1.4957,0.5993,0.4007,4.4348,0.816,0.184,,,,,,,
3,1715287800000,24256733.0,7073669.88564508,4.6306,0.8224,0.1776,1.4966,0.5995,0.4005,4.4318,0.8159,0.1841,,,,,,,
4,1715288100000,24252545.0,7072042.122,4.6338,0.8225,0.1775,1.4994,0.5999,0.4001,4.4585,0.8168,0.1832,,,,,,,
5,1715288400000,24256464.0,7073425.28395824,4.685,0.8241,0.1759,1.4987,0.5998,0.4002,4.4437,0.8163,0.1837,,,,,,,
6,1715288700000,24243426.0,7096101.21652608,4.6402,0.8227,0.1773,1.4996,0.5999,0.4001,4.4113,0.8152,0.1848,,,,,,,
7,1715289000000,24255810.0,7111803.492,4.6338,0.8225,0.1775,1.503,0.6005,0.3995,4.4083,0.8151,0.1849,,,,,,,
8,1715289300000,24262163.0,7096682.6775,4.6948,0.8244,0.1756,1.5005,0.6001,0.3999,4.4377,0.8161,0.1839,,,,,,,
9,1715289600000,24225281.0,7073782.052,4.685,0.8241,0.1759,1.5026,0.6004,0.3996,4.423,0.8156,0.1844,,,,,,,
10,1715289900000,24223207.0,7065909.4819,4.6818,0.824,0.176,1.5014,0.6002,0.3998,4.4289,0.8158,0.1842,,,,,,,
11,1715290200000,24220559.0,7061537.40082142,4.6754,0.8238,0.1762,1.5003,0.6001,0.3999,4.4407,0.8162,0.1838,,,,,,,
12,1715290500000,24221330.0,7060517.695,4.6818,0.824,0.176,1.5006,0.6001,0.3999,4.423,0.8156,0.1844,,,,,,,
13,1715290800000,24233963.0,7071151.72678655,4.7176,0.8251,0.1749,1.5002,0.6,0.4,4.4083,0.8151,0.1849,,,,,,,
