,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,8479264.6,7918845.6670966,2.3875,0.7048,0.2952,1.1531,0.5356,0.4644,2.3613,0.7025,0.2975,,,,,,,
1,1715287200000,8482754.1,7925256.64262275,2.3956,0.7055,0.2945,1.1504,0.535,0.465,2.3715,0.7034,0.2966,,,,,,,
2,1715287500000,8473095.5,7913871.197,2.3956,0.7055,0.2945,1.1491,0.5347,0.4653,2.3738,0.7036,0.2964,,,,,,,
3,1715287800000,8470833.3,7909967.48333205,2.4095,0.7067,0.2933,1.148,0.5345,0.4655,2.3818,0.7043,0.2957,,,,,,,
4,1715288100000,8464683.8,7905820.91258782,2.4141,0.7071,0.2929,1.1479,0.5344,0.4656,2.3875,0.7048,0.2952,,,,,,,
5,1715288400000,8466346.2,7906261.92487942,2.4118,0.7069,0.2931,1.1474,0.5343,0.4657,2.3898,0.705,0.295,,,,,,,
6,1715288700000,8474221.3,7928913.80305073,2.4165,0.7073,0.2927,1.1462,0.5341,0.4659,2.3864,0.7047,0.2953,,,,,,,
7,1715289000000,8484442.9,7941500.15145545,2.4048,0.7063,0.2937,1.1469,0.5342,0.4658,2.3784,0.704,0.296,,,,,,,
8,1715289300000,8513000.4,7959655.374,2.4235,0.7079,0.2921,1.1509,0.5351,0.4649,2.3887,0.7049,0.2951,,,,,,,
9,1715289600000,8512415.2,7945789.85742638,2.427,0.7082,0.2918,1.1509,0.5351,0.4649,2.391,0.7051,0.2949,,,,,,,
10,1715289900000,8512334.2,7940889.71350283,2.4305,0.7085,0.2915,1.1514,0.5352,0.4648,2.3956,0.7055,0.2945,,,,,,,
11,1715290200000,8508004.4,7925157.26265474,2.4423,0.7095,0.2905,1.1523,0.5354,0.4646,2.4037,0.7062,0.2938,,,,,,,
12,1715290500000,8502324.7,7930092.23057642,2.4341,0.7088,0.2912,1.1524,0.5354,0.4646,2.3979,0.7057,0.2943,,,,,,,
13,1715290800000,8501254.7,7920456.71503778,2.4566,0.7107,0.2893,1.1529,0.5355,0.4645,2.4141,0.7071,0.2929,,,,,,,
14,1715291100000,8509959.3,7939792.0269,2.4566,0.7107,0.2893,1.152,0.5353,0.4647,2.4106,0.7068,0.2932,,,,,,,
15,1715291400000,8505123.0,7935279.759,2.4626,0.7112,0.2888,1.1517,0.5353,0.4647,2.4153,0.7072,0.2928,,,,,,,
16,1715291700000,8500034.5,7938317.11509752,2.4626,0.7112,0.2888,1.1505,0.535,0.465,2.4095,0.7067,0.2933,,,,,,,
17,1715292000000,8500031.9,7937814.2900383,2.4626,0.7112,0.2888,1.1505,0.535,0.465,2.4095,0.7067,0.2933,,,,,,,
18,1715292300000,8518469.5,7948089.47848022,2.4686,0.7117,0.2883,1.1543,0.5358,0.4642,2.4176,0.7074,0.2926,,,,,,,
19,1715292600000,8535914.2,7964007.9486,2.4722,0.712,0.288,1.1536,0.5357,0.4643,2.4247,0.708,0.292,,,,,,,
20,1715292900000,8544610.7,7987758.07889657,2.4614,0.7111,0.2889,1.1514,0.5352,0.4648,2.4188,0.7075,0.2925,,,,,,,
21,1715293200000,8552052.9,7987617.4086,2.4626,0.7112,0.2888,1.1542,0.5358,0.4642,2.4176,0.7074,0.2926,,,,,,,
22,1715293500000,8557449.8,7994614.77409677,2.4746,0.7122,0.2878,1.1545,0.5358,0.4642,2.4258,0.7081,0.2919,,,,,,,
23,1715293800000,8560773.9,8000735.86176625,2.4746,0.7122,0.2878,1.1535,0.5356,0.4644,2.427,0.7082,0.2918,,,,,,,
24,1715294100000,8561419.4,8001846.14100052,2.4734,0.7121,0.2879,1.1528,0.5355,0.4645,2.4258,0.7081,0.2919,,,,,,,
25,1715294400000,8555236.7,8024812.0246,2.4542,0.7105,0.2895,1.1524,0.5354,0.4646,2.42,0.7076,0.2924,,,,,,,
26,1715294700000,8551076.2,8038011.628,2.4483,0.71,0.29,1.1501,0.5349,0.4651,2.4153,0.7072,0.2928,,,,,,,
27,1715295000000,8535215.0,8047123.35303955,2.4388,0.7092,0.2908,1.1521,0.5353,0.4647,2.3979,0.7057,0.2943,,,,,,,
28,1715295300000,8557677.3,8074130.10857892,2.4235,0.7079,0.2921,1.1579,0.5366,0.4634,2.3422,0.7008,0.2992,,,,,,,
29,1715295600000,8566986.7,8070101.4714,2.4165,0.7073,0.2927,1.1554,0.536,0.464,2.3422,0.7008,0.2992,,,,,,,
30,1715295900000,8564281.2,8067041.00331268,2.4258,0.7081,0.2919,1.1566,0.5363,0.4637,2.33,0.6997,0.3003,,,,,,,
31,1715296200000,8557143.0,8046953.12748264,2.4294,0.7084,0.2916,1.1589,0.5368,0.4632,2.3311,0.6998,0.3002,,,,,,,
32,1715296500000,8560902.4,8043239.87027827,2.4223,0.7078,0.2922,1.1605,0.5371,0.4629,2.3245,0.6992,0.3008,,,,,,,
33,1715296800000,8558778.9,8036693.3871,2.4352,0.7089,0.2911,1.1609,0.5372,0.4628,2.3434,0.7009,0.2991,,,,,,,
34,1715297100000,8559502.2,8037372.5658,2.4412,0.7094,0.2906,1.1613,0.5373,0.4627,2.3434,0.7009,0.2991,,,,,,,
35,1715297400000,8537940.3,8018032.84171867,2.4447,0.7097,0.2903,1.1601,0.5371,0.4629,2.3602,0.7024,0.2976,,,,,,,
36,1715297700000,8538421.9,8009438.40111851,2.4423,0.7095,0.2905,1.1604,0.5371,0.4629,2.3535,0.7018,0.2982,,,,,,,
37,1715298000000,8542603.2,7993761.19036958,2.4566,0.7107,0.2893,1.161,0.5373,0.4627,2.3647,0.7028,0.2972,,,,,,,
38,1715298300000,8545410.7,7995428.49461854,2.453,0.7104,0.2896,1.1603,0.5371,0.4629,2.3636,0.7027,0.2973,,,,,,,
39,1715298600000,8533045.1,8012529.3489,2.4447,0.7097,0.2903,1.1586,0.5367,0.4633,2.3568,0.7021,0.2979,,,,,,,
40,1715298900000,8538669.6,8017810.7544,2.4423,0.7095,0.2905,1.1587,0.5368,0.4632,2.358,0.7022,0.2978,,,,,,,
41,1715299200000,8538693.0,8013981.43490928,2.4423,0.7095,0.2905,1.1588,0.5368,0.4632,2.3546,0.7019,0.2981,,,,,,,
42,1715299500000,8532763.3,7990990.68258517,2.4459,0.7098,0.2902,1.1591,0.5368,0.4632,2.3647,0.7028,0.2972,,,,,,,
43,1715299800000,8534576.4,8014335.59191742,2.4412,0.7094,0.2906,1.1567,0.5363,0.4637,2.3795,0.7041,0.2959,,,,,,,
44,1715300100000,8536933.2,8007643.3416,2.4542,0.7105,0.2895,1.1587,0.5368,0.4632,2.3956,0.7055,0.2945,,,,,,,
45,1715300400000,8527289.7,8006829.81353059,2.4578,0.7108,0.2892,1.1578,0.5366,0.4634,2.3967,0.7056,0.2944,,,,,,,
46,1715300700000,8529011.8,8011134.97975061,2.4341,0.7088,0.2912,1.1577,0.5365,0.4635,2.367,0.703,0.297,,,,,,,
47,1715301000000,8524808.7,7995699.65416136,2.4352,0.7089,0.2911,1.1582,0.5366,0.4634,2.3613,0.7025,0.2975,,,,,,,
48,1715301300000,8524799.9,7996262.3062,2.4376,0.7091,0.2909,1.1589,0.5368,0.4632,2.3636,0.7027,0.2973,,,,,,,
49,1715301600000,8529833.3,8005112.67180553,2.44,0.7093,0.2907,1.1583,0.5367,0.4633,2.3659,0.7029,0.2971,,,,,,,
50,1715301900000,8528258.8,8015036.62839221,2.4364,0.709,0.291,1.1582,0.5367,0.4633,2.3636,0.7027,0.2973,,,,,,,
