,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,430210.93,256676747.1659,1.3657,0.5773,0.4227,1.2022,0.5459,0.4541,1.373,0.5786,0.4214,,,,,,,
1,1715287200000,430560.45,257128062.7176509,1.3613,0.5765,0.4235,1.2049,0.5465,0.4535,1.3708,0.5782,0.4218,,,,,,,
2,1715287500000,430592.24,256852696.8860789,1.3629,0.5768,0.4232,1.2047,0.5464,0.4536,1.3714,0.5783,0.4217,,,,,,,
3,1715287800000,430459.49,256768796.886418,1.3629,0.5768,0.4232,1.2041,0.5463,0.4537,1.3725,0.5785,0.4215,,,,,,,
4,1715288100000,430247.91,256492291.5465,1.3629,0.5768,0.4232,1.2062,0.5467,0.4533,1.3702,0.5781,0.4219,,,,,,,
5,1715288400000,430134.97,256644440.4329756,1.3629,0.5768,0.4232,1.2062,0.5467,0.4533,1.3708,0.5782,0.4218,,,,,,,
6,1715288700000,430022.44,256774788.8897164,1.3646,0.5771,0.4229,1.2061,0.5467,0.4533,1.3747,0.5789,0.4211,,,,,,,
7,1715289000000,430026.77,256993804.38348183,1.3635,0.5769,0.4231,1.206,0.5467,0.4533,1.3725,0.5785,0.4215,,,,,,,
8,1715289300000,429934.59,256807947.5930004,1.3629,0.5768,0.4232,1.2079,0.5471,0.4529,1.3714,0.5783,0.4217,,,,,,,
9,1715289600000,429914.43,256814421.9217054,1.3624,0.5767,0.4233,1.2071,0.5469,0.4531,1.3697,0.578,0.422,,,,,,,
10,1715289900000,429853.16,256724751.1975314,1.3618,0.5766,0.4234,1.2075,0.547,0.453,1.3691,0.5779,0.4221,,,,,,,
11,1715290200000,429698.01,256444634.02852848,1.3618,0.5766,0.4234,1.2077,0.547,0.453,1.3685,0.5778,0.4222,,,,,,,
12,1715290500000,429665.23,256192190.0398,1.3652,0.5772,0.4228,1.2073,0.547,0.453,1.3725,0.5785,0.4215,,,,,,,
13,1715290800000,429515.17,256016812.2302,1.368,0.5777,0.4223,1.207,0.5469,0.4531,1.3702,0.5781,0.4219,,,,,,,
14,1715291100000,429641.31,255980292.498,1.3669,0.5775,0.4225,1.2069,0.5469,0.4531,1.3663,0.5774,0.4226,,,,,,,
15,1715291400000,430061.0,256055909.10592303,1.3764,0.5792,0.4208,1.2084,0.5472,0.4528,1.3815,0.5801,0.4199,,,,,,,
16,1715291700000,430003.29,256243260.5439,1.3742,0.5788,0.4212,1.2073,0.5469,0.4531,1.3776,0.5794,0.4206,,,,,,,
17,1715292000000,429821.63,256370398.40336192,1.3719,0.5784,0.4216,1.2078,0.5471,0.4529,1.3759,0.5791,0.4209,,,,,,,
18,1715292300000,429480.7,256328969.455072,1.3669,0.5775,0.4225,1.2072,0.5469,0.4531,1.3742,0.5788,0.4212,,,,,,,
19,1715292600000,429471.11,256145159.4262,1.3646,0.5771,0.4229,1.2067,0.5468,0.4532,1.3725,0.5785,0.4215,,,,,,,
20,1715292900000,429568.74,256290217.5938588,1.3652,0.5772,0.4228,1.2068,0.5468,0.4532,1.3742,0.5788,0.4212,,,,,,,
21,1715293200000,427331.32,254575897.61855072,1.381,0.58,0.42,1.2166,0.5489,0.4511,1.3952,0.5825,0.4175,,,,,,,
22,1715293500000,427205.03,254450300.98637223,1.3821,0.5802,0.4198,1.2159,0.5487,0.4513,1.3958,0.5826,0.4174,,,,,,,
23,1715293800000,427392.95,254853758.23749745,1.3798,0.5798,0.4202,1.2157,0.5487,0.4513,1.3918,0.5819,0.4181,,,,,,,
24,1715294100000,427294.57,254615328.04841864,1.3804,0.5799,0.4201,1.2129,0.5481,0.4519,1.3935,0.5822,0.4178,,,,,,,
25,1715294400000,427255.83,254985958.4492364,1.3804,0.5799,0.4201,1.2143,0.5484,0.4516,1.3923,0.582,0.418,,,,,,,
26,1715294700000,427109.43,255161889.82903987,1.381,0.58,0.42,1.2158,0.5487,0.4513,1.3935,0.5822,0.4178,,,,,,,
27,1715295000000,426765.42,255251337.39451024,1.3725,0.5785,0.4215,1.2162,0.5488,0.4512,1.3781,0.5795,0.4205,,,,,,,
28,1715295300000,427920.92,256350306.3352,1.3563,0.5756,0.4244,1.2142,0.5484,0.4516,1.359,0.5761,0.4239,,,,,,,
29,1715295600000,427941.72,256050369.3276,1.3579,0.5759,0.4241,1.2145,0.5484,0.4516,1.3613,0.5765,0.4235,,,,,,,
30,1715295900000,427734.92,255614058.8190022,1.3697,0.578,0.422,1.2159,0.5487,0.4513,1.3697,0.578,0.422,,,,,,,
31,1715296200000,427857.63,255576476.7042,1.368,0.5777,0.4223,1.2158,0.5487,0.4513,1.368,0.5777,0.4223,,,,,,,
32,1715296500000,428104.76,255398737.7208,1.3663,0.5774,0.4226,1.2156,0.5487,0.4513,1.3568,0.5757,0.4243,,,,,,,
33,1715296800000,428261.57,254875590.7698,1.3742,0.5788,0.4212,1.2178,0.5491,0.4509,1.3613,0.5765,0.4235,,,,,,,
34,1715297100000,428440.09,254613376.6852,1.3815,0.5801,0.4199,1.2191,0.5494,0.4506,1.3781,0.5795,0.4205,,,,,,,
