,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1736271864.0,4081975.152264,3.1118,0.7568,0.2432,3.1128,0.7569,0.2431,2.8432,0.7398,0.2602,,,,,,,
1,1715287200000,1737595539.0,4092037.494345,3.0883,0.7554,0.2446,3.104,0.7563,0.2437,2.8314,0.739,0.261,,,,,,,
2,1715287500000,1736626217.0,4086281.488601,3.0883,0.7554,0.2446,3.1022,0.7562,0.2438,2.8329,0.7391,0.2609,,,,,,,
3,1715287800000,1736996710.0,4090627.25205,3.0733,0.7545,0.2455,3.1061,0.7565,0.2435,2.8256,0.7386,0.2614,,,,,,,
4,1715288100000,1736269737.0,4085442.691161,3.0552,0.7534,0.2466,3.1007,0.7561,0.2439,2.8256,0.7386,0.2614,,,,,,,
5,1715288400000,1736966432.0,4088818.980928,3.0617,0.7538,0.2462,3.0954,0.7558,0.2442,2.8521,0.7404,0.2596,,,,,,,
6,1715288700000,1739041932.0,4098921.833724,3.0783,0.7548,0.2452,3.0905,0.7555,0.2445,2.87,0.7416,0.2584,,,,,,,
7,1715289000000,1739797075.0,4104181.299925,3.0816,0.755,0.245,3.1071,0.7565,0.2435,2.867,0.7414,0.2586,,,,,,,
8,1715289300000,1740626117.0,4103682.72717803,3.0766,0.7547,0.2453,3.1116,0.7568,0.2432,2.8432,0.7398,0.2602,,,,,,,
9,1715289600000,1738012604.0,4089543.657212,3.065,0.754,0.246,3.1099,0.7567,0.2433,2.8417,0.7397,0.2603,,,,,,,
10,1715289900000,1739704677.0,4091785.400304,3.0766,0.7547,0.2453,3.1141,0.7569,0.2431,2.8536,0.7405,0.2595,,,,,,,
11,1715290200000,1739169424.0,4090526.485248,3.0766,0.7547,0.2453,3.1128,0.7569,0.2431,2.858,0.7408,0.2592,,,,,,,
12,1715290500000,1736660641.0,4085077.35939866,3.1,0.7561,0.2439,3.1304,0.7579,0.2421,2.861,0.741,0.259,,,,,,,
13,1715290800000,1737020337.0,4092246.2119383,3.095,0.7558,0.2442,3.1348,0.7581,0.2419,2.8551,0.7406,0.2594,,,,,,,
14,1715291100000,1737923257.0,4094999.05353882,3.075,0.7546,0.2454,3.1207,0.7573,0.2427,2.83,0.7389,0.2611,,,,,,,
15,1715291400000,1737681962.0,4096515.71813652,3.0733,0.7545,0.2455,3.1202,0.7573,0.2427,2.8285,0.7388,0.2612,,,,,,,
16,1715291700000,1734828803.0,4100753.62795534,3.08,0.7549,0.2451,3.1323,0.758,0.242,2.8285,0.7388,0.2612,,,,,,,
17,1715292000000,1737115504.0,4108556.10544064,3.075,0.7546,0.2454,3.1351,0.7582,0.2418,2.8314,0.739,0.261,,,,,,,
18,1715292300000,1734850766.0,4106148.88401476,3.07,0.7543,0.2457,3.1484,0.7589,0.2411,2.8095,0.7375,0.2625,,,,,,,
19,1715292600000,1735662869.0,4103107.022316,3.0453,0.7528,0.2472,3.1413,0.7585,0.2415,2.7979,0.7367,0.2633,,,,,,,
20,1715292900000,1735113918.0,4112202.63452082,3.0225,0.7514,0.2486,3.1432,0.7586,0.2414,2.7821,0.7356,0.2644,,,,,,,
21,1715293200000,1737578123.0,4117955.89682262,3.0161,0.751,0.249,3.1259,0.7576,0.2424,2.8124,0.7377,0.2623,,,,,,,
22,1715293500000,1737320676.0,4113975.360768,3.0145,0.7509,0.2491,3.1267,0.7577,0.2423,2.811,0.7376,0.2624,,,,,,,
23,1715293800000,1733855511.0,4109965.78038462,3.0048,0.7503,0.2497,3.1226,0.7574,0.2426,2.8095,0.7375,0.2625,,,,,,,
24,1715294100000,1734500951.0,4107298.251968,3.0161,0.751,0.249,3.1187,0.7572,0.2428,2.8124,0.7377,0.2623,,,,,,,
25,1715294400000,1735470759.0,4118376.23935254,3.0258,0.7516,0.2484,3.1128,0.7569,0.2431,2.8285,0.7388,0.2612,,,,,,,
26,1715294700000,1735412260.0,4126810.35428,3.0453,0.7528,0.2472,3.1143,0.7569,0.2431,2.8476,0.7401,0.2599,,,,,,,
27,1715295000000,1728462971.0,4130628.95420667,3.0225,0.7514,0.2486,3.1358,0.7582,0.2418,2.811,0.7376,0.2624,,,,,,,
28,1715295300000,1728029465.0,4133809.36646765,2.9968,0.7498,0.2502,3.1501,0.759,0.241,2.7481,0.7332,0.2668,,,,,,,
29,1715295600000,1727647869.0,4128110.92410336,3.0032,0.7502,0.2498,3.1555,0.7594,0.2406,2.7552,0.7337,0.2663,,,,,,,
