,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,2884605.0,6428053.782,1.71,0.631,0.369,1.2982,0.5649,0.4351,1.5608,0.6095,0.3905,,,,,,,
1,1715287200000,2886706.0,6437355.823353,1.6925,0.6286,0.3714,1.2927,0.5638,0.4362,1.5575,0.609,0.391,,,,,,,
2,1715287500000,2887778.0,6427274.7926515,1.7086,0.6308,0.3692,1.2985,0.5649,0.4351,1.58,0.6124,0.3876,,,,,,,
3,1715287800000,2905182.0,6450540.28936758,1.7144,0.6316,0.3684,1.3037,0.5659,0.4341,1.5556,0.6087,0.3913,,,,,,,
4,1715288100000,2911035.0,6466616.55253185,1.7086,0.6308,0.3692,1.3031,0.5658,0.4342,1.5543,0.6085,0.3915,,,,,,,
5,1715288400000,2916187.0,6478963.37543475,1.6954,0.629,0.371,1.301,0.5654,0.4346,1.5491,0.6077,0.3923,,,,,,,
6,1715288700000,2923996.0,6536593.058,1.7093,0.6309,0.3691,1.3005,0.5653,0.4347,1.5608,0.6095,0.3905,,,,,,,
7,1715289000000,2930770.0,6555253.259,1.7137,0.6315,0.3685,1.3006,0.5653,0.4347,1.5648,0.6101,0.3899,,,,,,,
8,1715289300000,2937239.0,6597919.9657,1.6969,0.6292,0.3708,1.3007,0.5653,0.4347,1.5608,0.6095,0.3905,,,,,,,
9,1715289600000,2944456.0,6613248.176,1.7086,0.6308,0.3692,1.3037,0.5659,0.4341,1.576,0.6118,0.3882,,,,,,,
10,1715289900000,2926556.0,6651476.4768,1.681,0.627,0.373,1.3044,0.5661,0.4339,1.5608,0.6095,0.3905,,,,,,,
11,1715290200000,2936724.0,6638354.1811776,1.6991,0.6295,0.3705,1.2982,0.5649,0.4351,1.586,0.6133,0.3867,,,,,,,
12,1715290500000,2941605.0,6650848.74043575,1.7005,0.6297,0.3703,1.2974,0.5647,0.4353,1.5707,0.611,0.389,,,,,,,
13,1715290800000,2946915.0,6682822.96531545,1.6896,0.6282,0.3718,1.2956,0.5644,0.4356,1.572,0.6112,0.3888,,,,,,,
14,1715291100000,2948182.0,6680580.412,1.6867,0.6278,0.3722,1.2907,0.5635,0.4365,1.572,0.6112,0.3888,,,,,,,
