,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,66051426.0,6501441.86118,3.2123,0.7626,0.2374,1.6725,0.6258,0.3742,3.7059,0.7875,0.2125,,,,,,,
1,1715287500000,66017149.0,6488896.87373092,3.1894,0.7613,0.2387,1.673,0.6259,0.3741,3.6992,0.7872,0.2128,,,,,,,
2,1715287800000,65991558.0,6484587.19624062,3.2248,0.7633,0.2367,1.6741,0.626,0.374,3.6729,0.786,0.214,,,,,,,
3,1715288100000,65863002.0,6473674.46658,3.2553,0.765,0.235,1.6761,0.6263,0.3737,3.6751,0.7861,0.2139,,,,,,,
4,1715288400000,65801809.0,6474647.30070771,3.2391,0.7641,0.2359,1.6765,0.6264,0.3736,3.6992,0.7872,0.2128,,,,,,,
5,1715288700000,65790199.0,6508624.38707,3.2088,0.7624,0.2376,1.6772,0.6265,0.3735,3.7125,0.7878,0.2122,,,,,,,
6,1715289000000,65903481.0,6526488.28594581,3.1859,0.7611,0.2389,1.6725,0.6258,0.3742,3.6729,0.786,0.214,,,,,,,
7,1715289300000,65900735.0,6509455.15385245,3.1649,0.7599,0.2401,1.673,0.6259,0.3741,3.6361,0.7843,0.2157,,,,,,,
8,1715289600000,65889320.0,6496654.00734,3.2123,0.7626,0.2374,1.6721,0.6258,0.3742,3.6083,0.783,0.217,,,,,,,
9,1715289900000,65867632.0,6497183.22048,3.2052,0.7622,0.2378,1.673,0.6259,0.3741,3.6555,0.7852,0.2148,,,,,,,
10,1715290200000,65827060.0,6488864.2598052,3.1894,0.7613,0.2387,1.6763,0.6264,0.3736,3.6468,0.7848,0.2152,,,,,,,
11,1715290500000,65942888.0,6523070.48096,3.1615,0.7597,0.2403,1.6731,0.6259,0.3741,3.6125,0.7832,0.2168,,,,,,,
12,1715290800000,65973663.0,6507543.1578255,3.1964,0.7617,0.2383,1.6716,0.6257,0.3743,3.6041,0.7828,0.2172,,,,,,,
13,1715291100000,65953536.0,6508289.65619712,3.2052,0.7622,0.2378,1.6714,0.6257,0.3743,3.6447,0.7847,0.2153,,,,,,,
14,1715291400000,65944408.0,6506251.36484936,3.2176,0.7629,0.2371,1.6719,0.6257,0.3743,3.6577,0.7853,0.2147,,,,,,,
15,1715291700000,65941608.0,6514162.41942264,3.2427,0.7643,0.2357,1.6739,0.626,0.374,3.6664,0.7857,0.2143,,,,,,,
16,1715292000000,65958692.0,6519357.11728,3.2337,0.7638,0.2362,1.6768,0.6264,0.3736,3.717,0.788,0.212,,,,,,,
17,1715292300000,65948896.0,6521202.92003232,3.2499,0.7647,0.2353,1.6765,0.6264,0.3736,3.6664,0.7857,0.2143,,,,,,,
18,1715292600000,65988384.0,6533366.70504672,3.1632,0.7598,0.2402,1.6699,0.6255,0.3745,3.7081,0.7876,0.2124,,,,,,,
19,1715292900000,65968598.0,6553320.52532,3.1736,0.7604,0.2396,1.6713,0.6256,0.3744,3.649,0.7849,0.2151,,,,,,,
20,1715293200000,66005387.0,6557739.48696146,3.1667,0.76,0.24,1.6718,0.6257,0.3743,3.6468,0.7848,0.2152,,,,,,,
