,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,9540114.0,7063691.20788,2.367,0.703,0.297,1.1074,0.5255,0.4745,2.592,0.7216,0.2784,,,,,,,
1,1715287200000,9538030.0,7087612.805094,2.3602,0.7024,0.2976,1.1068,0.5254,0.4746,2.5894,0.7214,0.2786,,,,,,,
2,1715287500000,9517333.0,7061309.17585933,2.3535,0.7018,0.2982,1.1034,0.5246,0.4754,2.5714,0.72,0.28,,,,,,,
3,1715287800000,9519759.0,7051193.05444011,2.3818,0.7043,0.2957,1.1066,0.5253,0.4747,2.6271,0.7243,0.2757,,,,,,,
4,1715288100000,9531030.0,7062642.1999989,2.3772,0.7039,0.2961,1.1082,0.5257,0.4743,2.5997,0.7222,0.2778,,,,,,,
5,1715288400000,9529589.0,7065322.57442155,2.3807,0.7042,0.2958,1.1079,0.5256,0.4744,2.5971,0.722,0.278,,,,,,,
6,1715288700000,9525429.0,7090157.82186,2.3613,0.7025,0.2975,1.1086,0.5258,0.4742,2.5702,0.7199,0.2801,,,,,,,
7,1715289000000,9532150.0,7106027.182,2.3625,0.7026,0.2974,1.1081,0.5256,0.4744,2.5727,0.7201,0.2799,,,,,,,
8,1715289300000,9530059.0,7101671.12040232,2.3378,0.7004,0.2996,1.1067,0.5253,0.4747,2.5323,0.7169,0.2831,,,,,,,
9,1715289600000,9507839.0,7073520.26380241,2.3378,0.7004,0.2996,1.1063,0.5252,0.4748,2.51,0.7151,0.2849,,,,,,,
10,1715289900000,9513875.0,7068523.70875,2.3613,0.7025,0.2975,1.1062,0.5252,0.4748,2.5361,0.7172,0.2828,,,,,,,
11,1715290200000,9489351.0,7050303.11247,2.3693,0.7032,0.2968,1.1049,0.5249,0.4751,2.5448,0.7179,0.2821,,,,,,,
12,1715290500000,9486554.0,7052209.37806,2.3681,0.7031,0.2969,1.1052,0.525,0.475,2.5386,0.7174,0.2826,,,,,,,
13,1715290800000,9481290.0,7058273.334567,2.3602,0.7024,0.2976,1.1048,0.5249,0.4751,2.5298,0.7167,0.2833,,,,,,,
14,1715291100000,9477002.0,7073918.60286,2.3613,0.7025,0.2975,1.1024,0.5243,0.4757,2.5298,0.7167,0.2833,,,,,,,
15,1715291400000,9467331.0,7071906.91038,2.3602,0.7024,0.2976,1.1004,0.5239,0.4761,2.5537,0.7186,0.2814,,,,,,,
16,1715291700000,9481577.0,7085866.93941,2.3568,0.7021,0.2979,1.0991,0.5236,0.4764,2.6101,0.723,0.277,,,,,,,
17,1715292000000,9476543.0,7073192.57056022,2.3546,0.7019,0.2981,1.0996,0.5237,0.4763,2.6049,0.7226,0.2774,,,,,,,
18,1715292300000,9489925.0,7092806.5761105,2.3356,0.7002,0.2998,1.1011,0.5241,0.4759,2.5778,0.7205,0.2795,,,,,,,
