,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,5268259.0,11256162.1794,2.701,0.7298,0.2702,1.2459,0.5547,0.4453,2.2616,0.6934,0.3066,,,,,,,
1,1715287200000,5264816.0,11296067.5923504,2.7064,0.7302,0.2698,1.2472,0.555,0.445,2.2489,0.6922,0.3078,,,,,,,
2,1715287500000,5265611.0,11289281.94903119,2.6969,0.7295,0.2705,1.2492,0.5554,0.4446,2.23,0.6904,0.3096,,,,,,,
3,1715287800000,5265908.0,11313580.11615988,2.7051,0.7301,0.2699,1.2509,0.5557,0.4443,2.2468,0.692,0.308,,,,,,,
4,1715288100000,5271234.0,11316662.88782844,2.7051,0.7301,0.2699,1.2512,0.5558,0.4442,2.2457,0.6919,0.3081,,,,,,,
5,1715288400000,5270387.0,11320264.2373,2.7023,0.7299,0.2701,1.2474,0.555,0.445,2.2637,0.6936,0.3064,,,,,,,
6,1715288700000,5264607.0,11344638.13313958,2.686,0.7287,0.2713,1.2465,0.5549,0.4451,2.252,0.6925,0.3075,,,,,,,
7,1715289000000,5248610.0,11322301.492,2.7552,0.7337,0.2663,1.2477,0.5551,0.4449,2.2723,0.6944,0.3056,,,,,,,
8,1715289300000,5243956.0,11304142.61368564,2.7836,0.7357,0.2643,1.2427,0.5541,0.4459,2.2927,0.6963,0.3037,,,,,,,
9,1715289600000,5212124.0,11207630.2372,2.7807,0.7355,0.2645,1.2427,0.5541,0.4459,2.2733,0.6945,0.3055,,,,,,,
10,1715289900000,5217148.0,11202260.1856,2.7893,0.7361,0.2639,1.2439,0.5543,0.4457,2.2798,0.6951,0.3049,,,,,,,
11,1715290200000,5216574.0,11184381.55300026,2.7965,0.7366,0.2634,1.2443,0.5544,0.4456,2.2808,0.6952,0.3048,,,,,,,
12,1715290500000,5217325.0,11196826.00084675,2.7651,0.7344,0.2656,1.245,0.5546,0.4454,2.2595,0.6932,0.3068,,,,,,,
