,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,586582.9,73969963.19298798,1.1487,0.5346,0.4654,1.0356,0.5087,0.4913,1.301,0.5654,0.4346,,,,,,,
1,1715287200000,584101.8,74360831.9544,1.1422,0.5332,0.4668,1.0375,0.5092,0.4908,1.2952,0.5643,0.4357,,,,,,,
2,1715287500000,585171.2,74169396.0460681,1.1436,0.5335,0.4665,1.0376,0.5092,0.4908,1.2967,0.5646,0.4354,,,,,,,
3,1715287800000,585926.9,75266958.23458621,1.1372,0.5321,0.4679,1.039,0.5096,0.4904,1.2868,0.5627,0.4373,,,,,,,
4,1715288100000,587290.9,75412849.8872,1.1473,0.5343,0.4657,1.0376,0.5092,0.4908,1.3031,0.5658,0.4342,,,,,,,
5,1715288400000,588335.4,74992760.0964,1.1487,0.5346,0.4654,1.0388,0.5095,0.4905,1.3041,0.566,0.434,,,,,,,
6,1715288700000,587841.1,74689460.30600932,1.1501,0.5349,0.4651,1.0379,0.5093,0.4907,1.3105,0.5672,0.4328,,,,,,,
7,1715289000000,587878.4,75004616.46656717,1.1436,0.5335,0.4665,1.037,0.5091,0.4909,1.3031,0.5658,0.4342,,,,,,,
8,1715289300000,590840.1,75847568.37109193,1.1409,0.5329,0.4671,1.0389,0.5095,0.4905,1.2952,0.5643,0.4357,,,,,,,
9,1715289600000,590992.9,75185156.53410558,1.1515,0.5352,0.4648,1.0398,0.5098,0.4902,1.3105,0.5672,0.4328,,,,,,,
10,1715289900000,592547.7,75898910.44088168,1.1422,0.5332,0.4668,1.0411,0.5101,0.4899,1.3026,0.5657,0.4343,,,,,,,
11,1715290200000,592915.9,76207088.17596579,1.1468,0.5342,0.4658,1.0401,0.5098,0.4902,1.3047,0.5661,0.4339,,,,,,,
12,1715290500000,591323.4,75633810.8004,1.1538,0.5357,0.4643,1.0425,0.5104,0.4896,1.3132,0.5677,0.4323,,,,,,,
13,1715290800000,594754.5,76513958.79383038,1.1478,0.5344,0.4656,1.0352,0.5086,0.4914,1.3079,0.5667,0.4333,,,,,,,
14,1715291100000,593943.7,76084074.72275472,1.1441,0.5336,0.4664,1.0333,0.5082,0.4918,1.3057,0.5663,0.4337,,,,,,,
15,1715291400000,591755.2,76441161.4704,1.1336,0.5313,0.4687,1.0377,0.5092,0.4908,1.2983,0.5649,0.4351,,,,,,,
16,1715291700000,595353.2,76488502.9489241,1.145,0.5338,0.4662,1.0366,0.509,0.491,1.3095,0.567,0.433,,,,,,,
17,1715292000000,596934.0,76278845.6276184,1.1487,0.5346,0.4654,1.0382,0.5094,0.4906,1.3089,0.5669,0.4331,,,,,,,
18,1715292300000,593400.6,76515163.55827343,1.1432,0.5334,0.4666,1.0428,0.5105,0.4895,1.2983,0.5649,0.4351,,,,,,,
19,1715292600000,593771.9,76611419.3975,1.1482,0.5345,0.4655,1.0446,0.5109,0.4891,1.2983,0.5649,0.4351,,,,,,,
20,1715292900000,594033.6,76243233.55698518,1.1459,0.534,0.466,1.0449,0.511,0.489,1.3047,0.5661,0.4339,,,,,,,
21,1715293200000,593207.6,76376770.51208487,1.1455,0.5339,0.4661,1.0433,0.5106,0.4894,1.31,0.5671,0.4329,,,,,,,
22,1715293500000,593601.3,76222562.1291,1.1395,0.5326,0.4674,1.0437,0.5107,0.4893,1.3031,0.5658,0.4342,,,,,,,
23,1715293800000,593484.6,75898965.0402,1.1404,0.5328,0.4672,1.0433,0.5106,0.4894,1.3073,0.5666,0.4334,,,,,,,
24,1715294100000,593969.5,75532609.80301774,1.1612,0.5373,0.4627,1.0403,0.5099,0.4901,1.325,0.5699,0.4301,,,,,,,
25,1715294400000,593375.6,75494104.21900965,1.1542,0.5358,0.4642,1.0398,0.5098,0.4902,1.3202,0.569,0.431,,,,,,,
26,1715294700000,591656.3,76808820.866,1.1386,0.5324,0.4676,1.0418,0.5102,0.4898,1.2931,0.5639,0.4361,,,,,,,
27,1715295000000,588550.4,76113676.56254905,1.14,0.5327,0.4673,1.0451,0.511,0.489,1.2973,0.5647,0.4353,,,,,,,
28,1715295300000,589341.6,76669806.1104,1.1413,0.533,0.467,1.0463,0.5113,0.4887,1.302,0.5656,0.4344,,,,,,,
29,1715295600000,590176.7,76714118.3495,1.1441,0.5336,0.4664,1.0444,0.5108,0.4892,1.3073,0.5666,0.4334,,,,,,,
30,1715295900000,591302.7,75811544.5228225,1.1659,0.5383,0.4617,1.0383,0.5094,0.4906,1.3315,0.5711,0.4289,,,,,,,
31,1715296200000,591689.3,75221600.0932484,1.1796,0.5412,0.4588,1.0348,0.5085,0.4915,1.3485,0.5742,0.4258,,,,,,,
32,1715296500000,593024.1,76016752.10041673,1.1603,0.5371,0.4629,1.0345,0.5085,0.4915,1.3441,0.5734,0.4266,,,,,,,
33,1715296800000,589030.2,75994157.29265335,1.157,0.5364,0.4636,1.0379,0.5093,0.4907,1.3354,0.5718,0.4282,,,,,,,
34,1715297100000,589639.9,75118960.57266678,1.1749,0.5402,0.4598,1.0394,0.5097,0.4903,1.3563,0.5756,0.4244,,,,,,,
35,1715297400000,591176.2,75418143.81547208,1.1594,0.5369,0.4631,1.0401,0.5098,0.4902,1.3447,0.5735,0.4265,,,,,,,
36,1715297700000,590544.1,75246178.2156868,1.1678,0.5387,0.4613,1.0404,0.5099,0.4901,1.3491,0.5743,0.4257,,,,,,,
37,1715298000000,590655.9,75269240.65484492,1.1668,0.5385,0.4615,1.0403,0.5099,0.4901,1.3507,0.5746,0.4254,,,,,,,
38,1715298300000,589715.8,75278401.3016,1.1608,0.5372,0.4628,1.0377,0.5092,0.4908,1.3419,0.573,0.427,,,,,,,
39,1715298600000,590433.6,75763952.47970602,1.165,0.5381,0.4619,1.0374,0.5092,0.4908,1.348,0.5741,0.4259,,,,,,,
40,1715298900000,590047.4,75503645.3988,1.1631,0.5377,0.4623,1.0389,0.5095,0.4905,1.3436,0.5733,0.4267,,,,,,,
41,1715299200000,591228.9,75745327.65267491,1.1594,0.5369,0.4631,1.0387,0.5095,0.4905,1.3408,0.5728,0.4272,,,,,,,
42,1715299500000,591495.2,75603324.98109993,1.1844,0.5422,0.4578,1.031,0.5076,0.4924,1.3629,0.5768,0.4232,,,,,,,
43,1715299800000,590625.3,77510106.55741161,1.1432,0.5334,0.4666,1.047,0.5115,0.4885,1.3305,0.5709,0.4291,,,,,,,
44,1715300100000,593145.9,77345495.67784528,1.1478,0.5344,0.4656,1.0424,0.5104,0.4896,1.3397,0.5726,0.4274,,,,,,,
45,1715300400000,596066.5,78259358.9845,1.1464,0.5341,0.4659,1.0412,0.5101,0.4899,1.3315,0.5711,0.4289,,,,,,,
46,1715300700000,602854.2,79196956.254,1.1473,0.5343,0.4657,1.0519,0.5127,0.4873,1.3375,0.5722,0.4278,,,,,,,
47,1715301000000,598813.4,76957102.9144,1.1631,0.5377,0.4623,1.0385,0.5095,0.4905,1.3546,0.5753,0.4247,,,,,,,
48,1715301300000,601188.0,77805415.497096,1.1631,0.5377,0.4623,1.033,0.5081,0.4919,1.3742,0.5788,0.4212,,,,,,,
49,1715301600000,599159.3,78091995.21273498,1.14,0.5327,0.4673,1.0334,0.5082,0.4918,1.3513,0.5747,0.4253,,,,,,,
50,1715301900000,598398.2,78310577.2394,1.1427,0.5333,0.4667,1.0353,0.5087,0.4913,1.3557,0.5755,0.4245,,,,,,,
51,1715302200000,599168.1,78661600.83082847,1.1358,0.5318,0.4682,1.0352,0.5086,0.4914,1.3386,0.5724,0.4276,,,,,,,
52,1715302500000,598934.7,78112464.6393,1.1505,0.535,0.465,1.0379,0.5093,0.4907,1.3552,0.5754,0.4246,,,,,,,
53,1715302800000,600094.9,78662755.40824282,1.1404,0.5328,0.4672,1.039,0.5096,0.4904,1.3425,0.5731,0.4269,,,,,,,
54,1715303100000,602430.2,79817813.62212448,1.124,0.5292,0.4708,1.0363,0.5089,0.4911,1.325,0.5699,0.4301,,,,,,,
55,1715303400000,603239.5,79668031.0465,1.1304,0.5306,0.4694,1.0369,0.5091,0.4909,1.3245,0.5698,0.4302,,,,,,,
56,1715303700000,602492.8,79614603.5776,1.1304,0.5306,0.4694,1.0356,0.5087,0.4913,1.3332,0.5714,0.4286,,,,,,,
57,1715304000000,605856.3,79709042.17973909,1.1263,0.5297,0.4703,1.0369,0.509,0.491,1.3315,0.5711,0.4289,,,,,,,
58,1715304300000,605058.3,79769676.1554,1.129,0.5303,0.4697,1.0348,0.5086,0.4914,1.3375,0.5722,0.4278,,,,,,,
59,1715304600000,606251.5,80775352.15692192,1.1259,0.5296,0.4704,1.0305,0.5075,0.4925,1.3305,0.5709,0.4291,,,,,,,
60,1715304900000,609352.8,81542982.3432,1.1277,0.53,0.47,1.0312,0.5077,0.4923,1.3386,0.5724,0.4276,,,,,,,
61,1715305200000,609492.0,80910970.32636072,1.1322,0.531,0.469,1.0276,0.5068,0.4932,1.3491,0.5743,0.4257,,,,,,,
62,1715305500000,610110.3,80590689.7476,1.1381,0.5323,0.4677,1.0276,0.5068,0.4932,1.3596,0.5762,0.4238,,,,,,,
