,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,18842805.0,3791614.0413492,2.7258,0.7316,0.2684,1.1163,0.5275,0.4725,2.358,0.7022,0.2978,,,,,,,
1,1715287200000,18864477.0,3804965.0109,2.7161,0.7309,0.2691,1.1156,0.5273,0.4727,2.3546,0.7019,0.2981,,,,,,,
2,1715287500000,18867271.0,3804407.46745718,2.7106,0.7305,0.2695,1.1159,0.5274,0.4726,2.3636,0.7027,0.2973,,,,,,,
3,1715287800000,18857168.0,3801605.0688,2.7147,0.7308,0.2692,1.1148,0.5271,0.4729,2.3704,0.7033,0.2967,,,,,,,
4,1715288100000,18859458.0,3802554.43838388,2.7175,0.731,0.269,1.1158,0.5274,0.4726,2.3772,0.7039,0.2961,,,,,,,
5,1715288400000,18852086.0,3803443.41537996,2.7147,0.7308,0.2692,1.1152,0.5272,0.4728,2.3681,0.7031,0.2969,,,,,,,
6,1715288700000,18855920.0,3814552.616,2.7189,0.7311,0.2689,1.1153,0.5273,0.4727,2.3591,0.7023,0.2977,,,,,,,
7,1715289000000,18859202.0,3821868.01655338,2.7133,0.7307,0.2693,1.1167,0.5276,0.4724,2.3478,0.7013,0.2987,,,,,,,
8,1715289300000,18822996.0,3806641.67917572,2.7147,0.7308,0.2692,1.1155,0.5273,0.4727,2.3445,0.701,0.299,,,,,,,
9,1715289600000,18811688.0,3798099.74758928,2.7272,0.7317,0.2683,1.116,0.5274,0.4726,2.3523,0.7017,0.2983,,,,,,,
10,1715289900000,18805179.0,3794885.1222,2.73,0.7319,0.2681,1.1171,0.5277,0.4723,2.3681,0.7031,0.2969,,,,,,,
11,1715290200000,18812109.0,3792521.1744,2.7147,0.7308,0.2692,1.1159,0.5274,0.4726,2.3602,0.7024,0.2976,,,,,,,
12,1715290500000,18813143.0,3793918.80756903,2.7764,0.7352,0.2648,1.1154,0.5273,0.4727,2.3933,0.7053,0.2947,,,,,,,
13,1715290800000,18831154.0,3791356.2672245,2.7722,0.7349,0.2651,1.1149,0.5272,0.4728,2.3933,0.7053,0.2947,,,,,,,
14,1715291100000,18841262.0,3796514.293,2.7665,0.7345,0.2655,1.1154,0.5273,0.4727,2.3875,0.7048,0.2952,,,,,,,
15,1715291400000,18842909.0,3800209.43432741,2.7538,0.7336,0.2664,1.1116,0.5264,0.4736,2.391,0.7051,0.2949,,,,,,,
16,1715291700000,18856156.0,3808098.37908808,2.7594,0.734,0.266,1.1125,0.5266,0.4734,2.3887,0.7049,0.2951,,,,,,,
17,1715292000000,18855250.0,3806874.975,2.7566,0.7338,0.2662,1.116,0.5274,0.4726,2.3772,0.7039,0.2961,,,,,,,
18,1715292300000,18862458.0,3806444.0244,2.7566,0.7338,0.2662,1.1147,0.5271,0.4729,2.4165,0.7073,0.2927,,,,,,,
19,1715292600000,18854522.0,3805934.2164238,2.7594,0.734,0.266,1.1133,0.5268,0.4732,2.4247,0.708,0.292,,,,,,,
20,1715292900000,18853767.0,3810902.11975116,2.7538,0.7336,0.2664,1.1137,0.5269,0.4731,2.4176,0.7074,0.2926,,,,,,,
21,1715293200000,18851965.0,3809289.69382555,2.7552,0.7337,0.2663,1.1154,0.5273,0.4727,2.4153,0.7072,0.2928,,,,,,,
22,1715293500000,18855126.0,3809097.4704192,2.7566,0.7338,0.2662,1.1152,0.5272,0.4728,2.4294,0.7084,0.2916,,,,,,,
23,1715293800000,18861009.0,3817571.76853941,2.7665,0.7345,0.2655,1.1147,0.5271,0.4729,2.4247,0.708,0.292,,,,,,,
24,1715294100000,18859012.0,3815178.1276,2.7736,0.735,0.265,1.115,0.5272,0.4728,2.4566,0.7107,0.2893,,,,,,,
25,1715294400000,18862594.0,3827220.3226,2.7736,0.735,0.265,1.1146,0.5271,0.4729,2.4771,0.7124,0.2876,,,,,,,
26,1715294700000,18858375.0,3833333.2113975,2.7936,0.7364,0.2636,1.1112,0.5263,0.4737,2.4771,0.7124,0.2876,,,,,,,
27,1715295000000,18869217.0,3843694.78833579,2.8124,0.7377,0.2623,1.1138,0.5269,0.4731,2.5088,0.715,0.285,,,,,,,
28,1715295300000,18878014.0,3847047.96544398,2.8344,0.7392,0.2608,1.11,0.5261,0.4739,2.5249,0.7163,0.2837,,,,,,,
29,1715295600000,18850069.0,3834104.0346,2.867,0.7414,0.2586,1.1084,0.5257,0.4743,2.5651,0.7195,0.2805,,,,,,,
30,1715295900000,18824747.0,3817673.18665519,2.867,0.7414,0.2586,1.1105,0.5262,0.4738,2.5676,0.7197,0.2803,,,,,,,
31,1715296200000,18818964.0,3810840.21,2.861,0.741,0.259,1.1101,0.5261,0.4739,2.5587,0.719,0.281,,,,,,,
32,1715296500000,18814930.0,3808141.832,2.8491,0.7402,0.2598,1.1112,0.5263,0.4737,2.5448,0.7179,0.2821,,,,,,,
33,1715296800000,18800494.0,3808959.4038566,2.8314,0.739,0.261,1.1122,0.5265,0.4735,2.5261,0.7164,0.2836,,,,,,,
34,1715297100000,18800977.0,3807197.8425,2.83,0.7389,0.2611,1.1119,0.5265,0.4735,2.5249,0.7163,0.2837,,,,,,,
35,1715297400000,18804077.0,3809738.90733475,2.8241,0.7385,0.2615,1.1129,0.5267,0.4733,2.5386,0.7174,0.2826,,,,,,,
36,1715297700000,18799486.0,3805023.11020468,2.811,0.7376,0.2624,1.1136,0.5269,0.4731,2.5224,0.7161,0.2839,,,,,,,
37,1715298000000,18807785.0,3801053.3485,2.8153,0.7379,0.2621,1.1127,0.5267,0.4733,2.5348,0.7171,0.2829,,,,,,,
38,1715298300000,18795475.0,3794806.4025,2.8447,0.7399,0.2601,1.1197,0.5282,0.4718,2.5625,0.7193,0.2807,,,,,,,
39,1715298600000,18783292.0,3794528.3341658,2.87,0.7416,0.2584,1.1206,0.5284,0.4716,2.5714,0.72,0.28,,,,,,,
40,1715298900000,18799149.0,3799308.0129,2.864,0.7412,0.2588,1.1223,0.5288,0.4712,2.5689,0.7198,0.2802,,,,,,,
41,1715299200000,18796445.0,3799107.95298135,2.8805,0.7423,0.2577,1.1217,0.5287,0.4713,2.5765,0.7204,0.2796,,,,,,,
42,1715299500000,18741262.0,3789483.1764,2.8344,0.7392,0.2608,1.1237,0.5291,0.4709,2.5651,0.7195,0.2805,,,,,,,
43,1715299800000,18726939.0,3786995.3130702,2.83,0.7389,0.2611,1.1255,0.5295,0.4705,2.5323,0.7169,0.2831,,,,,,,
44,1715300100000,18729409.0,3794100.85076459,2.8197,0.7382,0.2618,1.1255,0.5295,0.4705,2.5075,0.7149,0.2851,,,,,,,
45,1715300400000,18703786.0,3786851.7454077,2.8052,0.7372,0.2628,1.1299,0.5305,0.4695,2.4002,0.7059,0.2941,,,,,,,
46,1715300700000,18726269.0,3792257.29697807,2.8066,0.7373,0.2627,1.1295,0.5304,0.4696,2.4037,0.7062,0.2938,,,,,,,
47,1715301000000,18742168.0,3795224.73436376,2.7736,0.735,0.265,1.1334,0.5313,0.4687,2.3956,0.7055,0.2945,,,,,,,
48,1715301300000,18771535.0,3805691.8244783,2.7566,0.7338,0.2662,1.1332,0.5312,0.4688,2.375,0.7037,0.2963,,,,,,,
49,1715301600000,18784517.0,3813243.61399293,2.7425,0.7328,0.2672,1.1324,0.531,0.469,2.3727,0.7035,0.2965,,,,,,,
50,1715301900000,18799863.0,3820229.54489034,2.7369,0.7324,0.2676,1.1329,0.5312,0.4688,2.4025,0.7061,0.2939,,,,,,,
51,1715302200000,18788116.0,3809164.6386228,2.7369,0.7324,0.2676,1.132,0.5309,0.4691,2.406,0.7064,0.2936,,,,,,,
52,1715302500000,18788267.0,3813345.5810414,2.7397,0.7326,0.2674,1.131,0.5307,0.4693,2.4282,0.7083,0.2917,,,,,,,
53,1715302800000,18788582.0,3814082.146,2.7369,0.7324,0.2676,1.1296,0.5304,0.4696,2.4294,0.7084,0.2916,,,,,,,
54,1715303100000,18783360.0,3820571.3002176,2.7594,0.734,0.266,1.1333,0.5312,0.4688,2.4317,0.7086,0.2914,,,,,,,
55,1715303400000,18764130.0,3809118.39,2.7951,0.7365,0.2635,1.1324,0.531,0.469,2.459,0.7109,0.2891,,,,,,,
56,1715303700000,18753420.0,3806944.26,2.8023,0.737,0.263,1.1293,0.5304,0.4696,2.4388,0.7092,0.2908,,,,,,,
