,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,27439587.7,22274980.39482578,2.3647,0.7028,0.2972,1.3857,0.5808,0.4192,2.3267,0.6994,0.3006,,,,,,,
1,1715287200000,27469986.1,22333098.6993,2.3591,0.7023,0.2977,1.3817,0.5801,0.4199,2.3234,0.6991,0.3009,,,,,,,
2,1715287500000,27435091.6,22277294.3792,2.3636,0.7027,0.2973,1.3851,0.5807,0.4193,2.3245,0.6992,0.3008,,,,,,,
3,1715287800000,27401661.9,22249299.73726448,2.3625,0.7026,0.2974,1.3869,0.581,0.419,2.3267,0.6994,0.3006,,,,,,,
4,1715288100000,27384298.9,22236050.7068,2.3602,0.7024,0.2976,1.3873,0.5811,0.4189,2.3267,0.6994,0.3006,,,,,,,
5,1715288400000,27403032.5,22251262.39,2.3568,0.7021,0.2979,1.3862,0.5809,0.4191,2.3234,0.6991,0.3009,,,,,,,
6,1715288700000,27417936.0,22303342.94701968,2.3535,0.7018,0.2982,1.3831,0.5804,0.4196,2.3167,0.6985,0.3015,,,,,,,
7,1715289000000,27363735.1,22298122.42269621,2.3434,0.7009,0.2991,1.3907,0.5817,0.4183,2.2927,0.6963,0.3037,,,,,,,
8,1715289300000,27318139.0,22209647.007,2.3422,0.7008,0.2992,1.3981,0.583,0.417,2.2906,0.6961,0.3039,,,,,,,
9,1715289600000,27328662.9,22190874.2748,2.3422,0.7008,0.2992,1.3985,0.5831,0.4169,2.2916,0.6962,0.3038,,,,,,,
10,1715289900000,27332975.9,22248305.48556974,2.3422,0.7008,0.2992,1.398,0.583,0.417,2.2906,0.6961,0.3039,,,,,,,
11,1715290200000,27328877.6,22235115.3331749,2.3422,0.7008,0.2992,1.3976,0.5829,0.4171,2.2884,0.6959,0.3041,,,,,,,
12,1715290500000,27374547.9,22296426.09566448,2.3333,0.7,0.3,1.3907,0.5817,0.4183,2.2819,0.6953,0.3047,,,,,,,
13,1715290800000,27363492.7,22285462.19337093,2.3322,0.6999,0.3001,1.3922,0.582,0.418,2.2776,0.6949,0.3051,,,,,,,
14,1715291100000,27283324.8,22222117.9913136,2.3003,0.697,0.303,1.402,0.5837,0.4163,2.2196,0.6894,0.3106,,,,,,,
15,1715291400000,27281222.3,22222828.36197981,2.3047,0.6974,0.3026,1.4023,0.5837,0.4163,2.2206,0.6895,0.3105,,,,,,,
16,1715291700000,27327678.2,22313305.31064474,2.2884,0.6959,0.3041,1.3974,0.5829,0.4171,2.2144,0.6889,0.3111,,,,,,,
17,1715292000000,27320542.9,22309519.84268617,2.2765,0.6948,0.3052,1.3983,0.583,0.417,2.2,0.6875,0.3125,,,,,,,
18,1715292300000,27317822.3,22278135.92243084,2.2712,0.6943,0.3057,1.3995,0.5833,0.4167,2.1959,0.6871,0.3129,,,,,,,
19,1715292600000,27296653.8,22266352.73677074,2.2723,0.6944,0.3056,1.4012,0.5835,0.4165,2.202,0.6877,0.3123,,,,,,,
20,1715292900000,27313826.7,22273497.27688047,2.2701,0.6942,0.3058,1.4005,0.5834,0.4166,2.202,0.6877,0.3123,,,,,,,
21,1715293200000,27356577.5,22313515.81603953,2.2648,0.6937,0.3063,1.3957,0.5826,0.4174,2.201,0.6876,0.3124,,,,,,,
