,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,9621515.0,4384524.3855,3.268,0.7657,0.2343,2.2667,0.6939,0.3061,2.4247,0.708,0.292,,,,,,,
1,1715287200000,9620092.0,4391571.998,3.2571,0.7651,0.2349,2.2657,0.6938,0.3062,2.4352,0.7089,0.2911,,,,,,,
2,1715287500000,9619248.0,4388300.9376,3.2608,0.7653,0.2347,2.2661,0.6938,0.3062,2.4317,0.7086,0.2914,,,,,,,
3,1715287800000,9621206.0,4389194.1772,3.2845,0.7666,0.2334,2.2655,0.6938,0.3062,2.4388,0.7092,0.2908,,,,,,,
4,1715288100000,9606571.0,4384996.37764942,3.2535,0.7649,0.2351,2.2724,0.6944,0.3056,2.4305,0.7085,0.2915,,,,,,,
5,1715288400000,9605114.0,4385835.09496212,3.2753,0.7661,0.2339,2.2727,0.6944,0.3056,2.4305,0.7085,0.2915,,,,,,,
6,1715288700000,9608406.0,4403720.89064166,3.2481,0.7646,0.2354,2.2738,0.6945,0.3055,2.4258,0.7081,0.2919,,,,,,,
7,1715289000000,9599868.0,4405648.31750268,3.2194,0.763,0.237,2.276,0.6947,0.3053,2.4037,0.7062,0.2938,,,,,,,
8,1715289300000,9595486.0,4390316.45747822,3.2176,0.7629,0.2371,2.2784,0.695,0.305,2.4025,0.7061,0.2939,,,,,,,
9,1715289600000,9584978.0,4382428.01764586,3.1911,0.7614,0.2386,2.2767,0.6948,0.3052,2.3933,0.7053,0.2947,,,,,,,
10,1715289900000,9584920.0,4381266.932,3.1911,0.7614,0.2386,2.2771,0.6948,0.3052,2.3887,0.7049,0.2951,,,,,,,
11,1715290200000,9582424.0,4377607.7493728,3.1894,0.7613,0.2387,2.2783,0.695,0.305,2.3829,0.7044,0.2956,,,,,,,
12,1715290500000,9580771.0,4378883.62512549,3.1964,0.7617,0.2383,2.2761,0.6948,0.3052,2.3875,0.7048,0.2952,,,,,,,
13,1715290800000,9580363.0,4380751.37049043,3.1649,0.7599,0.2401,2.2784,0.695,0.305,2.375,0.7037,0.2963,,,,,,,
14,1715291100000,9576315.0,4383079.3755,3.1511,0.7591,0.2409,2.2763,0.6948,0.3052,2.3625,0.7026,0.2974,,,,,,,
15,1715291400000,9572580.0,4383924.787602,3.1615,0.7597,0.2403,2.2758,0.6947,0.3053,2.3659,0.7029,0.2971,,,,,,,
16,1715291700000,9571104.0,4391222.5152,3.1237,0.7575,0.2425,2.2716,0.6943,0.3057,2.3738,0.7036,0.2964,,,,,,,
17,1715292000000,9569168.0,4388978.51867776,3.1322,0.758,0.242,2.272,0.6944,0.3056,2.3818,0.7043,0.2957,,,,,,,
18,1715292300000,9561074.0,4387576.8586,3.1824,0.7609,0.2391,2.2735,0.6945,0.3055,2.3715,0.7034,0.2966,,,,,,,
19,1715292600000,9551778.0,4384170.39318444,3.1894,0.7613,0.2387,2.277,0.6948,0.3052,2.3875,0.7048,0.2952,,,,,,,
20,1715292900000,9548412.0,4389310.75357356,3.2052,0.7622,0.2378,2.2793,0.6951,0.3049,2.4002,0.7059,0.2941,,,,,,,
21,1715293200000,9542800.0,4386825.16,3.1911,0.7614,0.2386,2.284,0.6955,0.3045,2.375,0.7037,0.2963,,,,,,,
22,1715293500000,9538425.0,4387092.893001,3.1789,0.7607,0.2393,2.2854,0.6956,0.3044,2.3704,0.7033,0.2967,,,,,,,
23,1715293800000,9534549.0,4386845.9949,3.1859,0.7611,0.2389,2.2841,0.6955,0.3045,2.3772,0.7039,0.2961,,,,,,,
24,1715294100000,9535515.0,4388244.003,3.2248,0.7633,0.2367,2.2874,0.6958,0.3042,2.3681,0.7031,0.2969,,,,,,,
25,1715294400000,9536179.0,4404699.47638366,3.2373,0.764,0.236,2.2855,0.6956,0.3044,2.4014,0.706,0.294,,,,,,,
26,1715294700000,9531419.0,4417812.7065,3.1632,0.7598,0.2402,2.2844,0.6955,0.3045,2.391,0.7051,0.2949,,,,,,,
27,1715295000000,9529803.0,4430975.2969194,3.1999,0.7619,0.2381,2.2832,0.6954,0.3046,2.4282,0.7083,0.2917,,,,,,,
28,1715295300000,9532507.0,4425943.0001,3.2517,0.7648,0.2352,2.2789,0.695,0.305,2.5311,0.7168,0.2832,,,,,,,
29,1715295600000,9532111.0,4420993.0818,3.2176,0.7629,0.2371,2.283,0.6954,0.3046,2.4928,0.7137,0.2863,,,,,,,
30,1715295900000,9527137.0,4409159.0036,3.2553,0.765,0.235,2.2849,0.6956,0.3044,2.453,0.7104,0.2896,,,,,,,
31,1715296200000,9535191.0,4405258.242,3.2176,0.7629,0.2371,2.2843,0.6955,0.3045,2.4722,0.712,0.288,,,,,,,
32,1715296500000,9541406.0,4402395.09157994,3.2409,0.7642,0.2358,2.2854,0.6956,0.3044,2.4376,0.7091,0.2909,,,,,,,
33,1715296800000,9525520.0,4397932.584,3.2517,0.7648,0.2352,2.2903,0.6961,0.3039,2.4037,0.7062,0.2938,,,,,,,
34,1715297100000,9524413.0,4391954.56428213,3.2248,0.7633,0.2367,2.2935,0.6964,0.3036,2.3704,0.7033,0.2967,,,,,,,
35,1715297400000,9518423.0,4394192.16153144,3.2159,0.7628,0.2372,2.292,0.6962,0.3038,2.3852,0.7046,0.2954,,,,,,,
36,1715297700000,9524606.0,4392851.91491328,3.2283,0.7635,0.2365,2.2948,0.6965,0.3035,2.3967,0.7056,0.2944,,,,,,,
37,1715298000000,9511536.0,4378160.0208,3.2373,0.764,0.236,2.2954,0.6965,0.3035,2.4014,0.706,0.294,,,,,,,
38,1715298300000,9514608.0,4381476.984,3.1911,0.7614,0.2386,2.2943,0.6964,0.3036,2.3727,0.7035,0.2965,,,,,,,
