,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4077790.2,4352102.82053078,4.4318,0.8159,0.1841,2.482,0.7128,0.2872,3.8876,0.7954,0.2046,,,,,,,
1,1715287200000,4074484.5,4362143.1057,4.4289,0.8158,0.1842,2.4833,0.7129,0.2871,3.8733,0.7948,0.2052,,,,,,,
2,1715287500000,4070637.1,4360539.24451135,4.423,0.8156,0.1844,2.4888,0.7134,0.2866,3.8426,0.7935,0.2065,,,,,,,
3,1715287800000,4065434.9,4357739.66931,4.4289,0.8158,0.1842,2.481,0.7127,0.2873,3.8828,0.7952,0.2048,,,,,,,
4,1715288100000,4064533.4,4359343.23399282,4.4171,0.8154,0.1846,2.4901,0.7135,0.2865,3.8757,0.7949,0.2051,,,,,,,
5,1715288400000,4059459.8,4358161.91554405,4.3908,0.8145,0.1855,2.4885,0.7133,0.2867,3.8828,0.7952,0.2048,,,,,,,
6,1715288700000,4060285.5,4367243.0838,4.4054,0.815,0.185,2.488,0.7133,0.2867,3.8972,0.7958,0.2042,,,,,,,
7,1715289000000,4061346.4,4373192.33461603,4.4289,0.8158,0.1842,2.4879,0.7133,0.2867,3.914,0.7965,0.2035,,,,,,,
8,1715289300000,4059881.4,4364778.49314,4.4526,0.8166,0.1834,2.4961,0.714,0.286,3.9164,0.7966,0.2034,,,,,,,
9,1715289600000,4059197.9,4357954.86544,4.4585,0.8168,0.1832,2.4942,0.7138,0.2862,3.9579,0.7983,0.2017,,,,,,,
10,1715289900000,4056737.6,4358887.95999411,4.4466,0.8164,0.1836,2.4918,0.7136,0.2864,3.9164,0.7966,0.2034,,,,,,,
11,1715290200000,4057063.9,4358343.77774042,4.4526,0.8166,0.1834,2.4914,0.7136,0.2864,3.9188,0.7967,0.2033,,,,,,,
12,1715290500000,4057585.3,4361340.8829328,4.4615,0.8169,0.1831,2.4954,0.7139,0.2861,3.9068,0.7962,0.2038,,,,,,,
13,1715290800000,4066069.0,4372650.6026,4.4289,0.8158,0.1842,2.4947,0.7139,0.2861,3.8804,0.7951,0.2049,,,,,,,
14,1715291100000,4063711.0,4373965.74449204,4.4259,0.8157,0.1843,2.4895,0.7134,0.2866,3.89,0.7955,0.2045,,,,,,,
15,1715291400000,4065329.4,4379579.36262,4.4113,0.8152,0.1848,2.4905,0.7135,0.2865,3.8662,0.7945,0.2055,,,,,,,
16,1715291700000,4064390.8,4389382.90245627,4.4083,0.8151,0.1849,2.4866,0.7132,0.2868,3.89,0.7955,0.2045,,,,,,,
17,1715292000000,4062981.0,4379115.13210002,4.4025,0.8149,0.1851,2.4874,0.7133,0.2867,3.878,0.795,0.205,,,,,,,
