,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,33256447.0,3954550.7179276,2.9479,0.7467,0.2533,2.0868,0.676,0.324,2.4106,0.7068,0.2932,,,,,,,
1,1715287200000,33260480.0,3962911.6885248,2.9573,0.7473,0.2527,2.0875,0.6761,0.3239,2.4002,0.7059,0.2941,,,,,,,
2,1715287500000,33262512.0,3963228.3048,2.951,0.7469,0.2531,2.0872,0.6761,0.3239,2.4002,0.7059,0.2941,,,,,,,
3,1715287800000,33280548.0,3962714.85036,2.937,0.746,0.254,2.0837,0.6757,0.3243,2.3841,0.7045,0.2955,,,,,,,
4,1715288100000,33281564.0,3966214.23704164,2.9386,0.7461,0.2539,2.0839,0.6757,0.3243,2.367,0.703,0.297,,,,,,,
5,1715288400000,33264679.0,3966147.67717,2.9401,0.7462,0.2538,2.087,0.6761,0.3239,2.3979,0.7057,0.2943,,,,,,,
6,1715288700000,33244137.0,3977659.32984315,2.951,0.7469,0.2531,2.0899,0.6764,0.3236,2.4083,0.7066,0.2934,,,,,,,
7,1715289000000,33232163.0,3980023.08364297,2.9432,0.7464,0.2536,2.0889,0.6763,0.3237,2.4095,0.7067,0.2933,,,,,,,
8,1715289300000,33220697.0,3967013.65390224,2.973,0.7483,0.2517,2.0899,0.6764,0.3236,2.4282,0.7083,0.2917,,,,,,,
9,1715289600000,33204756.0,3961534.920525,2.9604,0.7475,0.2525,2.0905,0.6764,0.3236,2.4072,0.7065,0.2935,,,,,,,
10,1715289900000,33182356.0,3959487.28428848,2.9667,0.7479,0.2521,2.0924,0.6766,0.3234,2.399,0.7058,0.2942,,,,,,,
11,1715290200000,33167968.0,3959157.18777952,2.9683,0.748,0.252,2.093,0.6767,0.3233,2.4048,0.7063,0.2937,,,,,,,
12,1715290500000,33250990.0,3968173.1466,2.9557,0.7472,0.2528,2.0994,0.6774,0.3226,2.4165,0.7073,0.2927,,,,,,,
13,1715290800000,33232569.0,3964560.73864905,2.9573,0.7473,0.2527,2.0999,0.6774,0.3226,2.4294,0.7084,0.2916,,,,,,,
