,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,16144587.3,13095824.70654673,2.5063,0.7148,0.2852,1.4821,0.5971,0.4029,2.6075,0.7228,0.2772,,,,,,,
1,1715287500000,16113533.9,13052621.98594253,2.5549,0.7187,0.2813,1.4812,0.597,0.403,2.651,0.7261,0.2739,,,,,,,
2,1715287800000,16107646.6,13050187.83535001,2.5398,0.7175,0.2825,1.4819,0.5971,0.4029,2.6536,0.7263,0.2737,,,,,,,
3,1715288100000,16108472.1,13051841.67686286,2.5361,0.7172,0.2828,1.4814,0.597,0.403,2.659,0.7267,0.2733,,,,,,,
4,1715288400000,16114987.3,13075312.48517594,2.5125,0.7153,0.2847,1.482,0.5971,0.4029,2.6284,0.7244,0.2756,,,,,,,
5,1715288700000,16109632.3,13135637.43069772,2.5088,0.715,0.285,1.4816,0.597,0.403,2.6219,0.7239,0.2761,,,,,,,
6,1715289000000,16120656.4,13177733.20541534,2.5014,0.7144,0.2856,1.4807,0.5969,0.4031,2.6324,0.7247,0.2753,,,,,,,
7,1715289300000,16141034.3,13104772.42322668,2.5562,0.7188,0.2812,1.4807,0.5969,0.4031,2.6778,0.7281,0.2719,,,,,,,
8,1715289600000,16153469.7,13091849.60437838,2.5651,0.7195,0.2805,1.4745,0.5959,0.4041,2.6805,0.7283,0.2717,,,,,,,
9,1715289900000,16148036.6,13074445.79633602,2.5651,0.7195,0.2805,1.4745,0.5959,0.4041,2.6792,0.7282,0.2718,,,,,,,
10,1715290200000,16150184.4,13089395.47694377,2.5537,0.7186,0.2814,1.4772,0.5963,0.4037,2.6724,0.7277,0.2723,,,,,,,
11,1715290500000,16150151.5,13091312.8059,2.5511,0.7184,0.2816,1.4777,0.5964,0.4036,2.6576,0.7266,0.2734,,,,,,,
12,1715290800000,16163028.2,13116297.3843,2.5224,0.7161,0.2839,1.4786,0.5966,0.4034,2.659,0.7267,0.2733,,,,,,,
13,1715291100000,16104705.8,13039532.89753288,2.5511,0.7184,0.2816,1.4775,0.5964,0.4036,2.6928,0.7292,0.2708,,,,,,,
14,1715291400000,16112474.1,13062382.75287,2.5499,0.7183,0.2817,1.4788,0.5966,0.4034,2.6941,0.7293,0.2707,,,,,,,
15,1715291700000,16116059.7,13098412.13048843,2.5348,0.7171,0.2829,1.4804,0.5968,0.4032,2.686,0.7287,0.2713,,,,,,,
16,1715292000000,16112220.9,13104069.25797,2.5348,0.7171,0.2829,1.4798,0.5967,0.4033,2.6711,0.7276,0.2724,,,,,,,
17,1715292300000,16080499.1,13108730.56425517,2.4638,0.7113,0.2887,1.483,0.5973,0.4027,2.6088,0.7229,0.2771,,,,,,,
18,1715292600000,16041542.9,13076760.9827649,2.5149,0.7155,0.2845,1.4782,0.5965,0.4035,2.6536,0.7263,0.2737,,,,,,,
19,1715292900000,16029897.2,13139706.73484,2.5149,0.7155,0.2845,1.4787,0.5966,0.4034,2.647,0.7258,0.2742,,,,,,,
20,1715293200000,16000829.6,13093478.86168,2.5002,0.7143,0.2857,1.4782,0.5965,0.4035,2.643,0.7255,0.2745,,,,,,,
21,1715293500000,16021174.2,13130954.37432,2.4758,0.7123,0.2877,1.483,0.5973,0.4027,2.6127,0.7232,0.2768,,,,,,,
22,1715293800000,16019396.2,13143353.74303904,2.465,0.7114,0.2886,1.4794,0.5967,0.4033,2.5958,0.7219,0.2781,,,,,,,
23,1715294100000,16036467.0,13150522.58908488,2.4855,0.7131,0.2869,1.4784,0.5965,0.4035,2.6179,0.7236,0.2764,,,,,,,
24,1715294400000,15989635.7,13168096.90935286,2.51,0.7151,0.2849,1.4785,0.5965,0.4035,2.6603,0.7268,0.2732,,,,,,,
25,1715294700000,15981562.2,13255533.75712825,2.5075,0.7149,0.2851,1.4788,0.5966,0.4034,2.6337,0.7248,0.2752,,,,,,,
26,1715295000000,16010951.5,13301163.44341664,2.5273,0.7165,0.2835,1.4696,0.5951,0.4049,2.6657,0.7272,0.2728,,,,,,,
27,1715295300000,16062978.5,13375946.91165215,2.5149,0.7155,0.2845,1.4712,0.5953,0.4047,2.6483,0.7259,0.2741,,,,,,,
28,1715295600000,16022966.8,13340722.15768,2.5063,0.7148,0.2852,1.4656,0.5944,0.4056,2.6443,0.7256,0.2744,,,,,,,
29,1715295900000,16479893.5,13939853.94200346,2.3389,0.7005,0.2995,1.464,0.5942,0.4058,2.42,0.7076,0.2924,,,,,,,
30,1715296200000,17225125.2,14694306.28261355,2.3333,0.7,0.3,1.4719,0.5954,0.4046,2.427,0.7082,0.2918,,,,,,,
31,1715296500000,17975299.1,15545038.66168,2.2712,0.6943,0.3057,1.4494,0.5917,0.4083,2.3344,0.7001,0.2999,,,,,,,
