,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,19490282.0,43702411.86143196,2.3535,0.7018,0.2982,1.8516,0.6493,0.3507,2.663,0.727,0.273,,,,,,,
1,1715287500000,19520263.0,43664609.46270479,2.3422,0.7008,0.2992,1.8489,0.649,0.351,2.6523,0.7262,0.2738,,,,,,,
2,1715287800000,19518644.0,43628073.0688,2.3659,0.7029,0.2971,1.8506,0.6492,0.3508,2.6887,0.7289,0.2711,,,,,,,
3,1715288100000,19492217.0,43574838.62848112,2.3875,0.7048,0.2952,1.8498,0.6491,0.3509,2.7202,0.7312,0.2688,,,,,,,
4,1715288400000,19416683.0,43459768.37923435,2.3818,0.7043,0.2957,1.8516,0.6493,0.3507,2.7147,0.7308,0.2692,,,,,,,
5,1715288700000,19445480.0,43733559.278156,2.3784,0.704,0.296,1.8673,0.6512,0.3488,2.7161,0.7309,0.2691,,,,,,,
6,1715289000000,19460945.0,43882867.67728815,2.349,0.7014,0.2986,1.8659,0.6511,0.3489,2.6778,0.7281,0.2719,,,,,,,
7,1715289300000,19493580.0,43786818.7792278,2.3456,0.7011,0.2989,1.8657,0.651,0.349,2.663,0.727,0.273,,,,,,,
8,1715289600000,19490321.0,43747974.5166,2.3613,0.7025,0.2975,1.8658,0.6511,0.3489,2.6792,0.7282,0.2718,,,,,,,
9,1715289900000,19484779.0,43781230.06256743,2.3535,0.7018,0.2982,1.8668,0.6512,0.3488,2.651,0.7261,0.2739,,,,,,,
10,1715290200000,19484485.0,43701751.4065,2.3456,0.7011,0.2989,1.8672,0.6512,0.3488,2.647,0.7258,0.2742,,,,,,,
11,1715290500000,19478862.0,43607874.15711324,2.3546,0.7019,0.2981,1.8678,0.6513,0.3487,2.6536,0.7263,0.2737,,,,,,,
12,1715290800000,19481675.0,43601637.9686055,2.3478,0.7013,0.2987,1.8674,0.6512,0.3488,2.639,0.7252,0.2748,,,,,,,
13,1715291100000,19469612.0,43641135.298,2.3356,0.7002,0.2998,1.8688,0.6514,0.3486,2.6284,0.7244,0.2756,,,,,,,
14,1715291400000,19452864.0,43654172.1024,2.3378,0.7004,0.2996,1.8678,0.6513,0.3487,2.643,0.7255,0.2745,,,,,,,
15,1715291700000,19441174.0,43863176.7788,2.3378,0.7004,0.2996,1.8687,0.6514,0.3486,2.6523,0.7262,0.2738,,,,,,,
16,1715292000000,19427521.0,43663353.4475,2.3245,0.6992,0.3008,1.8684,0.6514,0.3486,2.6417,0.7254,0.2746,,,,,,,
17,1715292300000,19419610.0,43624061.5962186,2.3344,0.7001,0.2999,1.8709,0.6517,0.3483,2.639,0.7252,0.2748,,,,,,,
18,1715292600000,19423480.0,43760468.3999608,2.3278,0.6995,0.3005,1.8721,0.6518,0.3482,2.6417,0.7254,0.2746,,,,,,,
19,1715292900000,19435839.0,43851139.9518,2.3234,0.6991,0.3009,1.8706,0.6516,0.3484,2.6271,0.7243,0.2757,,,,,,,
20,1715293200000,19435751.0,43893700.0584,2.3311,0.6998,0.3002,1.8715,0.6517,0.3483,2.6311,0.7246,0.2754,,,,,,,
21,1715293500000,19429279.0,43925364.04188521,2.3212,0.6989,0.3011,1.8738,0.652,0.348,2.6232,0.724,0.276,,,,,,,
22,1715293800000,19439548.0,44123432.52574516,2.3179,0.6986,0.3014,1.8694,0.6515,0.3485,2.6258,0.7242,0.2758,,,,,,,
23,1715294100000,19472243.0,44163820.36676953,2.2971,0.6967,0.3033,1.8687,0.6514,0.3486,2.5971,0.722,0.278,,,,,,,
24,1715294400000,19473361.0,44335789.46508689,2.283,0.6954,0.3046,1.867,0.6512,0.3488,2.5765,0.7204,0.2796,,,,,,,
25,1715294700000,19450793.0,44520885.0862726,2.2938,0.6964,0.3036,1.8654,0.651,0.349,2.6127,0.7232,0.2768,,,,,,,
26,1715295000000,19451522.0,44704488.44669168,2.2605,0.6933,0.3067,1.8671,0.6512,0.3488,2.5842,0.721,0.279,,,,,,,
27,1715295300000,19435366.0,44694917.05106138,2.2457,0.6919,0.3081,1.8665,0.6511,0.3489,2.5549,0.7187,0.2813,,,,,,,
28,1715295600000,19427172.0,44513479.2036,2.2584,0.6931,0.3069,1.8633,0.6508,0.3492,2.5868,0.7212,0.2788,,,,,,,
29,1715295900000,19438676.0,44362946.3672,2.2841,0.6955,0.3045,1.8711,0.6517,0.3483,2.6062,0.7227,0.2773,,,,,,,
30,1715296200000,19398952.0,44127593.60531672,2.3003,0.697,0.303,1.8751,0.6522,0.3478,2.6036,0.7225,0.2775,,,,,,,
31,1715296500000,19505498.0,44277480.46,2.3445,0.701,0.299,1.8748,0.6522,0.3478,2.6284,0.7244,0.2756,,,,,,,
32,1715296800000,19560876.0,44508817.2504,2.3311,0.6998,0.3002,1.8703,0.6516,0.3484,2.6153,0.7234,0.2766,,,,,,,
33,1715297100000,19586491.0,44462213.41585117,2.3568,0.7021,0.2979,1.8673,0.6512,0.3488,2.6724,0.7277,0.2723,,,,,,,
34,1715297400000,19563830.0,44380548.355,2.3523,0.7017,0.2983,1.8691,0.6515,0.3485,2.6657,0.7272,0.2728,,,,,,,
35,1715297700000,19565805.0,44319133.55481465,2.3591,0.7023,0.2977,1.8766,0.6524,0.3476,2.6969,0.7295,0.2705,,,,,,,
36,1715298000000,19572936.0,44216636.4441072,2.3625,0.7026,0.2974,1.875,0.6522,0.3478,2.6887,0.7289,0.2711,,,,,,,
37,1715298300000,19585736.0,44265721.9336,2.3841,0.7045,0.2955,1.8783,0.6526,0.3474,2.712,0.7306,0.2694,,,,,,,
38,1715298600000,19588778.0,44380335.4368,2.3784,0.704,0.296,1.8785,0.6526,0.3474,2.6941,0.7293,0.2707,,,,,,,
39,1715298900000,19619153.0,44415800.4767,2.3933,0.7053,0.2947,1.8758,0.6523,0.3477,2.7161,0.7309,0.2691,,,,,,,
40,1715299200000,19624198.0,44382086.1968,2.4025,0.7061,0.2939,1.8706,0.6516,0.3484,2.7175,0.731,0.269,,,,,,,
41,1715299500000,19619599.0,44166088.18134316,2.4235,0.7079,0.2921,1.8713,0.6517,0.3483,2.7258,0.7316,0.2684,,,,,,,
