,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,11375793.0,4327465.98391965,2.9604,0.7475,0.2525,1.9197,0.6575,0.3425,2.5286,0.7166,0.2834,,,,,,,
1,1715287200000,11376511.0,4336725.9932,2.9526,0.747,0.253,1.9155,0.657,0.343,2.5211,0.716,0.284,,,,,,,
2,1715287500000,11377975.0,4337284.07,2.9386,0.7461,0.2539,1.9146,0.6569,0.3431,2.51,0.7151,0.2849,,,,,,,
3,1715287800000,11380128.0,4339242.8064,2.9308,0.7456,0.2544,1.9117,0.6566,0.3434,2.5174,0.7157,0.2843,,,,,,,
4,1715288100000,11383894.0,4341817.1716,2.9124,0.7444,0.2556,1.912,0.6566,0.3434,2.499,0.7142,0.2858,,,,,,,
5,1715288400000,11383964.0,4342091.470817,2.9078,0.7441,0.2559,1.9118,0.6566,0.3434,2.4916,0.7136,0.2864,,,,,,,
6,1715288700000,11387698.0,4359617.56297256,2.8926,0.7431,0.2569,1.9122,0.6566,0.3434,2.4941,0.7138,0.2862,,,,,,,
7,1715289000000,11399497.0,4369996.49098018,2.888,0.7428,0.2572,1.9137,0.6568,0.3432,2.4722,0.712,0.288,,,,,,,
8,1715289300000,11399562.0,4365035.46829872,2.9093,0.7442,0.2558,1.9168,0.6572,0.3428,2.4518,0.7103,0.2897,,,,,,,
9,1715289600000,11388845.0,4356233.2125,2.9386,0.7461,0.2539,1.9173,0.6572,0.3428,2.4483,0.71,0.29,,,,,,,
10,1715289900000,11381803.0,4353622.62084387,2.92,0.7449,0.2551,1.916,0.6571,0.3429,2.4317,0.7086,0.2914,,,,,,,
11,1715290200000,11383286.0,4357521.8808,2.8986,0.7435,0.2565,1.9165,0.6571,0.3429,2.4247,0.708,0.292,,,,,,,
12,1715290500000,11384383.0,4359080.2507,2.9063,0.744,0.256,1.9161,0.6571,0.3429,2.4294,0.7084,0.2916,,,,,,,
13,1715290800000,11377796.0,4356558.0884,2.8835,0.7425,0.2575,1.9183,0.6573,0.3427,2.4106,0.7068,0.2932,,,,,,,
14,1715291100000,11374358.0,4361183.75656278,2.8715,0.7417,0.2583,1.9171,0.6572,0.3428,2.4141,0.7071,0.2929,,,,,,,
15,1715291400000,11373614.0,4365873.87773404,2.8775,0.7421,0.2579,1.917,0.6572,0.3428,2.42,0.7076,0.2924,,,,,,,
16,1715291700000,11373119.0,4375007.09513478,2.8805,0.7423,0.2577,1.9166,0.6571,0.3429,2.4305,0.7085,0.2915,,,,,,,
17,1715292000000,11373894.0,4371935.13704808,2.8835,0.7425,0.2575,1.9174,0.6572,0.3428,2.4235,0.7079,0.2921,,,,,,,
