,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,862066.591,70901272.4475405,2.4722,0.712,0.288,1.8836,0.6532,0.3468,2.4734,0.7121,0.2879,,,,,,,
1,1715287200000,862209.312,70931467.64942715,2.4686,0.7117,0.2883,1.883,0.6531,0.3469,2.4674,0.7116,0.2884,,,,,,,
2,1715287500000,862406.253,70957843.0071511,2.471,0.7119,0.2881,1.8845,0.6533,0.3467,2.4674,0.7116,0.2884,,,,,,,
3,1715287800000,862623.168,70950755.568,2.4722,0.712,0.288,1.8854,0.6534,0.3466,2.4662,0.7115,0.2885,,,,,,,
4,1715288100000,862467.615,70907526.00732325,2.471,0.7119,0.2881,1.8843,0.6533,0.3467,2.4674,0.7116,0.2884,,,,,,,
5,1715288400000,862485.309,71001928.74658586,2.471,0.7119,0.2881,1.8838,0.6532,0.3468,2.4698,0.7118,0.2882,,,,,,,
6,1715288700000,861344.11,70955500.41894141,2.4795,0.7126,0.2874,1.8879,0.6537,0.3463,2.4783,0.7125,0.2875,,,,,,,
7,1715289000000,861793.478,70976528.96871121,2.4855,0.7131,0.2869,1.8869,0.6536,0.3464,2.488,0.7133,0.2867,,,,,,,
8,1715289300000,861644.683,70947823.19822,2.4855,0.7131,0.2869,1.8863,0.6535,0.3465,2.4771,0.7124,0.2876,,,,,,,
9,1715289600000,861881.346,70956880.23109579,2.4855,0.7131,0.2869,1.8874,0.6537,0.3463,2.4746,0.7122,0.2878,,,,,,,
10,1715289900000,861884.623,70976198.70405,2.4855,0.7131,0.2869,1.8875,0.6537,0.3463,2.4746,0.7122,0.2878,,,,,,,
11,1715290200000,861762.812,70977244.33129795,2.4855,0.7131,0.2869,1.888,0.6537,0.3463,2.4734,0.7121,0.2879,,,,,,,
12,1715290500000,861884.37,71002034.4006,2.4855,0.7131,0.2869,1.8888,0.6538,0.3462,2.4734,0.7121,0.2879,,,,,,,
13,1715290800000,861392.586,70940717.57005699,2.4831,0.7129,0.2871,1.8879,0.6537,0.3463,2.4662,0.7115,0.2885,,,,,,,
14,1715291100000,861495.314,70926909.20162,2.488,0.7133,0.2867,1.8877,0.6537,0.3463,2.4698,0.7118,0.2882,,,,,,,
