,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,2062938.1,79567522.517,2.6062,0.7227,0.2773,2.6061,0.7227,0.2773,2.6873,0.7288,0.2712,,,,,,,
1,1715287200000,2064112.7,79709244.06143449,2.5971,0.722,0.278,2.6025,0.7224,0.2776,2.6832,0.7285,0.2715,,,,,,,
2,1715287500000,2064883.7,79836663.3768,2.5984,0.7221,0.2779,2.5925,0.7216,0.2784,2.6873,0.7288,0.2712,,,,,,,
3,1715287800000,2061885.0,79680494.4698385,2.6062,0.7227,0.2773,2.5936,0.7217,0.2783,2.6873,0.7288,0.2712,,,,,,,
4,1715288100000,2061189.3,79674239.11730391,2.601,0.7223,0.2777,2.5945,0.7218,0.2782,2.6914,0.7291,0.2709,,,,,,,
5,1715288400000,2057615.1,79690120.64069843,2.6153,0.7234,0.2766,2.5904,0.7215,0.2785,2.6969,0.7295,0.2705,,,,,,,
6,1715288700000,2050660.7,79743350.78899303,2.6311,0.7246,0.2754,2.5818,0.7208,0.2792,2.7133,0.7307,0.2693,,,,,,,
7,1715289000000,2043677.6,79607373.5528,2.6403,0.7253,0.2747,2.5929,0.7217,0.2783,2.7202,0.7312,0.2688,,,,,,,
8,1715289300000,2042275.3,79316754.53649473,2.6403,0.7253,0.2747,2.5955,0.7219,0.2781,2.7244,0.7315,0.2685,,,,,,,
9,1715289600000,2039966.9,79049107.74306598,2.6232,0.724,0.276,2.5972,0.722,0.278,2.7133,0.7307,0.2693,,,,,,,
10,1715289900000,2038009.8,79054400.142,2.6298,0.7245,0.2755,2.5993,0.7222,0.2778,2.712,0.7306,0.2694,,,,,,,
11,1715290200000,2038191.0,78949328.385,2.6483,0.7259,0.2741,2.5948,0.7218,0.2782,2.7258,0.7316,0.2684,,,,,,,
12,1715290500000,2038734.3,78813390.5694,2.647,0.7258,0.2742,2.5761,0.7204,0.2796,2.7189,0.7311,0.2689,,,,,,,
13,1715290800000,2038042.6,78775581.40622236,2.659,0.7267,0.2733,2.5787,0.7206,0.2794,2.7425,0.7328,0.2672,,,,,,,
14,1715291100000,2041056.2,78801097.7696,2.6443,0.7256,0.2744,2.5746,0.7203,0.2797,2.7355,0.7323,0.2677,,,,,,,
15,1715291400000,2040871.3,78921936.63845307,2.6403,0.7253,0.2747,2.5754,0.7203,0.2797,2.7355,0.7323,0.2677,,,,,,,
16,1715291700000,2041392.7,79128557.80270599,2.639,0.7252,0.2748,2.576,0.7204,0.2796,2.7341,0.7322,0.2678,,,,,,,
17,1715292000000,2040939.5,79029845.70132774,2.6298,0.7245,0.2755,2.5808,0.7207,0.2793,2.7216,0.7313,0.2687,,,,,,,
18,1715292300000,2047073.2,79280342.75655505,2.6193,0.7237,0.2763,2.5798,0.7207,0.2793,2.7092,0.7304,0.2696,,,,,,,
19,1715292600000,2054036.7,79692446.60394211,2.6166,0.7235,0.2765,2.5699,0.7199,0.2801,2.7272,0.7317,0.2683,,,,,,,
20,1715292900000,2056019.8,80044905.73736995,2.6258,0.7242,0.2758,2.5676,0.7197,0.2803,2.7216,0.7313,0.2687,,,,,,,
21,1715293200000,2057170.6,80009946.05761376,2.6127,0.7232,0.2768,2.5709,0.72,0.28,2.712,0.7306,0.2694,,,,,,,
22,1715293500000,2061887.1,80345554.6257,2.6284,0.7244,0.2756,2.5605,0.7191,0.2809,2.723,0.7314,0.2686,,,,,,,
23,1715293800000,2064453.7,80594207.9943,2.635,0.7249,0.2751,2.5585,0.719,0.281,2.7244,0.7315,0.2685,,,,,,,
24,1715294100000,2065989.5,80565529.73206733,2.6337,0.7248,0.2752,2.5583,0.719,0.281,2.7467,0.7331,0.2669,,,,,,,
25,1715294400000,2068431.8,80905443.31484023,2.6284,0.7244,0.2756,2.5552,0.7187,0.2813,2.7439,0.7329,0.2671,,,,,,,
26,1715294700000,2070440.3,81294574.00301759,2.6088,0.7229,0.2771,2.5534,0.7186,0.2814,2.7397,0.7326,0.2674,,,,,,,
27,1715295000000,2068867.2,81581292.97617446,2.5958,0.7219,0.2781,2.5624,0.7193,0.2807,2.712,0.7306,0.2694,,,,,,,
28,1715295300000,2074763.1,81988422.67614342,2.6101,0.723,0.277,2.557,0.7189,0.2811,2.7327,0.7321,0.2679,,,,,,,
29,1715295600000,2070272.8,81568376.89235695,2.6563,0.7265,0.2735,2.5624,0.7193,0.2807,2.7665,0.7345,0.2655,,,,,,,
30,1715295900000,2068348.6,81256671.30928434,2.667,0.7273,0.2727,2.5731,0.7201,0.2799,2.7679,0.7346,0.2654,,,,,,,
