,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,44879761.7,44942106.86976317,1.8629,0.6507,0.3493,1.0553,0.5135,0.4865,2.2776,0.6949,0.3051,,,,,,,
1,1715287200000,44932918.5,44964371.54295,1.8694,0.6515,0.3485,1.0582,0.5141,0.4859,2.2798,0.6951,0.3049,,,,,,,
2,1715287500000,44850525.8,44845885.56460073,1.8686,0.6514,0.3486,1.0587,0.5143,0.4857,2.2701,0.6942,0.3058,,,,,,,
3,1715287800000,44825179.0,44781236.42877451,1.862,0.6506,0.3494,1.0628,0.5152,0.4848,2.2733,0.6945,0.3055,,,,,,,
4,1715288100000,44821860.5,44828424.21325162,1.8653,0.651,0.349,1.064,0.5155,0.4845,2.2733,0.6945,0.3055,,,,,,,
5,1715288400000,44784768.5,44825708.04827659,1.867,0.6512,0.3488,1.0633,0.5153,0.4847,2.2927,0.6963,0.3037,,,,,,,
6,1715288700000,44811525.0,45033691.13052975,1.8744,0.6521,0.3479,1.062,0.515,0.485,2.296,0.6966,0.3034,,,,,,,
7,1715289000000,44895761.1,45106771.17717,1.8794,0.6527,0.3473,1.0621,0.5151,0.4849,2.2938,0.6964,0.3036,,,,,,,
8,1715289300000,44881802.7,45136758.26841762,1.8703,0.6516,0.3484,1.0616,0.515,0.485,2.2873,0.6958,0.3042,,,,,,,
9,1715289600000,44879705.2,45079471.05100393,1.8703,0.6516,0.3484,1.0607,0.5147,0.4853,2.2755,0.6947,0.3053,,,,,,,
10,1715289900000,44822795.5,45051391.75705,1.8629,0.6507,0.3493,1.0608,0.5147,0.4853,2.2787,0.695,0.305,,,,,,,
11,1715290200000,44825470.6,45085458.32948,1.8637,0.6508,0.3492,1.0613,0.5149,0.4851,2.2755,0.6947,0.3053,,,,,,,
12,1715290500000,44925029.2,45203564.38104,1.8694,0.6515,0.3485,1.0619,0.515,0.485,2.2798,0.6951,0.3049,,,,,,,
13,1715290800000,44908140.3,45213207.13511614,1.876,0.6523,0.3477,1.0615,0.5149,0.4851,2.2776,0.6949,0.3051,,,,,,,
14,1715291100000,44971406.9,45345067.57422107,1.8703,0.6516,0.3484,1.0618,0.515,0.485,2.2808,0.6952,0.3048,,,,,,,
15,1715291400000,44975967.9,45295297.27209,1.8727,0.6519,0.3481,1.0624,0.5151,0.4849,2.2916,0.6962,0.3038,,,,,,,
16,1715291700000,44980241.6,45362573.6536,1.8777,0.6525,0.3475,1.063,0.5153,0.4847,2.2895,0.696,0.304,,,,,,,
