,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3350703.0,3213667.38950829,2.3647,0.7028,0.2972,0.8829,0.4689,0.5311,2.0826,0.6756,0.3244,,,,,,,
1,1715287200000,3351330.0,3219657.7523985,2.3602,0.7024,0.2976,0.8826,0.4688,0.5312,2.0826,0.6756,0.3244,,,,,,,
2,1715287500000,3351480.0,3218761.392,2.367,0.703,0.297,0.8825,0.4688,0.5312,2.0874,0.6761,0.3239,,,,,,,
3,1715287800000,3352668.0,3217555.4796,2.3311,0.6998,0.3002,0.8818,0.4686,0.5314,2.0703,0.6743,0.3257,,,,,,,
4,1715288100000,3347811.0,3215237.6844,2.3546,0.7019,0.2981,0.8806,0.4682,0.5318,2.1299,0.6805,0.3195,,,,,,,
5,1715288400000,3348229.0,3216748.53379686,2.3602,0.7024,0.2976,0.8812,0.4684,0.5316,2.1338,0.6809,0.3191,,,,,,,
6,1715288700000,3350949.0,3232355.06129865,2.3212,0.6989,0.3011,0.8822,0.4687,0.5313,2.0703,0.6743,0.3257,,,,,,,
7,1715289000000,3327520.0,3223788.6235744,2.2862,0.6957,0.3043,0.8866,0.4699,0.5301,2.0303,0.67,0.33,,,,,,,
8,1715289300000,3313141.0,3202654.50645764,2.2552,0.6928,0.3072,0.8888,0.4706,0.5294,2.0003,0.6667,0.3333,,,,,,,
9,1715289600000,3310117.0,3194262.905,2.2658,0.6938,0.3062,0.8889,0.4706,0.5294,2.012,0.668,0.332,,,,,,,
10,1715289900000,3309402.0,3192544.79808066,2.2873,0.6958,0.3042,0.8891,0.4707,0.5293,2.0211,0.669,0.331,,,,,,,
11,1715290200000,3310374.0,3189847.05648636,2.2819,0.6953,0.3047,0.89,0.4709,0.5291,2.0148,0.6683,0.3317,,,,,,,
12,1715290500000,3311301.0,3192305.52434283,2.2949,0.6965,0.3035,0.8901,0.4709,0.5291,2.0166,0.6685,0.3315,,,,,,,
13,1715290800000,3312080.0,3192059.9251944,2.2982,0.6968,0.3032,0.8904,0.471,0.529,2.0202,0.6689,0.3311,,,,,,,
14,1715291100000,3311232.0,3197656.7424,2.2478,0.6921,0.3079,0.8888,0.4706,0.5294,1.9895,0.6655,0.3345,,,,,,,
15,1715291400000,3311191.0,3200099.28369742,2.2478,0.6921,0.3079,0.8888,0.4706,0.5294,1.9895,0.6655,0.3345,,,,,,,
16,1715291700000,3306201.0,3207014.97,2.2723,0.6944,0.3056,0.8878,0.4703,0.5297,2.012,0.668,0.332,,,,,,,
17,1715292000000,3307406.0,3201009.32875668,2.2541,0.6927,0.3073,0.8878,0.4703,0.5297,1.9931,0.6659,0.3341,,,,,,,
18,1715292300000,3311616.0,3210722.58490368,2.2712,0.6943,0.3057,0.89,0.4709,0.5291,2.0057,0.6673,0.3327,,,,,,,
19,1715292600000,3309051.0,3210537.20958849,2.2185,0.6893,0.3107,0.8899,0.4709,0.5291,1.9815,0.6646,0.3354,,,,,,,
20,1715292900000,3311712.0,3219244.46391456,2.2134,0.6888,0.3112,0.8927,0.4717,0.5283,1.9682,0.6631,0.3369,,,,,,,
21,1715293200000,3310504.0,3219895.1744696,2.2041,0.6879,0.3121,0.8919,0.4714,0.5286,1.9656,0.6628,0.3372,,,,,,,
22,1715293500000,3310059.0,3220064.32149384,2.2092,0.6884,0.3116,0.8923,0.4715,0.5285,1.9665,0.6629,0.3371,,,,,,,
23,1715293800000,3328363.0,3244488.2524,2.2154,0.689,0.311,0.89,0.4709,0.5291,1.9727,0.6636,0.3364,,,,,,,
24,1715294100000,3328115.0,3244912.125,2.23,0.6904,0.3096,0.8899,0.4709,0.5291,1.9878,0.6653,0.3347,,,,,,,
25,1715294400000,3324801.0,3251407.87981356,2.2446,0.6918,0.3082,0.8897,0.4708,0.5292,2.012,0.668,0.332,,,,,,,
26,1715294700000,3326576.0,3263420.82157696,2.2541,0.6927,0.3073,0.8892,0.4707,0.5293,2.0093,0.6677,0.3323,,,,,,,
27,1715295000000,3332072.0,3281424.5056,2.268,0.694,0.306,0.8904,0.471,0.529,2.0266,0.6696,0.3304,,,,,,,
28,1715295300000,3333422.0,3285420.7232,2.252,0.6925,0.3075,0.8894,0.4707,0.5293,2.0331,0.6703,0.3297,,,,,,,
29,1715295600000,3336625.0,3291154.8758825,2.2563,0.6929,0.3071,0.8898,0.4708,0.5292,2.0102,0.6678,0.3322,,,,,,,
30,1715295900000,3340202.0,3297254.6847446,2.1928,0.6868,0.3132,0.8879,0.4703,0.5297,1.9647,0.6627,0.3373,,,,,,,
31,1715296200000,3342772.0,3288237.95073656,2.2113,0.6886,0.3114,0.8855,0.4696,0.5304,2.0331,0.6703,0.3297,,,,,,,
32,1715296500000,3339305.0,3281765.06822145,2.2446,0.6918,0.3082,0.8878,0.4703,0.5297,2.0386,0.6709,0.3291,,,,,,,
33,1715296800000,3340854.0,3282601.39968024,2.2637,0.6936,0.3064,0.8875,0.4702,0.5298,2.0534,0.6725,0.3275,,,,,,,
34,1715297100000,3340688.0,3277214.928,2.2723,0.6944,0.3056,0.8878,0.4703,0.5297,2.0581,0.673,0.327,,,,,,,
35,1715297400000,3339658.0,3277879.57026306,2.2765,0.6948,0.3052,0.8872,0.4701,0.5299,2.0769,0.675,0.325,,,,,,,
36,1715297700000,3340162.0,3271741.82097742,2.268,0.694,0.306,0.8864,0.4699,0.5301,2.1114,0.6786,0.3214,,,,,,,
37,1715298000000,3333494.0,3259823.7826,2.3036,0.6973,0.3027,0.8871,0.4701,0.5299,2.1066,0.6781,0.3219,,,,,,,
38,1715298300000,3333493.0,3255633.77072155,2.3322,0.6999,0.3001,0.8865,0.4699,0.5301,2.1496,0.6825,0.3175,,,,,,,
39,1715298600000,3332985.0,3266763.4542081,2.3025,0.6972,0.3028,0.886,0.4698,0.5302,2.1407,0.6816,0.3184,,,,,,,
40,1715298900000,3333010.0,3265088.255715,2.2798,0.6951,0.3049,0.8854,0.4696,0.5304,2.1211,0.6796,0.3204,,,,,,,
41,1715299200000,3332779.0,3264123.7526,2.2841,0.6955,0.3045,0.885,0.4695,0.5305,2.1299,0.6805,0.3195,,,,,,,
42,1715299500000,3330786.0,3251008.41265812,2.2733,0.6945,0.3055,0.8857,0.4697,0.5303,2.0358,0.6706,0.3294,,,,,,,
43,1715299800000,3329419.0,3262875.76692164,2.2787,0.695,0.305,0.8846,0.4694,0.5306,2.0303,0.67,0.33,,,,,,,
44,1715300100000,3325822.0,3260821.43640938,2.2701,0.6942,0.3058,0.8836,0.4691,0.5309,2.0358,0.6706,0.3294,,,,,,,
45,1715300400000,3326150.0,3263285.765,2.2541,0.6927,0.3073,0.8841,0.4692,0.5308,2.0084,0.6676,0.3324,,,,,,,
46,1715300700000,3328916.0,3260194.65703584,2.2573,0.693,0.307,0.8839,0.4692,0.5308,2.0157,0.6684,0.3316,,,,,,,
47,1715301000000,3330017.0,3262417.6549,2.269,0.6941,0.3059,0.8836,0.4691,0.5309,2.0285,0.6698,0.3302,,,,,,,
48,1715301300000,3329241.0,3259374.58043871,2.2776,0.6949,0.3051,0.8845,0.4694,0.5306,1.9976,0.6664,0.3336,,,,,,,
49,1715301600000,3327378.0,3264113.43077748,2.2873,0.6958,0.3042,0.8841,0.4692,0.5308,2.0239,0.6693,0.3307,,,,,,,
50,1715301900000,3327272.0,3268712.0128,2.3014,0.6971,0.3029,0.8842,0.4693,0.5307,2.0395,0.671,0.329,,,,,,,
51,1715302200000,3326200.0,3259851.95598,2.3156,0.6984,0.3016,0.8846,0.4694,0.5306,2.0609,0.6733,0.3267,,,,,,,
52,1715302500000,3325934.0,3260745.6936,2.2916,0.6962,0.3038,0.8852,0.4696,0.5304,2.0331,0.6703,0.3297,,,,,,,
53,1715302800000,3324885.0,3261379.6965,2.2873,0.6958,0.3042,0.8851,0.4695,0.5305,2.0562,0.6728,0.3272,,,,,,,
54,1715303100000,3324062.0,3261750.72929776,2.3156,0.6984,0.3016,0.8859,0.4697,0.5303,2.0618,0.6734,0.3266,,,,,,,
