,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,9480490.0,2792952.354,3.4385,0.7747,0.2253,1.7455,0.6358,0.3642,2.7355,0.7323,0.2677,,,,,,,
1,1715287200000,9475215.0,2794424.1541581,3.4663,0.7761,0.2239,1.749,0.6362,0.3638,2.7411,0.7327,0.2673,,,,,,,
2,1715287500000,9452581.0,2787755.18852,3.4072,0.7731,0.2269,1.7577,0.6374,0.3626,2.7106,0.7305,0.2695,,,,,,,
3,1715287800000,9454775.0,2788910.05896525,3.2753,0.7661,0.2339,1.7549,0.637,0.363,2.6166,0.7235,0.2765,,,,,,,
4,1715288100000,9488779.0,2802641.72791241,3.2863,0.7667,0.2333,1.7514,0.6365,0.3635,2.6523,0.7262,0.2738,,,,,,,
5,1715288400000,9499405.0,2811334.18567225,3.2391,0.7641,0.2359,1.7467,0.6359,0.3641,2.6245,0.7241,0.2759,,,,,,,
6,1715288700000,9507307.0,2829184.41706,3.2608,0.7653,0.2347,1.7481,0.6361,0.3639,2.614,0.7233,0.2767,,,,,,,
7,1715289000000,9516836.0,2844664.31552632,3.1859,0.7611,0.2389,1.7451,0.6357,0.3643,2.592,0.7216,0.2784,,,,,,,
8,1715289300000,9514133.0,2832160.35640557,3.2105,0.7625,0.2375,1.7532,0.6368,0.3632,2.5765,0.7204,0.2796,,,,,,,
9,1715289600000,9516560.0,2821564.8744,3.2319,0.7637,0.2363,1.7456,0.6358,0.3642,2.6364,0.725,0.275,,,,,,,
10,1715289900000,9489831.0,2807756.10817338,3.2212,0.7631,0.2369,1.7532,0.6368,0.3632,2.6245,0.7241,0.2759,,,,,,,
11,1715290200000,9458071.0,2797224.78199213,3.2499,0.7647,0.2353,1.76,0.6377,0.3623,2.6127,0.7232,0.2768,,,,,,,
12,1715290500000,9467699.0,2797022.71743307,3.2248,0.7633,0.2367,1.7666,0.6385,0.3615,2.5881,0.7213,0.2787,,,,,,,
13,1715290800000,9480454.0,2809003.15434864,3.2319,0.7637,0.2363,1.7723,0.6393,0.3607,2.5186,0.7158,0.2842,,,,,,,
14,1715291100000,9480910.0,2808529.9693,3.2753,0.7661,0.2339,1.7717,0.6392,0.3608,2.5945,0.7218,0.2782,,,,,,,
15,1715291400000,9481835.0,2810415.894,3.2753,0.7661,0.2339,1.7714,0.6392,0.3608,2.5907,0.7215,0.2785,,,,,,,
16,1715291700000,9480054.0,2816111.47144992,3.2662,0.7656,0.2344,1.7697,0.639,0.361,2.5842,0.721,0.279,,,,,,,
17,1715292000000,9478565.0,2812368.62323255,3.2827,0.7665,0.2335,1.7684,0.6388,0.3612,2.6258,0.7242,0.2758,,,,,,,
18,1715292300000,9489033.0,2813300.53305228,3.3328,0.7692,0.2308,1.7718,0.6392,0.3608,2.6563,0.7265,0.2735,,,,,,,
19,1715292600000,9504816.0,2825781.7968,3.3048,0.7677,0.2323,1.7729,0.6394,0.3606,2.6536,0.7263,0.2737,,,,,,,
20,1715292900000,9493102.0,2834165.6021,3.2662,0.7656,0.2344,1.7773,0.6399,0.3601,2.5894,0.7214,0.2786,,,,,,,
21,1715293200000,9487640.0,2829939.1985724,3.2882,0.7668,0.2332,1.7792,0.6402,0.3598,2.6377,0.7251,0.2749,,,,,,,
22,1715293500000,9503044.0,2830291.59452,3.3535,0.7703,0.2297,1.7737,0.6395,0.3605,2.6982,0.7296,0.2704,,,,,,,
23,1715293800000,9502280.0,2836050.4888,3.3328,0.7692,0.2308,1.7742,0.6395,0.3605,2.663,0.727,0.273,,,,,,,
24,1715294100000,9502056.0,2832847.95528,3.3234,0.7687,0.2313,1.7726,0.6393,0.3607,2.6443,0.7256,0.2744,,,,,,,
25,1715294400000,9501366.0,2844328.92576,3.3085,0.7679,0.2321,1.7755,0.6397,0.3603,2.6536,0.7263,0.2737,,,,,,,
26,1715294700000,9491145.0,2850095.93205,3.3234,0.7687,0.2313,1.7741,0.6395,0.3605,2.6738,0.7278,0.2722,,,,,,,
27,1715295000000,9494480.0,2855654.7496,3.3687,0.7711,0.2289,1.7805,0.6404,0.3596,2.7175,0.731,0.269,,,,,,,
28,1715295300000,9423616.0,2829981.1483776,3.4189,0.7737,0.2263,1.7742,0.6395,0.3605,2.7523,0.7335,0.2665,,,,,,,
29,1715295600000,9411960.0,2825611.2890412,3.3995,0.7727,0.2273,1.7733,0.6394,0.3606,2.7594,0.734,0.266,,,,,,,
30,1715295900000,9413739.0,2824309.97478,3.3497,0.7701,0.2299,1.7783,0.6401,0.3599,2.723,0.7314,0.2686,,,,,,,
31,1715296200000,9425086.0,2829524.67223888,3.3328,0.7692,0.2308,1.7797,0.6403,0.3597,2.7064,0.7302,0.2698,,,,,,,
32,1715296500000,9410969.0,2816138.36356,3.3821,0.7718,0.2282,1.7862,0.6411,0.3589,2.7092,0.7304,0.2696,,,,,,,
33,1715296800000,9405621.0,2811567.26264715,3.4111,0.7733,0.2267,1.781,0.6404,0.3596,2.7341,0.7322,0.2678,,,,,,,
34,1715297100000,9386814.0,2808345.88610232,3.3573,0.7705,0.2295,1.785,0.6409,0.3591,2.7133,0.7307,0.2693,,,,,,,
35,1715297400000,9378827.0,2806222.60129929,3.3706,0.7712,0.2288,1.7878,0.6413,0.3587,2.7078,0.7303,0.2697,,,,,,,
36,1715297700000,9377441.0,2798556.04218854,3.3937,0.7724,0.2276,1.7859,0.641,0.359,2.73,0.7319,0.2681,,,,,,,
37,1715298000000,9385857.0,2797815.47119308,3.384,0.7719,0.2281,1.7866,0.6411,0.3589,2.7216,0.7313,0.2687,,,,,,,
38,1715298300000,9388119.0,2795875.71939,3.4053,0.773,0.227,1.7863,0.6411,0.3589,2.7665,0.7345,0.2655,,,,,,,
39,1715298600000,9387771.0,2803072.85713899,3.4092,0.7732,0.2268,1.7891,0.6415,0.3585,2.7622,0.7342,0.2658,,,,,,,
40,1715298900000,9388161.0,2801311.20473004,3.3821,0.7718,0.2282,1.789,0.6414,0.3586,2.7495,0.7333,0.2667,,,,,,,
41,1715299200000,9383440.0,2798329.4768,3.3802,0.7717,0.2283,1.7896,0.6415,0.3585,2.7523,0.7335,0.2665,,,,,,,
42,1715299500000,9368387.0,2786331.79632724,3.4248,0.774,0.226,1.7954,0.6423,0.3577,2.7566,0.7338,0.2662,,,,,,,
43,1715299800000,9340972.0,2779219.39916,3.4307,0.7743,0.2257,1.7953,0.6423,0.3577,2.7453,0.733,0.267,,,,,,,
44,1715300100000,9112829.0,2697915.81284181,3.5147,0.7785,0.2215,1.7892,0.6415,0.3585,2.87,0.7416,0.2584,,,,,,,
45,1715300400000,9104955.0,2701010.7588222,3.4984,0.7777,0.2223,1.8026,0.6432,0.3568,2.775,0.7351,0.2649,,,,,,,
