,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,13391517.0,2549497.49548101,1.7785,0.6401,0.3599,0.8062,0.4463,0.5537,1.7809,0.6404,0.3596,,,,,,,
1,1715287500000,13396844.0,2550099.70493832,1.7693,0.6389,0.3611,0.8077,0.4468,0.5532,1.8233,0.6458,0.3542,,,,,,,
2,1715287800000,13429195.0,2561053.44284855,1.7709,0.6391,0.3609,0.8066,0.4465,0.5535,1.8289,0.6465,0.3535,,,,,,,
3,1715288100000,13326104.0,2533585.41142696,1.7465,0.6359,0.3641,0.8076,0.4468,0.5532,1.8137,0.6446,0.3554,,,,,,,
4,1715288400000,13327527.0,2535408.7451895,1.7925,0.6419,0.3581,0.8038,0.4456,0.5544,1.8082,0.6439,0.3561,,,,,,,
5,1715288700000,13388913.0,2558476.94181786,1.7956,0.6423,0.3577,0.804,0.4457,0.5543,1.8066,0.6437,0.3563,,,,,,,
6,1715289000000,13308755.0,2536688.629265,1.7701,0.639,0.361,0.7994,0.4443,0.5557,1.8185,0.6452,0.3548,,,,,,,
7,1715289300000,13329417.0,2539725.13339095,1.7832,0.6407,0.3593,0.7972,0.4436,0.5564,1.858,0.6501,0.3499,,,,,,,
8,1715289600000,13344601.0,2534470.14222076,1.805,0.6435,0.3565,0.798,0.4438,0.5562,1.8686,0.6514,0.3486,,,,,,,
9,1715289900000,13418929.0,2544569.51081802,1.8003,0.6429,0.3571,0.798,0.4438,0.5562,1.8711,0.6517,0.3483,,,,,,,
10,1715290200000,13491792.0,2552687.521776,1.8169,0.645,0.355,0.7977,0.4437,0.5563,1.9223,0.6578,0.3422,,,,,,,
11,1715290500000,13502874.0,2554122.628596,1.8114,0.6443,0.3557,0.7974,0.4436,0.5564,1.9464,0.6606,0.3394,,,,,,,
12,1715290800000,13506957.0,2550991.433805,1.809,0.644,0.356,0.7979,0.4438,0.5562,1.9334,0.6591,0.3409,,,,,,,
