,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3100678.5,3354339.76793834,2.992,0.7495,0.2505,2.5513,0.7184,0.2816,2.5211,0.716,0.284,,,,,,,
1,1715287200000,3104807.3,3362506.3059,2.9857,0.7491,0.2509,2.5548,0.7187,0.2813,2.5211,0.716,0.284,,,,,,,
2,1715287500000,3106051.5,3366465.49790378,2.9872,0.7492,0.2508,2.557,0.7189,0.2811,2.5162,0.7156,0.2844,,,,,,,
3,1715287800000,3106602.0,3364449.966,2.9714,0.7482,0.2518,2.5513,0.7184,0.2816,2.5112,0.7152,0.2848,,,,,,,
4,1715288100000,3101344.3,3356535.5314753,2.9761,0.7485,0.2515,2.5538,0.7186,0.2814,2.5186,0.7158,0.2842,,,,,,,
5,1715288400000,3099545.6,3359907.4304,2.9825,0.7489,0.2511,2.5568,0.7188,0.2812,2.5261,0.7164,0.2836,,,,,,,
6,1715288700000,3103954.8,3373010.04071936,2.9888,0.7493,0.2507,2.545,0.7179,0.2821,2.5311,0.7168,0.2832,,,,,,,
7,1715289000000,3100869.8,3379948.082,2.9541,0.7471,0.2529,2.5528,0.7185,0.2815,2.5063,0.7148,0.2852,,,,,,,
8,1715289300000,3099439.3,3372189.9584,2.9604,0.7475,0.2525,2.5528,0.7185,0.2815,2.5075,0.7149,0.2851,,,,,,,
9,1715289600000,3098499.6,3358773.5664,2.9777,0.7486,0.2514,2.5513,0.7184,0.2816,2.5286,0.7166,0.2834,,,,,,,
10,1715289900000,3097265.6,3357435.9104,2.9888,0.7493,0.2507,2.556,0.7188,0.2812,2.5261,0.7164,0.2836,,,,,,,
11,1715290200000,3097243.8,3357412.2792,2.9888,0.7493,0.2507,2.556,0.7188,0.2812,2.5249,0.7163,0.2837,,,,,,,
12,1715290500000,3097160.5,3360689.49364005,2.9825,0.7489,0.2511,2.5583,0.719,0.281,2.5174,0.7157,0.2843,,,,,,,
13,1715290800000,3095504.7,3359604.74123122,2.9825,0.7489,0.2511,2.5605,0.7191,0.2809,2.5174,0.7157,0.2843,,,,,,,
14,1715291100000,3096273.0,3359062.11137256,2.992,0.7495,0.2505,2.5578,0.7189,0.2811,2.5261,0.7164,0.2836,,,,,,,
15,1715291400000,3096305.7,3356474.21074312,2.992,0.7495,0.2505,2.5578,0.7189,0.2811,2.5236,0.7162,0.2838,,,,,,,
16,1715291700000,3093736.7,3367415.57845221,2.9667,0.7479,0.2521,2.5588,0.719,0.281,2.5174,0.7157,0.2843,,,,,,,
17,1715292000000,3090965.1,3359879.0637,2.9573,0.7473,0.2527,2.5637,0.7194,0.2806,2.5149,0.7155,0.2845,,,,,,,
18,1715292300000,3092393.6,3361431.8432,2.9683,0.748,0.252,2.5635,0.7194,0.2806,2.5199,0.7159,0.2841,,,,,,,
19,1715292600000,3091211.0,3365432.97696431,2.9698,0.7481,0.2519,2.5653,0.7195,0.2805,2.5236,0.7162,0.2838,,,,,,,
20,1715292900000,3091747.4,3368594.1180837,2.962,0.7476,0.2524,2.5626,0.7193,0.2807,2.5224,0.7161,0.2839,,,,,,,
21,1715293200000,3095435.2,3378809.94177355,2.9573,0.7473,0.2527,2.5656,0.7195,0.2805,2.4771,0.7124,0.2876,,,,,,,
22,1715293500000,3093724.5,3372348.82437869,2.9588,0.7474,0.2526,2.5617,0.7192,0.2808,2.4843,0.713,0.287,,,,,,,
23,1715293800000,3093181.4,3376417.8344352,2.9698,0.7481,0.2519,2.5624,0.7193,0.2807,2.4892,0.7134,0.2866,,,,,,,
24,1715294100000,3088372.0,3376575.72490056,2.9463,0.7466,0.2534,2.563,0.7193,0.2807,2.4674,0.7116,0.2884,,,,,,,
25,1715294400000,3090353.9,3374666.4588,2.9154,0.7446,0.2554,2.5598,0.7191,0.2809,2.4614,0.7111,0.2889,,,,,,,
26,1715294700000,3091219.4,3389235.05237871,2.9017,0.7437,0.2563,2.5643,0.7194,0.2806,2.4412,0.7094,0.2906,,,,,,,
27,1715295000000,3088569.4,3395125.32491131,2.9002,0.7436,0.2564,2.5668,0.7196,0.2804,2.4447,0.7097,0.2903,,,,,,,
28,1715295300000,3132578.7,3462371.98064531,2.8168,0.738,0.262,2.5227,0.7161,0.2839,2.413,0.707,0.293,,,,,,,
29,1715295600000,3133232.1,3458175.24589838,2.8052,0.7372,0.2628,2.5189,0.7158,0.2842,2.4118,0.7069,0.2931,,,,,,,
30,1715295900000,3158892.0,3492789.82216956,2.7736,0.735,0.265,2.49,0.7135,0.2865,2.4037,0.7062,0.2938,,,,,,,
