,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,43231959.0,20794572.279,3.5167,0.7786,0.2214,1.2398,0.5535,0.4465,3.7371,0.7889,0.2111,,,,,,,
1,1715287500000,43223059.0,20777324.4613,3.5045,0.778,0.222,1.2389,0.5533,0.4467,3.7237,0.7883,0.2117,,,,,,,
2,1715287800000,43301187.0,20846271.35340378,3.5005,0.7778,0.2222,1.2386,0.5533,0.4467,3.7103,0.7877,0.2123,,,,,,,
3,1715288100000,43325893.0,20877023.03289967,3.4783,0.7767,0.2233,1.2387,0.5533,0.4467,3.6707,0.7859,0.2141,,,,,,,
4,1715288400000,43338607.0,20905969.34687118,3.4944,0.7775,0.2225,1.2391,0.5534,0.4466,3.6729,0.786,0.214,,,,,,,
5,1715288700000,43312091.0,20960332.47780611,3.4763,0.7766,0.2234,1.2365,0.5529,0.4471,3.6664,0.7857,0.2143,,,,,,,
6,1715289000000,43231329.0,20934048.24042912,3.5126,0.7784,0.2216,1.2361,0.5528,0.4472,3.7037,0.7874,0.2126,,,,,,,
7,1715289300000,43223969.0,20879852.5906811,3.5331,0.7794,0.2206,1.236,0.5528,0.4472,3.7304,0.7886,0.2114,,,,,,,
8,1715289600000,43221240.0,20867092.3558908,3.5475,0.7801,0.2199,1.2369,0.5529,0.4471,3.7348,0.7888,0.2112,,,,,,,
9,1715289900000,43224096.0,20872593.50664384,3.5351,0.7795,0.2205,1.2373,0.553,0.447,3.7348,0.7888,0.2112,,,,,,,
10,1715290200000,43230733.0,20850182.5259,3.5537,0.7804,0.2196,1.237,0.553,0.447,3.7506,0.7895,0.2105,,,,,,,
11,1715290500000,43266643.0,20869003.2714121,3.5455,0.78,0.22,1.2367,0.5529,0.4471,3.7371,0.7889,0.2111,,,,,,,
12,1715290800000,43262742.0,20889103.91558502,3.5475,0.7801,0.2199,1.2377,0.5531,0.4469,3.7237,0.7883,0.2117,,,,,,,
13,1715291100000,43250603.0,20911666.5505,3.5413,0.7798,0.2202,1.2368,0.5529,0.4471,3.7438,0.7892,0.2108,,,,,,,
14,1715291400000,43241003.0,20907024.9505,3.531,0.7793,0.2207,1.2365,0.5529,0.4471,3.7348,0.7888,0.2112,,,,,,,
15,1715291700000,43259791.0,20996558.31662688,3.5331,0.7794,0.2206,1.2365,0.5529,0.4471,3.7529,0.7896,0.2104,,,,,,,
16,1715292000000,43311845.0,21038779.8167271,3.5331,0.7794,0.2206,1.2349,0.5525,0.4475,3.7551,0.7897,0.2103,,,,,,,
17,1715292300000,43414978.0,21088727.8797995,3.531,0.7793,0.2207,1.2351,0.5526,0.4474,3.7059,0.7875,0.2125,,,,,,,
18,1715292600000,43417788.0,21101044.968,3.5208,0.7788,0.2212,1.2362,0.5528,0.4472,3.771,0.7904,0.2096,,,,,,,
19,1715292900000,43416214.0,21143692.31054074,3.5393,0.7797,0.2203,1.2365,0.5529,0.4471,3.81,0.7921,0.2079,,,,,,,
20,1715293200000,43382105.0,21135761.556,3.529,0.7792,0.2208,1.235,0.5526,0.4474,3.8008,0.7917,0.2083,,,,,,,
21,1715293500000,43380359.0,21155409.85964186,3.5086,0.7782,0.2218,1.2343,0.5524,0.4476,3.7847,0.791,0.209,,,,,,,
22,1715293800000,43322653.0,21215439.35788728,3.5147,0.7785,0.2215,1.2341,0.5524,0.4476,3.845,0.7936,0.2064,,,,,,,
23,1715294100000,43345070.0,21252087.821,3.4823,0.7769,0.2231,1.231,0.5518,0.4482,3.8146,0.7923,0.2077,,,,,,,
24,1715294400000,43292758.0,21287089.37086494,3.4783,0.7767,0.2233,1.2282,0.5512,0.4488,3.8356,0.7932,0.2068,,,,,,,
25,1715294700000,43309627.0,21404359.55731051,3.5331,0.7794,0.2206,1.2292,0.5514,0.4486,3.8473,0.7937,0.2063,,,,,,,
26,1715295000000,43307027.0,21514931.0136,3.5558,0.7805,0.2195,1.2272,0.551,0.449,3.8356,0.7932,0.2068,,,,,,,
27,1715295300000,43255201.0,21468404.49079161,3.5746,0.7814,0.2186,1.224,0.5504,0.4496,3.8662,0.7945,0.2055,,,,,,,
28,1715295600000,43198476.0,21373580.39297976,3.5496,0.7802,0.2198,1.2237,0.5503,0.4497,3.8356,0.7932,0.2068,,,,,,,
29,1715295900000,43111992.0,21211100.064,3.5704,0.7812,0.2188,1.2258,0.5507,0.4493,3.8948,0.7957,0.2043,,,,,,,
30,1715296200000,43144236.0,21157704.6699492,3.5641,0.7809,0.2191,1.225,0.5506,0.4494,3.9285,0.7971,0.2029,,,,,,,
31,1715296500000,43124816.0,21135472.3216,3.5956,0.7824,0.2176,1.2246,0.5505,0.4495,3.914,0.7965,0.2035,,,,,,,
32,1715296800000,43078844.0,21117249.3288,3.56,0.7807,0.2193,1.2234,0.5502,0.4498,3.8662,0.7945,0.2055,,,,,,,
33,1715297100000,43059508.0,21029197.55378192,3.5496,0.7802,0.2198,1.2206,0.5497,0.4503,3.8733,0.7948,0.2052,,,,,,,
34,1715297400000,43061227.0,21035409.3895,3.5704,0.7812,0.2188,1.2218,0.5499,0.4501,3.9261,0.797,0.203,,,,,,,
35,1715297700000,43140990.0,21022918.9248171,3.5767,0.7815,0.2185,1.2218,0.5499,0.4501,3.9261,0.797,0.203,,,,,,,
36,1715298000000,43133013.0,21006588.2316444,3.5767,0.7815,0.2185,1.2243,0.5504,0.4496,3.8948,0.7957,0.2043,,,,,,,
37,1715298300000,43097265.0,20976607.24235415,3.5558,0.7805,0.2195,1.223,0.5502,0.4498,3.8733,0.7948,0.2052,,,,,,,
38,1715298600000,43100556.0,21052279.0907814,3.5704,0.7812,0.2188,1.2216,0.5499,0.4501,3.8733,0.7948,0.2052,,,,,,,
39,1715298900000,43128223.0,21074218.87750746,3.5393,0.7797,0.2203,1.2195,0.5494,0.4506,3.8473,0.7937,0.2063,,,,,,,
40,1715299200000,43125620.0,21059167.0155738,3.5455,0.78,0.22,1.2166,0.5489,0.4511,3.8567,0.7941,0.2059,,,,,,,
41,1715299500000,43098475.0,20941549.0025,3.5475,0.7801,0.2199,1.2169,0.5489,0.4511,3.8733,0.7948,0.2052,,,,,,,
42,1715299800000,43135558.0,20976325.796483,3.6125,0.7832,0.2168,1.2169,0.5489,0.4511,3.9603,0.7984,0.2016,,,,,,,
43,1715300100000,43155949.0,21054726.74387358,3.5767,0.7815,0.2185,1.2151,0.5486,0.4514,3.9529,0.7981,0.2019,,,,,,,
44,1715300400000,43181055.0,21066486.10281495,3.5393,0.7797,0.2203,1.2142,0.5484,0.4516,3.8804,0.7951,0.2049,,,,,,,
45,1715300700000,43175782.0,21003386.76195604,3.5025,0.7779,0.2221,1.2146,0.5485,0.4515,3.8286,0.7929,0.2071,,,,,,,
46,1715301000000,43262650.0,20980078.9181285,3.4863,0.7771,0.2229,1.2153,0.5486,0.4514,3.8123,0.7922,0.2078,,,,,,,
47,1715301300000,43305538.0,21063813.6832,3.5788,0.7816,0.2184,1.2096,0.5474,0.4526,3.9529,0.7981,0.2019,,,,,,,
48,1715301600000,43408807.0,21083657.5599,3.5208,0.7788,0.2212,1.2112,0.5478,0.4522,3.8567,0.7941,0.2059,,,,,,,
49,1715301900000,43482447.0,21166587.74403855,3.4944,0.7775,0.2225,1.211,0.5477,0.4523,3.7893,0.7912,0.2088,,,,,,,
50,1715302200000,43379466.0,21021499.22153892,3.4663,0.7761,0.2239,1.2106,0.5476,0.4524,3.7574,0.7898,0.2102,,,,,,,
51,1715302500000,43320271.0,21033515.14443107,3.5351,0.7795,0.2205,1.2098,0.5475,0.4525,3.8852,0.7953,0.2047,,,,,,,
52,1715302800000,43347103.0,21054229.7658875,3.4743,0.7765,0.2235,1.2082,0.5472,0.4528,3.8123,0.7922,0.2078,,,,,,,
53,1715303100000,43339480.0,21082853.6642372,3.4723,0.7764,0.2236,1.208,0.5471,0.4529,3.7733,0.7905,0.2095,,,,,,,
54,1715303400000,43336264.0,21033621.49046816,3.4643,0.776,0.224,1.2078,0.5471,0.4529,3.787,0.7911,0.2089,,,,,,,
55,1715303700000,43321480.0,20976260.616,3.5045,0.778,0.222,1.2087,0.5472,0.4528,3.8309,0.793,0.207,,,,,,,
56,1715304000000,43305076.0,21046266.936,3.5331,0.7794,0.2206,1.2132,0.5482,0.4518,3.9068,0.7962,0.2038,,,,,,,
57,1715304300000,43323188.0,21046404.7304,3.5167,0.7786,0.2214,1.2137,0.5483,0.4517,3.8828,0.7952,0.2048,,,,,,,
58,1715304600000,43326369.0,21082611.1554,3.4944,0.7775,0.2225,1.2135,0.5482,0.4518,3.8685,0.7946,0.2054,,,,,,,
59,1715304900000,43324555.0,21200919.5127516,3.4964,0.7776,0.2224,1.2139,0.5483,0.4517,3.8379,0.7933,0.2067,,,,,,,
60,1715305200000,43342344.0,21306984.48715248,3.4346,0.7745,0.2255,1.2142,0.5484,0.4516,3.7393,0.789,0.211,,,,,,,
61,1715305500000,43387305.0,21281473.1025,3.4209,0.7738,0.2262,1.2126,0.548,0.452,3.7348,0.7888,0.2112,,,,,,,
62,1715305800000,43276165.0,21226958.9325,3.4385,0.7747,0.2253,1.2152,0.5486,0.4514,3.7103,0.7877,0.2123,,,,,,,
63,1715306100000,43273039.0,21264205.62886063,3.4643,0.776,0.224,1.2085,0.5472,0.4528,3.7551,0.7897,0.2103,,,,,,,
64,1715306400000,43257852.0,21214772.29690236,3.4743,0.7765,0.2235,1.2094,0.5474,0.4526,3.787,0.7911,0.2089,,,,,,,
65,1715306700000,43251470.0,21214846.035,3.5977,0.7825,0.2175,1.2044,0.5464,0.4536,3.7687,0.7903,0.2097,,,,,,,
66,1715307000000,43222239.0,21204177.7975911,3.4623,0.7759,0.2241,1.2065,0.5468,0.4532,3.7326,0.7887,0.2113,,,,,,,
67,1715307300000,43222378.0,21191931.9334,3.4563,0.7756,0.2244,1.2074,0.547,0.453,3.7461,0.7893,0.2107,,,,,,,
68,1715307600000,43238300.0,21273243.6,3.583,0.7818,0.2182,1.2085,0.5472,0.4528,3.7081,0.7876,0.2124,,,,,,,
69,1715307900000,43255798.0,21297411.29398262,3.4307,0.7743,0.2257,1.2069,0.5469,0.4531,3.7015,0.7873,0.2127,,,,,,,
70,1715308200000,43226164.0,21345857.854152,3.5935,0.7823,0.2177,1.2072,0.5469,0.4531,3.7192,0.7881,0.2119,,,,,,,
71,1715308500000,43245334.0,21354545.9292,3.5851,0.7819,0.2181,1.2062,0.5467,0.4533,3.7438,0.7892,0.2108,,,,,,,
72,1715308800000,43267114.0,21367944.5138654,3.5517,0.7803,0.2197,1.2059,0.5467,0.4533,3.7148,0.7879,0.2121,,,,,,,
