,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,17411467.3,8422251.97921917,3.8924,0.7956,0.2044,1.3131,0.5677,0.4323,4.1493,0.8058,0.1942,,,,,,,
1,1715287200000,17404602.9,8437627.2170553,3.8591,0.7942,0.2058,1.313,0.5677,0.4323,4.1256,0.8049,0.1951,,,,,,,
2,1715287500000,17411721.6,8429014.42656,3.8591,0.7942,0.2058,1.3114,0.5674,0.4326,4.1493,0.8058,0.1942,,,,,,,
3,1715287800000,17412788.3,8429518.45295031,3.8473,0.7937,0.2063,1.31,0.5671,0.4329,4.152,0.8059,0.1941,,,,,,,
4,1715288100000,17400167.7,8423421.18357,3.8709,0.7947,0.2053,1.3096,0.567,0.433,4.1787,0.8069,0.1931,,,,,,,
5,1715288400000,17399257.6,8426711.52696717,3.8924,0.7956,0.2044,1.3102,0.5671,0.4329,4.2002,0.8077,0.1923,,,,,,,
6,1715288700000,17392437.7,8452967.52063029,3.8804,0.7951,0.2049,1.3123,0.5675,0.4325,4.2083,0.808,0.192,,,,,,,
7,1715289000000,17376716.9,8438987.4447413,3.9237,0.7969,0.2031,1.3148,0.568,0.432,4.2356,0.809,0.191,,,,,,,
8,1715289300000,17379868.0,8422443.9275856,3.9334,0.7973,0.2027,1.3164,0.5683,0.4317,4.2247,0.8086,0.1914,,,,,,,
9,1715289600000,17370116.6,8401263.07687404,3.9358,0.7974,0.2026,1.3158,0.5682,0.4318,4.2274,0.8087,0.1913,,,,,,,
10,1715289900000,17324330.3,8366883.7205811,4.005,0.8002,0.1998,1.3091,0.5669,0.4331,4.2659,0.8101,0.1899,,,,,,,
11,1715290200000,17353538.3,8369611.52209,3.9628,0.7985,0.2015,1.3106,0.5672,0.4328,4.2383,0.8091,0.1909,,,,,,,
12,1715290500000,17369777.9,8375706.90338,3.9603,0.7984,0.2016,1.3099,0.5671,0.4329,4.2165,0.8083,0.1917,,,,,,,
13,1715290800000,17387191.4,8380626.2548,3.9702,0.7988,0.2012,1.3128,0.5676,0.4324,4.2247,0.8086,0.1914,,,,,,,
14,1715291100000,17370364.9,8382838.74225277,3.9652,0.7986,0.2014,1.3122,0.5675,0.4325,4.1975,0.8076,0.1924,,,,,,,
15,1715291400000,17375613.0,8388651.96102804,3.9702,0.7988,0.2012,1.3123,0.5675,0.4325,4.1948,0.8075,0.1925,,,,,,,
16,1715291700000,17372938.2,8404368.19815531,3.9505,0.798,0.202,1.3114,0.5674,0.4326,4.184,0.8071,0.1929,,,,,,,
17,1715292000000,17378149.8,8404601.71281542,3.9603,0.7984,0.2016,1.312,0.5675,0.4325,4.184,0.8071,0.1929,,,,,,,
18,1715292300000,17367370.5,8423398.03688463,3.8996,0.7959,0.2041,1.3078,0.5667,0.4333,4.144,0.8056,0.1944,,,,,,,
19,1715292600000,17367607.5,8424506.41208145,3.9068,0.7962,0.2038,1.306,0.5664,0.4336,4.1626,0.8063,0.1937,,,,,,,
20,1715292900000,17365875.1,8434854.56271893,3.9407,0.7976,0.2024,1.3057,0.5663,0.4337,4.1813,0.807,0.193,,,,,,,
21,1715293200000,17357443.2,8425302.92928,3.9213,0.7968,0.2032,1.306,0.5663,0.4337,4.1894,0.8073,0.1927,,,,,,,
22,1715293500000,17358179.5,8417358.77995412,3.9383,0.7975,0.2025,1.3064,0.5664,0.4336,4.211,0.8081,0.1919,,,,,,,
23,1715293800000,17358051.2,8425598.05248,3.9579,0.7983,0.2017,1.306,0.5663,0.4337,4.2301,0.8088,0.1912,,,,,,,
24,1715294100000,17360515.1,8427599.73104579,3.9554,0.7982,0.2018,1.3057,0.5663,0.4337,4.2356,0.809,0.191,,,,,,,
25,1715294400000,17368802.2,8455132.91096,3.9776,0.7991,0.2009,1.306,0.5663,0.4337,4.2247,0.8086,0.1914,,,,,,,
26,1715294700000,17383058.4,8486443.70316622,3.9432,0.7977,0.2023,1.3058,0.5663,0.4337,4.1706,0.8066,0.1934,,,,,,,
27,1715295000000,17415632.3,8530181.92522969,3.9826,0.7993,0.2007,1.3046,0.5661,0.4339,4.1706,0.8066,0.1934,,,,,,,
28,1715295300000,17437261.4,8543578.73029586,3.995,0.7998,0.2002,1.3078,0.5667,0.4333,4.2165,0.8083,0.1917,,,,,,,
29,1715295600000,17440028.1,8542125.76338,3.9801,0.7992,0.2008,1.3088,0.5669,0.4331,4.1975,0.8076,0.1924,,,,,,,
30,1715295900000,17420185.9,8510839.29585907,4.01,0.8004,0.1996,1.3094,0.567,0.433,4.2165,0.8083,0.1917,,,,,,,
31,1715296200000,17427612.6,8500842.09396088,3.9579,0.7983,0.2017,1.3107,0.5672,0.4328,4.1894,0.8073,0.1927,,,,,,,
32,1715296500000,17453079.6,8492668.53336,3.9776,0.7991,0.2009,1.3105,0.5672,0.4328,4.1975,0.8076,0.1924,,,,,,,
33,1715296800000,17446872.8,8489648.30448,3.9776,0.7991,0.2009,1.3126,0.5676,0.4324,4.168,0.8065,0.1935,,,,,,,
34,1715297100000,17463253.7,8494126.59968,3.9628,0.7985,0.2015,1.3156,0.5681,0.4319,4.1546,0.806,0.194,,,,,,,
35,1715297400000,17462294.5,8504137.4215,3.9628,0.7985,0.2015,1.3155,0.5681,0.4319,4.1361,0.8053,0.1947,,,,,,,
36,1715297700000,17451380.7,8481371.0202,3.99,0.7996,0.2004,1.3153,0.5681,0.4319,4.176,0.8068,0.1932,,,,,,,
37,1715298000000,17497997.6,8488822.64850538,3.9801,0.7992,0.2008,1.318,0.5686,0.4314,4.1706,0.8066,0.1934,,,,,,,
38,1715298300000,17499474.5,8483410.64764756,3.9925,0.7997,0.2003,1.3185,0.5687,0.4313,4.1653,0.8064,0.1936,,,,,,,
39,1715298600000,17485337.9,8501371.28698,3.9727,0.7989,0.2011,1.3159,0.5682,0.4318,4.2002,0.8077,0.1923,,,,,,,
40,1715298900000,17480663.0,8497350.2843,3.9751,0.799,0.201,1.3166,0.5683,0.4317,4.2056,0.8079,0.1921,,,,,,,
41,1715299200000,17482173.9,8498084.73279,3.9801,0.7992,0.2008,1.3164,0.5683,0.4317,4.2192,0.8084,0.1916,,,,,,,
42,1715299500000,17506258.6,8517014.33738284,3.995,0.7998,0.2002,1.3172,0.5684,0.4316,4.1203,0.8047,0.1953,,,,,,,
43,1715299800000,17507453.6,8525827.19932726,3.9826,0.7993,0.2007,1.3185,0.5687,0.4313,4.0942,0.8037,0.1963,,,,,,,
44,1715300100000,17526444.2,8540106.08372295,3.9579,0.7983,0.2017,1.3196,0.5689,0.4311,4.048,0.8019,0.1981,,,,,,,
45,1715300400000,17528673.2,8547497.62231921,3.9652,0.7986,0.2014,1.318,0.5686,0.4314,4.0302,0.8012,0.1988,,,,,,,
46,1715300700000,17497142.5,8505360.96925,3.9875,0.7995,0.2005,1.3163,0.5683,0.4317,4.0607,0.8024,0.1976,,,,,,,
47,1715301000000,17503496.4,8503198.55112,4.0,0.8,0.2,1.318,0.5686,0.4314,4.0607,0.8024,0.1976,,,,,,,
48,1715301300000,17497596.6,8501598.02944208,4.0125,0.8005,0.1995,1.3187,0.5687,0.4313,4.0761,0.803,0.197,,,,,,,
49,1715301600000,17462013.6,8486538.6096,4.0176,0.8007,0.1993,1.3178,0.5686,0.4314,4.0968,0.8038,0.1962,,,,,,,
50,1715301900000,17462059.6,8491799.58348,4.0327,0.8013,0.1987,1.3179,0.5686,0.4314,4.1046,0.8041,0.1959,,,,,,,
51,1715302200000,17463231.3,8467442.71409701,4.0607,0.8024,0.1976,1.3189,0.5688,0.4312,4.1414,0.8055,0.1945,,,,,,,
52,1715302500000,17446867.2,8470454.0256,4.0787,0.8031,0.1969,1.3172,0.5684,0.4316,4.1387,0.8054,0.1946,,,,,,,
53,1715302800000,17442176.6,8466432.52164,4.0916,0.8036,0.1964,1.3173,0.5685,0.4315,4.1626,0.8063,0.1937,,,,,,,
54,1715303100000,17442607.6,8498038.42272,4.0787,0.8031,0.1969,1.3182,0.5686,0.4314,4.1335,0.8052,0.1948,,,,,,,
55,1715303400000,17433049.0,8480657.96198735,4.0839,0.8033,0.1967,1.3174,0.5685,0.4315,4.1626,0.8063,0.1937,,,,,,,
56,1715303700000,17363025.6,8428012.62624,4.1546,0.806,0.194,1.3292,0.5707,0.4293,4.1867,0.8072,0.1928,,,,,,,
57,1715304000000,17377802.9,8449087.76998,4.1706,0.8066,0.1934,1.3274,0.5703,0.4297,4.2056,0.8079,0.1921,,,,,,,
58,1715304300000,17381331.2,8475645.67087091,4.144,0.8056,0.1944,1.33,0.5708,0.4292,4.1813,0.807,0.193,,,,,,,
59,1715304600000,17374720.2,8480600.92962,4.1387,0.8054,0.1946,1.3289,0.5706,0.4294,4.1573,0.8061,0.1939,,,,,,,
