,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,16388844.0,2807900.64252,2.5791,0.7206,0.2794,1.7199,0.6323,0.3677,2.0012,0.6668,0.3332,,,,,,,
1,1715287500000,16386726.0,2807210.03106,2.5778,0.7205,0.2795,1.7196,0.6323,0.3677,2.0057,0.6673,0.3327,,,,,,,
2,1715287800000,16395750.0,2809616.38146,2.5702,0.7199,0.2801,1.7185,0.6321,0.3679,1.9958,0.6662,0.3338,,,,,,,
3,1715288100000,16373121.0,2803745.35614954,2.5587,0.719,0.281,1.7176,0.632,0.368,1.9718,0.6635,0.3365,,,,,,,
4,1715288400000,16361135.0,2803713.62842375,2.5842,0.721,0.279,1.7169,0.6319,0.3681,2.0057,0.6673,0.3327,,,,,,,
5,1715288700000,16376842.0,2818974.30916508,2.5791,0.7206,0.2794,1.7197,0.6323,0.3677,1.9922,0.6658,0.3342,,,,,,,
6,1715289000000,16380356.0,2820369.69608,2.5511,0.7184,0.2816,1.7211,0.6325,0.3675,1.9638,0.6626,0.3374,,,,,,,
7,1715289300000,16384899.0,2814496.69154418,2.5638,0.7194,0.2806,1.7204,0.6324,0.3676,1.9762,0.664,0.336,,,,,,,
8,1715289600000,16377887.0,2808339.54048954,2.5638,0.7194,0.2806,1.7203,0.6324,0.3676,1.9753,0.6639,0.3361,,,,,,,
9,1715289900000,16374828.0,2806075.02019248,2.5791,0.7206,0.2794,1.7206,0.6324,0.3676,1.9851,0.665,0.335,,,,,,,
10,1715290200000,16385958.0,2806095.3075,2.5804,0.7207,0.2793,1.7211,0.6325,0.3675,1.9886,0.6654,0.3346,,,,,,,
11,1715290500000,16398993.0,2806813.9241961,2.5613,0.7192,0.2808,1.721,0.6325,0.3675,1.9842,0.6649,0.3351,,,,,,,
12,1715290800000,16401030.0,2807856.336,2.5753,0.7203,0.2797,1.7237,0.6329,0.3671,1.9878,0.6653,0.3347,,,,,,,
13,1715291100000,16384226.0,2805676.80385856,2.5486,0.7182,0.2818,1.7243,0.6329,0.3671,1.9665,0.6629,0.3371,,,,,,,
14,1715291400000,16383985.0,2807354.37826795,2.5613,0.7192,0.2808,1.7211,0.6325,0.3675,2.0021,0.6669,0.3331,,,,,,,
15,1715291700000,16386570.0,2813952.7626327,2.5613,0.7192,0.2808,1.7208,0.6325,0.3675,2.0021,0.6669,0.3331,,,,,,,
16,1715292000000,16382679.0,2812780.65680565,2.5651,0.7195,0.2805,1.7215,0.6326,0.3674,2.0139,0.6682,0.3318,,,,,,,
17,1715292300000,16391261.0,2813965.63435975,2.5676,0.7197,0.2803,1.7227,0.6327,0.3673,2.0084,0.6676,0.3324,,,,,,,
18,1715292600000,16390696.0,2816592.28008032,2.5562,0.7188,0.2812,1.722,0.6326,0.3674,2.0093,0.6677,0.3323,,,,,,,
19,1715292900000,16405113.0,2828452.77905544,2.5386,0.7174,0.2826,1.7221,0.6326,0.3674,1.9842,0.6649,0.3351,,,,,,,
20,1715293200000,16404142.0,2827403.31543362,2.4795,0.7126,0.2874,1.7227,0.6327,0.3673,1.9542,0.6615,0.3385,,,,,,,
21,1715293500000,16402449.0,2826837.26251311,2.4722,0.712,0.288,1.7211,0.6325,0.3675,1.9499,0.661,0.339,,,,,,,
