,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,389470854.0,3434965.45981278,2.3523,0.7017,0.2983,1.8925,0.6543,0.3457,2.1377,0.6813,0.3187,,,,,,,
1,1715287200000,389482895.0,3443815.5472479,2.3557,0.702,0.298,1.8922,0.6542,0.3458,2.1476,0.6823,0.3177,,,,,,,
2,1715287500000,389551321.0,3446711.1330759,2.3478,0.7013,0.2987,1.8928,0.6543,0.3457,2.1348,0.681,0.319,,,,,,,
3,1715287800000,389651477.0,3446572.51996379,2.3704,0.7033,0.2967,1.8899,0.654,0.346,2.1586,0.6834,0.3166,,,,,,,
4,1715288100000,389651259.0,3444185.92598985,2.3557,0.702,0.298,1.89,0.654,0.346,2.1427,0.6818,0.3182,,,,,,,
5,1715288400000,389665104.0,3447117.78942144,2.3613,0.7025,0.2975,1.8894,0.6539,0.3461,2.1526,0.6828,0.3172,,,,,,,
6,1715288700000,389943977.0,3457102.92025028,2.3898,0.705,0.295,1.885,0.6534,0.3466,2.1797,0.6855,0.3145,,,,,,,
7,1715289000000,390375236.0,3467312.846152,2.3647,0.7028,0.2972,1.8816,0.653,0.347,2.1496,0.6825,0.3175,,,,,,,
8,1715289300000,390166055.0,3456282.09655695,2.3704,0.7033,0.2967,1.8828,0.6531,0.3469,2.1526,0.6828,0.3172,,,,,,,
9,1715289600000,390075452.0,3450580.14311036,2.3523,0.7017,0.2983,1.8828,0.6531,0.3469,2.1299,0.6805,0.3195,,,,,,,
10,1715289900000,389237588.0,3440074.01799224,2.3818,0.7043,0.2957,1.8921,0.6542,0.3458,2.1606,0.6836,0.3164,,,,,,,
11,1715290200000,389472004.0,3438944.32203904,2.3921,0.7052,0.2948,1.8918,0.6542,0.3458,2.1807,0.6856,0.3144,,,,,,,
12,1715290500000,389451703.0,3441370.50097435,2.3761,0.7038,0.2962,1.894,0.6545,0.3455,2.1466,0.6822,0.3178,,,,,,,
13,1715290800000,389414870.0,3440546.5769779,2.3772,0.7039,0.2961,1.8946,0.6545,0.3455,2.1516,0.6827,0.3173,,,,,,,
14,1715291100000,389416151.0,3444966.08565999,2.3647,0.7028,0.2972,1.8932,0.6544,0.3456,2.1417,0.6817,0.3183,,,,,,,
15,1715291400000,389557012.0,3449768.86660744,2.3704,0.7033,0.2967,1.8951,0.6546,0.3454,2.1427,0.6818,0.3182,,,,,,,
16,1715291700000,389751310.0,3462024.4737715,2.3591,0.7023,0.2977,1.8939,0.6545,0.3455,2.1368,0.6812,0.3188,,,,,,,
17,1715292000000,389559809.0,3457039.44822398,2.3557,0.702,0.298,1.8949,0.6546,0.3454,2.1348,0.681,0.319,,,,,,,
18,1715292300000,389618723.0,3458645.404071,2.349,0.7014,0.2986,1.8945,0.6545,0.3455,2.1201,0.6795,0.3205,,,,,,,
19,1715292600000,389586147.0,3459189.94127358,2.3557,0.702,0.298,1.8933,0.6544,0.3456,2.124,0.6799,0.3201,,,,,,,
20,1715292900000,389691454.0,3469812.706416,2.3591,0.7023,0.2977,1.893,0.6543,0.3457,2.127,0.6802,0.3198,,,,,,,
21,1715293200000,389881782.0,3465362.85004368,2.3389,0.7005,0.2995,1.8922,0.6542,0.3458,2.1104,0.6785,0.3215,,,,,,,
22,1715293500000,390169600.0,3467917.143808,2.3389,0.7005,0.2995,1.891,0.6541,0.3459,2.1085,0.6783,0.3217,,,,,,,
23,1715293800000,390182941.0,3476042.27563375,2.3445,0.701,0.299,1.8918,0.6542,0.3458,2.1211,0.6796,0.3204,,,,,,,
24,1715294100000,389934571.0,3469637.812758,2.3456,0.7011,0.2989,1.8932,0.6544,0.3456,2.1201,0.6795,0.3205,,,,,,,
25,1715294400000,390406722.0,3483989.587128,2.3738,0.7036,0.2964,1.8895,0.6539,0.3461,2.1918,0.6867,0.3133,,,,,,,
26,1715294700000,391035492.0,3503505.95270352,2.3568,0.7021,0.2979,1.8926,0.6543,0.3457,2.1221,0.6797,0.3203,,,,,,,
27,1715295000000,391111784.0,3513947.73446584,2.3535,0.7018,0.2982,1.8878,0.6537,0.3463,2.1377,0.6813,0.3187,,,,,,,
28,1715295300000,391300965.0,3518578.27728,2.358,0.7022,0.2978,1.8857,0.6535,0.3465,2.1476,0.6823,0.3177,,,,,,,
29,1715295600000,391108656.0,3509026.861632,2.3636,0.7027,0.2973,1.8869,0.6536,0.3464,2.1666,0.6842,0.3158,,,,,,,
30,1715295900000,390883846.0,3497632.56284646,2.3636,0.7027,0.2973,1.8893,0.6539,0.3461,2.1656,0.6841,0.3159,,,,,,,
