,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,83843991.0,14664314.0259,5.9589,0.8563,0.1437,1.9295,0.6586,0.3414,6.9745,0.8746,0.1254,,,,,,,
1,1715287200000,83871488.0,14707012.195904,5.8776,0.8546,0.1454,1.9301,0.6587,0.3413,6.9114,0.8736,0.1264,,,,,,,
2,1715287500000,84035017.0,14755142.23901542,5.93,0.8557,0.1443,1.9277,0.6584,0.3416,6.9491,0.8742,0.1258,,,,,,,
3,1715287800000,83976435.0,14763057.273,5.9061,0.8552,0.1448,1.9265,0.6583,0.3417,6.9936,0.8749,0.1251,,,,,,,
4,1715288100000,84005046.0,14755747.58559306,5.9881,0.8569,0.1431,1.9262,0.6583,0.3417,6.9681,0.8745,0.1255,,,,,,,
5,1715288400000,83904521.0,14739638.09512276,5.9348,0.8558,0.1442,1.9318,0.6589,0.3411,6.9745,0.8746,0.1254,,,,,,,
6,1715288700000,83974731.0,14791288.96440456,5.9493,0.8561,0.1439,1.9295,0.6586,0.3414,6.9745,0.8746,0.1254,,,,,,,
7,1715289000000,84121592.0,14894706.19771496,5.8399,0.8538,0.1462,1.9235,0.6579,0.3421,6.8989,0.8734,0.1266,,,,,,,
8,1715289300000,84166058.0,14861243.78574958,5.8681,0.8544,0.1456,1.9171,0.6572,0.3428,6.9681,0.8745,0.1255,,,,,,,
9,1715289600000,84227026.0,14863530.6441661,5.8493,0.854,0.146,1.9144,0.6569,0.3431,6.9554,0.8743,0.1257,,,,,,,
10,1715289900000,84258442.0,14846337.4804,5.8634,0.8543,0.1457,1.915,0.657,0.343,6.9428,0.8741,0.1259,,,,,,,
11,1715290200000,84312304.0,14871416.46668656,5.8823,0.8547,0.1453,1.9156,0.657,0.343,6.9491,0.8742,0.1258,,,,,,,
12,1715290500000,84410774.0,14922624.52199372,5.7705,0.8523,0.1477,1.9181,0.6573,0.3427,6.8309,0.8723,0.1277,,,,,,,
13,1715290800000,84406771.0,14931557.7899,5.8027,0.853,0.147,1.9173,0.6572,0.3428,6.874,0.873,0.127,,,,,,,
14,1715291100000,84402680.0,14927120.37408,5.7431,0.8517,0.1483,1.9156,0.657,0.343,6.8678,0.8729,0.1271,,,,,,,
15,1715291400000,84439103.0,14953858.62735611,5.7431,0.8517,0.1483,1.9177,0.6573,0.3427,6.8309,0.8723,0.1277,,,,,,,
16,1715291700000,84548194.0,15018871.47342114,5.7431,0.8517,0.1483,1.915,0.6569,0.3431,6.837,0.8724,0.1276,,,,,,,
17,1715292000000,84548684.0,15031027.84009904,5.7705,0.8523,0.1477,1.9151,0.657,0.343,6.8616,0.8728,0.1272,,,,,,,
18,1715292300000,84672489.0,15058042.82934963,5.7981,0.8529,0.1471,1.9123,0.6566,0.3434,6.8555,0.8727,0.1273,,,,,,,
19,1715292600000,84640045.0,15074392.0145,5.8776,0.8546,0.1454,1.9138,0.6568,0.3432,6.9239,0.8738,0.1262,,,,,,,
20,1715292900000,84444319.0,15138195.42289003,5.7431,0.8517,0.1483,1.9167,0.6572,0.3428,6.776,0.8714,0.1286,,,,,,,
21,1715293200000,84562716.0,15168258.75516924,5.7159,0.8511,0.1489,1.9172,0.6572,0.3428,6.7882,0.8716,0.1284,,,,,,,
22,1715293500000,84748546.0,15254738.28,5.7476,0.8518,0.1482,1.9123,0.6566,0.3434,6.7459,0.8709,0.1291,,,,,,,
23,1715293800000,84842026.0,15428585.21119924,5.7159,0.8511,0.1489,1.9172,0.6572,0.3428,6.6687,0.8696,0.1304,,,,,,,
24,1715294100000,84832448.0,15371639.5776,5.7613,0.8521,0.1479,1.9129,0.6567,0.3433,6.8186,0.8721,0.1279,,,,,,,
25,1715294400000,84957858.0,15487817.5134,5.7705,0.8523,0.1477,1.9089,0.6562,0.3438,6.758,0.8711,0.1289,,,,,,,
26,1715294700000,85080448.0,15629581.18399488,5.6934,0.8506,0.1494,1.9036,0.6556,0.3444,6.6687,0.8696,0.1304,,,,,,,
27,1715295000000,85307988.0,15773446.9812,5.6934,0.8506,0.1494,1.8996,0.6551,0.3449,6.593,0.8683,0.1317,,,,,,,
28,1715295300000,85332527.0,15742947.56003907,5.5876,0.8482,0.1518,1.8913,0.6541,0.3459,6.6161,0.8687,0.1313,,,,,,,
29,1715295600000,85344420.0,15688915.0818078,5.502,0.8462,0.1538,1.8922,0.6542,0.3458,6.5472,0.8675,0.1325,,,,,,,
30,1715295900000,85457266.0,15605370.14485852,5.5833,0.8481,0.1519,1.8893,0.6539,0.3461,6.5758,0.868,0.132,,,,,,,
31,1715296200000,85446526.0,15576756.4307058,5.6181,0.8489,0.1511,1.8865,0.6536,0.3464,6.6453,0.8692,0.1308,,,,,,,
32,1715296500000,85418900.0,15580407.36,5.6489,0.8496,0.1504,1.889,0.6539,0.3461,6.6104,0.8686,0.1314,,,,,,,
33,1715296800000,85312509.0,15533638.50746334,5.6711,0.8501,0.1499,1.8917,0.6542,0.3458,6.6805,0.8698,0.1302,,,,,,,
