,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1448370.1,4979742.95984212,3.3611,0.7707,0.2293,1.8316,0.6468,0.3532,3.878,0.795,0.205,,,,,,,
1,1715287200000,1448268.6,4996439.41181685,3.344,0.7698,0.2302,1.8315,0.6468,0.3532,3.7985,0.7916,0.2084,,,,,,,
2,1715287500000,1449564.2,5003315.79272,3.3535,0.7703,0.2297,1.828,0.6464,0.3536,3.8403,0.7934,0.2066,,,,,,,
3,1715287800000,1449512.9,4998516.93926322,3.329,0.769,0.231,1.8288,0.6465,0.3535,3.8123,0.7922,0.2078,,,,,,,
4,1715288100000,1448611.6,4993657.77531297,3.3783,0.7716,0.2284,1.8311,0.6468,0.3532,3.8614,0.7943,0.2057,,,,,,,
5,1715288400000,1448399.6,4995645.13642426,3.3725,0.7713,0.2287,1.8317,0.6469,0.3531,3.8852,0.7953,0.2047,,,,,,,
6,1715288700000,1447576.4,5005719.1912,3.4053,0.773,0.227,1.8327,0.647,0.353,3.8709,0.7947,0.2053,,,,,,,
7,1715289000000,1446770.7,5002317.40732862,3.3975,0.7726,0.2274,1.8341,0.6472,0.3528,3.89,0.7955,0.2045,,,,,,,
8,1715289300000,1446494.4,4991761.14650741,3.3725,0.7713,0.2287,1.8296,0.6466,0.3534,3.8972,0.7958,0.2042,,,,,,,
9,1715289600000,1445384.1,4977613.76358,3.4464,0.7751,0.2249,1.8306,0.6467,0.3533,3.9603,0.7984,0.2016,,,,,,,
10,1715289900000,1443619.7,4963414.46247866,3.4823,0.7769,0.2231,1.8298,0.6466,0.3534,3.99,0.7996,0.2004,,,,,,,
11,1715290200000,1442442.9,4953606.92836152,3.4484,0.7752,0.2248,1.8263,0.6462,0.3538,3.89,0.7955,0.2045,,,,,,,
12,1715290500000,1443505.1,4961660.66603376,3.4484,0.7752,0.2248,1.8281,0.6464,0.3536,3.9092,0.7963,0.2037,,,,,,,
13,1715290800000,1442671.7,4963049.93938464,3.4444,0.775,0.225,1.8286,0.6465,0.3535,3.9213,0.7968,0.2032,,,,,,,
14,1715291100000,1442696.0,4956965.83722856,3.4326,0.7744,0.2256,1.829,0.6465,0.3535,3.9188,0.7967,0.2033,,,,,,,
15,1715291400000,1442382.4,4960511.15871104,3.4444,0.775,0.225,1.8291,0.6465,0.3535,3.9456,0.7978,0.2022,,,,,,,
16,1715291700000,1442065.3,4972431.2618685,3.4346,0.7745,0.2255,1.8291,0.6465,0.3535,3.9068,0.7962,0.2038,,,,,,,
17,1715292000000,1442004.0,4967415.3792,3.4763,0.7766,0.2234,1.828,0.6464,0.3536,3.9432,0.7977,0.2023,,,,,,,
18,1715292300000,1442453.4,4965368.12837143,3.4583,0.7757,0.2243,1.8262,0.6462,0.3538,3.9407,0.7976,0.2024,,,,,,,
19,1715292600000,1442637.5,4965885.27764213,3.4464,0.7751,0.2249,1.825,0.646,0.354,3.9603,0.7984,0.2016,,,,,,,
20,1715292900000,1442737.2,4982140.8923232,3.3917,0.7723,0.2277,1.8258,0.6461,0.3539,3.9285,0.7971,0.2029,,,,,,,
21,1715293200000,1442658.1,4985953.3475128,3.4366,0.7746,0.2254,1.8263,0.6462,0.3538,3.985,0.7994,0.2006,,,,,,,
22,1715293500000,1442150.9,4978897.1549101,3.4643,0.776,0.224,1.8251,0.646,0.354,4.005,0.8002,0.1998,,,,,,,
23,1715293800000,1442344.3,4986447.42966442,3.5045,0.778,0.222,1.8283,0.6464,0.3536,4.0176,0.8007,0.1993,,,,,,,
24,1715294100000,1441211.9,4979904.75457812,3.531,0.7793,0.2207,1.8289,0.6465,0.3535,4.0531,0.8021,0.1979,,,,,,,
25,1715294400000,1439031.5,4989816.9749082,3.4484,0.7752,0.2248,1.8277,0.6464,0.3536,3.9727,0.7989,0.2011,,,,,,,
26,1715294700000,1440824.4,5035389.55428373,3.5126,0.7784,0.2216,1.8019,0.6431,0.3569,4.0251,0.801,0.199,,,,,,,
27,1715295000000,1451997.7,5112342.66588372,3.1597,0.7596,0.2404,1.9983,0.6665,0.3335,3.649,0.7849,0.2151,,,,,,,
28,1715295300000,1428269.8,5089782.25928,3.0371,0.7523,0.2477,1.9597,0.6621,0.3379,3.529,0.7792,0.2208,,,,,,,
29,1715295600000,1435992.5,5132167.21908548,3.042,0.7526,0.2474,1.9801,0.6644,0.3356,3.5434,0.7799,0.2201,,,,,,,
30,1715295900000,1436111.9,5143003.93628,3.0568,0.7535,0.2465,1.9827,0.6647,0.3353,3.5393,0.7797,0.2203,,,,,,,
31,1715296200000,1433306.7,5099529.0278743,3.2159,0.7628,0.2372,1.9932,0.6659,0.3341,3.6642,0.7856,0.2144,,,,,,,
32,1715296500000,1433625.3,5094595.8379786,3.2373,0.764,0.236,1.9943,0.666,0.334,3.7483,0.7894,0.2106,,,,,,,
33,1715296800000,1428100.7,5032011.86951455,3.2571,0.7651,0.2349,1.9935,0.6659,0.3341,3.7393,0.789,0.211,,,,,,,
34,1715297100000,1428421.3,5011504.52849383,3.2955,0.7672,0.2328,1.9844,0.6649,0.3351,3.8263,0.7928,0.2072,,,,,,,
35,1715297400000,1427928.1,5011087.9829138,3.2918,0.767,0.233,1.98,0.6644,0.3356,3.7985,0.7916,0.2084,,,,,,,
36,1715297700000,1427271.7,4996146.74495375,3.2644,0.7655,0.2345,1.9734,0.6637,0.3363,3.7393,0.789,0.211,,,,,,,
37,1715298000000,1429895.6,4991701.66616355,3.2662,0.7656,0.2344,1.9703,0.6633,0.3367,3.7596,0.7899,0.2101,,,,,,,
38,1715298300000,1430450.7,4990795.38755845,3.2319,0.7637,0.2363,1.963,0.6625,0.3375,3.7847,0.791,0.209,,,,,,,
39,1715298600000,1431071.6,5035273.12221643,3.279,0.7663,0.2337,1.9581,0.662,0.338,3.7348,0.7888,0.2112,,,,,,,
40,1715298900000,1431885.8,5013032.1858,3.2845,0.7666,0.2334,1.9537,0.6614,0.3386,3.7687,0.7903,0.2097,,,,,,,
41,1715299200000,1431595.8,5010585.3,3.3159,0.7683,0.2317,1.9517,0.6612,0.3388,3.81,0.7921,0.2079,,,,,,,
42,1715299500000,1428158.5,4975989.8457,3.3085,0.7679,0.2321,1.9549,0.6616,0.3384,3.7916,0.7913,0.2087,,,,,,,
43,1715299800000,1427262.5,4983697.0998115,3.2918,0.767,0.233,1.9577,0.6619,0.3381,3.7985,0.7916,0.2084,,,,,,,
44,1715300100000,1426167.7,4971688.21681066,3.3478,0.77,0.23,1.9569,0.6618,0.3382,3.8972,0.7958,0.2042,,,,,,,
45,1715300400000,1424864.3,4955393.06254,3.3535,0.7703,0.2297,1.9597,0.6621,0.3379,3.8662,0.7945,0.2055,,,,,,,
46,1715300700000,1423495.7,4941380.62341,3.3821,0.7718,0.2282,1.9716,0.6635,0.3365,3.9237,0.7969,0.2031,,,,,,,
47,1715301000000,1410278.7,4891425.59203422,3.3535,0.7703,0.2297,1.9681,0.6631,0.3369,3.8924,0.7956,0.2044,,,,,,,
48,1715301300000,1410780.4,4902880.07352617,3.3309,0.7691,0.2309,1.9704,0.6633,0.3367,3.8426,0.7935,0.2065,,,,,,,
49,1715301600000,1410811.1,4900554.97824941,3.3516,0.7702,0.2298,1.9723,0.6636,0.3364,3.845,0.7936,0.2064,,,,,,,
50,1715301900000,1410757.4,4897901.63932636,3.3403,0.7696,0.2304,1.973,0.6636,0.3364,3.8544,0.794,0.206,,,,,,,
51,1715302200000,1410767.9,4886194.62165,3.3497,0.7701,0.2299,1.9759,0.664,0.336,3.8614,0.7943,0.2057,,,,,,,
52,1715302500000,1409529.4,4886744.87933372,3.3516,0.7702,0.2298,1.9771,0.6641,0.3359,3.8948,0.7957,0.2043,,,,,,,
