,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,707.295,4950221.64237793,3.6189,0.7835,0.2165,1.4162,0.5861,0.4139,2.9573,0.7473,0.2527,,,,,,,
1,1715287200000,707.334,4958301.46805559,3.6232,0.7837,0.2163,1.4157,0.586,0.414,2.9573,0.7473,0.2527,,,,,,,
2,1715287500000,707.755,4956408.265,3.6253,0.7838,0.2162,1.4154,0.586,0.414,2.9557,0.7472,0.2528,,,,,,,
3,1715287800000,707.363,4957199.904,3.6296,0.784,0.216,1.4149,0.5859,0.4141,2.951,0.7469,0.2531,,,,,,,
4,1715288100000,707.182,4950981.182,3.6339,0.7842,0.2158,1.4142,0.5858,0.4142,2.9667,0.7479,0.2521,,,,,,,
5,1715288400000,707.182,4956638.638,3.6339,0.7842,0.2158,1.4128,0.5855,0.4145,2.9777,0.7486,0.2514,,,,,,,
6,1715288700000,707.812,4971671.488,3.6425,0.7846,0.2154,1.4128,0.5855,0.4145,2.9793,0.7487,0.2513,,,,,,,
7,1715289000000,707.746,4974397.54683507,3.6339,0.7842,0.2158,1.4118,0.5854,0.4146,2.9651,0.7478,0.2522,,,,,,,
8,1715289300000,708.344,4973991.568,3.6083,0.783,0.217,1.4142,0.5858,0.4142,2.9324,0.7457,0.2543,,,,,,,
9,1715289600000,708.718,4972365.488,3.6147,0.7833,0.2167,1.4158,0.5861,0.4139,2.9277,0.7454,0.2546,,,,,,,
10,1715289900000,710.188,4976242.41496026,3.6533,0.7851,0.2149,1.4153,0.586,0.414,2.951,0.7469,0.2531,,,,,,,
11,1715290200000,710.518,4973839.70338701,3.6555,0.7852,0.2148,1.4163,0.5861,0.4139,2.9494,0.7468,0.2532,,,,,,,
12,1715290500000,710.488,4974216.72974521,3.6577,0.7853,0.2147,1.4141,0.5858,0.4142,2.9557,0.7472,0.2528,,,,,,,
13,1715290800000,710.309,4967651.6174387,3.6577,0.7853,0.2147,1.4144,0.5858,0.4142,2.9573,0.7473,0.2527,,,,,,,
14,1715291100000,709.97,4964820.21,3.6361,0.7843,0.2157,1.413,0.5856,0.4144,2.9604,0.7475,0.2525,,,,,,,
15,1715291400000,710.297,4969237.812,3.6296,0.784,0.216,1.4116,0.5853,0.4147,2.9588,0.7474,0.2526,,,,,,,
16,1715291700000,709.934,4974507.538,3.6361,0.7843,0.2157,1.4102,0.5851,0.4149,2.973,0.7483,0.2517,,,,,,,
17,1715292000000,709.921,4971008.24270173,3.6361,0.7843,0.2157,1.4105,0.5852,0.4148,2.9761,0.7485,0.2515,,,,,,,
18,1715292300000,709.896,4971401.688,3.6104,0.7831,0.2169,1.4116,0.5853,0.4147,2.9651,0.7478,0.2522,,,,,,,
19,1715292600000,710.147,4977420.323,3.5977,0.7825,0.2175,1.4104,0.5851,0.4149,2.9667,0.7479,0.2521,,,,,,,
20,1715292900000,710.312,4981707.79082287,3.5872,0.782,0.218,1.4085,0.5848,0.4152,2.9714,0.7482,0.2518,,,,,,,
21,1715293200000,710.979,4986654.88448994,3.5935,0.7823,0.2177,1.4062,0.5844,0.4156,2.951,0.7469,0.2531,,,,,,,
22,1715293500000,711.211,4985667.7812093,3.5893,0.7821,0.2179,1.4059,0.5843,0.4157,2.9557,0.7472,0.2528,,,,,,,
23,1715293800000,711.387,4995359.514,3.6104,0.7831,0.2169,1.4058,0.5843,0.4157,2.9651,0.7478,0.2522,,,,,,,
24,1715294100000,711.377,4990574.60097549,3.6382,0.7844,0.2156,1.4064,0.5844,0.4156,2.9777,0.7486,0.2514,,,,,,,
25,1715294400000,710.99,4998034.81456688,3.6382,0.7844,0.2156,1.4069,0.5845,0.4155,3.0225,0.7514,0.2486,,,,,,,
26,1715294700000,711.417,5011265.60762059,3.6041,0.7828,0.2172,1.403,0.5838,0.4162,3.0032,0.7502,0.2498,,,,,,,
27,1715295000000,711.198,5023191.474,3.562,0.7808,0.2192,1.4074,0.5846,0.4154,2.9277,0.7454,0.2546,,,,,,,
28,1715295300000,713.056,5033694.43922393,3.5269,0.7791,0.2209,1.4008,0.5835,0.4165,2.9108,0.7443,0.2557,,,,,,,
29,1715295600000,711.353,5020435.30078873,3.5025,0.7779,0.2221,1.4021,0.5837,0.4163,2.9108,0.7443,0.2557,,,,,,,
30,1715295900000,713.809,5031639.641,3.5641,0.7809,0.2191,1.4088,0.5849,0.4151,2.917,0.7447,0.2553,,,,,,,
31,1715296200000,712.288,5008809.216,3.5914,0.7822,0.2178,1.4062,0.5844,0.4156,2.9479,0.7467,0.2533,,,,,,,
32,1715296500000,711.001,4996915.028,3.5725,0.7813,0.2187,1.4073,0.5846,0.4154,2.9324,0.7457,0.2543,,,,,,,
33,1715296800000,710.931,4996423.068,3.529,0.7792,0.2208,1.4077,0.5847,0.4153,2.8865,0.7427,0.2573,,,,,,,
34,1715297100000,710.735,4990781.17,3.5662,0.781,0.219,1.4078,0.5847,0.4153,2.9154,0.7446,0.2554,,,,,,,
35,1715297400000,711.741,5003772.64109798,3.5147,0.7785,0.2215,1.4054,0.5843,0.4157,2.8835,0.7425,0.2575,,,,,,,
36,1715297700000,711.782,5002998.2311727,3.5086,0.7782,0.2218,1.405,0.5842,0.4158,2.879,0.7422,0.2578,,,,,,,
37,1715298000000,711.358,4995155.876,3.5086,0.7782,0.2218,1.4078,0.5847,0.4153,2.8685,0.7415,0.2585,,,,,,,
38,1715298300000,711.828,5002749.51691303,3.5106,0.7783,0.2217,1.4082,0.5848,0.4152,2.8745,0.7419,0.2581,,,,,,,
39,1715298600000,712.047,5014234.974,3.5086,0.7782,0.2218,1.4076,0.5846,0.4154,2.873,0.7418,0.2582,,,,,,,
40,1715298900000,712.489,5015468.45079679,3.4944,0.7775,0.2225,1.4059,0.5844,0.4156,2.873,0.7418,0.2582,,,,,,,
41,1715299200000,712.221,5010474.735,3.4863,0.7771,0.2229,1.4065,0.5845,0.4155,2.8775,0.7421,0.2579,,,,,,,
42,1715299500000,713.303,5003420.00850302,3.5496,0.7802,0.2198,1.4127,0.5855,0.4145,2.917,0.7447,0.2553,,,,,,,
43,1715299800000,712.718,5001871.92102715,3.5872,0.782,0.218,1.4069,0.5845,0.4155,2.9417,0.7463,0.2537,,,,,,,
44,1715300100000,714.404,5013687.272,3.5809,0.7817,0.2183,1.405,0.5842,0.4158,2.9494,0.7468,0.2532,,,,,,,
45,1715300400000,714.37,5010209.58177672,3.5767,0.7815,0.2185,1.4067,0.5845,0.4155,2.9277,0.7454,0.2546,,,,,,,
46,1715300700000,715.855,5026017.955,3.5434,0.7799,0.2201,1.4057,0.5843,0.4157,2.885,0.7426,0.2574,,,,,,,
47,1715301000000,716.777,5033924.871,3.4924,0.7774,0.2226,1.4036,0.584,0.416,2.8625,0.7411,0.2589,,,,,,,
48,1715301300000,717.252,5027764.65162389,3.4863,0.7771,0.2229,1.4032,0.5839,0.4161,2.864,0.7412,0.2588,,,,,,,
49,1715301600000,715.964,5015327.82,3.4924,0.7774,0.2226,1.4078,0.5847,0.4153,2.885,0.7426,0.2574,,,,,,,
50,1715301900000,715.883,5016908.064,3.4803,0.7768,0.2232,1.408,0.5847,0.4153,2.8835,0.7425,0.2575,,,,,,,
51,1715302200000,716.5,5009051.5,3.4883,0.7772,0.2228,1.4124,0.5855,0.4145,2.882,0.7424,0.2576,,,,,,,
52,1715302500000,716.239,5012307.87905657,3.4843,0.777,0.223,1.4108,0.5852,0.4148,2.8805,0.7423,0.2577,,,,,,,
53,1715302800000,716.561,5011627.634,3.4924,0.7774,0.2226,1.4125,0.5855,0.4145,2.888,0.7428,0.2572,,,,,,,
54,1715303100000,716.748,5022546.10210696,3.4683,0.7762,0.2238,1.4097,0.585,0.415,2.888,0.7428,0.2572,,,,,,,
55,1715303400000,716.76,5016603.24,3.4623,0.7759,0.2241,1.4112,0.5853,0.4147,2.8655,0.7413,0.2587,,,,,,,
56,1715303700000,716.236,5011503.292,3.4783,0.7767,0.2233,1.4141,0.5858,0.4142,2.885,0.7426,0.2574,,,,,,,
57,1715304000000,716.891,5027556.583,3.4743,0.7765,0.2235,1.4079,0.5847,0.4153,2.8565,0.7407,0.2593,,,,,,,
58,1715304300000,717.035,5024981.28,3.4623,0.7759,0.2241,1.4072,0.5846,0.4154,2.867,0.7414,0.2586,,,,,,,
59,1715304600000,717.926,5032306.04890281,3.4743,0.7765,0.2235,1.4058,0.5843,0.4157,2.882,0.7424,0.2576,,,,,,,
60,1715304900000,718.456,5043561.12,3.4583,0.7757,0.2243,1.4065,0.5845,0.4155,2.879,0.7422,0.2578,,,,,,,
61,1715305200000,718.478,5051892.52182049,3.4683,0.7762,0.2238,1.4092,0.5849,0.4151,2.8595,0.7409,0.2591,,,,,,,
62,1715305500000,718.939,5042891.78044667,3.4803,0.7768,0.2232,1.4091,0.5849,0.4151,2.9154,0.7446,0.2554,,,,,,,
63,1715305800000,717.886,5033816.632,3.5086,0.7782,0.2218,1.4092,0.5849,0.4151,2.8895,0.7429,0.2571,,,,,,,
64,1715306100000,717.492,5034415.41682208,3.4944,0.7775,0.2225,1.4137,0.5857,0.4143,2.9032,0.7438,0.2562,,,,,,,
65,1715306400000,717.417,5030528.004,3.4903,0.7773,0.2227,1.4165,0.5862,0.4138,2.8986,0.7435,0.2565,,,,,,,
66,1715306700000,717.905,5033231.955,3.4964,0.7776,0.2224,1.4157,0.586,0.414,2.8986,0.7435,0.2565,,,,,,,
67,1715307000000,718.179,5033361.37809969,3.4803,0.7768,0.2232,1.4147,0.5859,0.4141,2.888,0.7428,0.2572,,,,,,,
68,1715307300000,718.181,5033038.97242806,3.4903,0.7773,0.2227,1.4152,0.586,0.414,2.8911,0.743,0.257,,,,,,,
69,1715307600000,718.727,5040926.04618976,3.4763,0.7766,0.2234,1.4123,0.5855,0.4145,2.885,0.7426,0.2574,,,,,,,
70,1715307900000,718.842,5041465.61399823,3.5106,0.7783,0.2217,1.4123,0.5855,0.4145,2.8865,0.7427,0.2573,,,,,,,
71,1715308200000,718.921,5039334.3076884,3.531,0.7793,0.2207,1.4118,0.5854,0.4146,2.8971,0.7434,0.2566,,,,,,,
72,1715308500000,718.968,5039965.68,3.5249,0.779,0.221,1.4121,0.5854,0.4146,2.8895,0.7429,0.2571,,,,,,,
73,1715308800000,719.125,5037581.34697192,3.531,0.7793,0.2207,1.4122,0.5854,0.4146,2.8941,0.7432,0.2568,,,,,,,
74,1715309100000,719.5,5044414.5,3.5208,0.7788,0.2212,1.4098,0.585,0.415,2.8926,0.7431,0.2569,,,,,,,
75,1715309400000,719.505,5041742.67876172,3.5208,0.7788,0.2212,1.4116,0.5853,0.4147,2.888,0.7428,0.2572,,,,,,,
76,1715309700000,718.851,5026206.192,3.5249,0.779,0.221,1.4138,0.5857,0.4143,2.8197,0.7382,0.2618,,,,,,,
77,1715310000000,718.957,5031980.043,3.5065,0.7781,0.2219,1.4122,0.5854,0.4146,2.8095,0.7375,0.2625,,,,,,,
78,1715310300000,718.473,5017096.959,3.5045,0.778,0.222,1.4127,0.5855,0.4145,2.8124,0.7377,0.2623,,,,,,,
79,1715310600000,718.061,5013227.13432117,3.5331,0.7794,0.2206,1.4148,0.5859,0.4141,2.8329,0.7391,0.2609,,,,,,,
80,1715310900000,719.074,5012664.854,3.5641,0.7809,0.2191,1.4156,0.586,0.414,2.8241,0.7385,0.2615,,,,,,,
81,1715311200000,719.111,5022305.92487389,3.5167,0.7786,0.2214,1.4173,0.5863,0.4137,2.7922,0.7363,0.2637,,,,,,,
82,1715311500000,719.609,5028154.86759584,3.4883,0.7772,0.2228,1.4153,0.586,0.414,2.7793,0.7354,0.2646,,,,,,,
83,1715311800000,719.677,5031261.907,3.5025,0.7779,0.2221,1.4161,0.5861,0.4139,2.7821,0.7356,0.2644,,,,,,,
84,1715312100000,719.93,5024046.27968423,3.5147,0.7785,0.2215,1.4184,0.5865,0.4135,2.7893,0.7361,0.2639,,,,,,,
85,1715312400000,721.178,5033101.262,3.5249,0.779,0.221,1.4195,0.5867,0.4133,2.8153,0.7379,0.2621,,,,,,,
86,1715312700000,720.628,5027134.41799006,3.5434,0.7799,0.2201,1.4199,0.5868,0.4132,2.8197,0.7382,0.2618,,,,,,,
87,1715313000000,721.244,5028493.79533567,3.5249,0.779,0.221,1.4193,0.5867,0.4133,2.8066,0.7373,0.2627,,,,,,,
88,1715313300000,722.343,5044462.82368785,3.531,0.7793,0.2207,1.4189,0.5866,0.4134,2.8023,0.737,0.263,,,,,,,
89,1715313600000,728.441,5080147.534,3.5537,0.7804,0.2196,1.4094,0.585,0.415,2.827,0.7387,0.2613,,,,,,,
90,1715313900000,729.107,5086250.432,3.562,0.7808,0.2192,1.408,0.5847,0.4153,2.8358,0.7393,0.2607,,,,,,,
91,1715314200000,729.896,5085915.328,3.56,0.7807,0.2193,1.4083,0.5848,0.4152,2.8285,0.7388,0.2612,,,,,,,
92,1715314500000,732.333,5107524.01848263,3.5641,0.7809,0.2191,1.4052,0.5842,0.4158,2.8358,0.7393,0.2607,,,,,,,
93,1715314800000,733.638,5115348.77985562,3.5641,0.7809,0.2191,1.4029,0.5838,0.4162,2.8402,0.7396,0.2604,,,,,,,
94,1715315100000,729.453,5110808.11228902,3.4903,0.7773,0.2227,1.3898,0.5816,0.4184,2.723,0.7314,0.2686,,,,,,,
95,1715315400000,729.387,5112129.16475224,3.4783,0.7767,0.2233,1.387,0.5811,0.4189,2.7189,0.7311,0.2689,,,,,,,
96,1715315700000,728.095,5102440.76913772,3.4783,0.7767,0.2233,1.3867,0.581,0.419,2.7133,0.7307,0.2693,,,,,,,
97,1715316000000,728.7,5117730.63242513,3.4643,0.776,0.224,1.3853,0.5808,0.4192,2.7051,0.7301,0.2699,,,,,,,
98,1715316300000,728.535,5108807.23529586,3.4703,0.7763,0.2237,1.3858,0.5808,0.4192,2.7106,0.7305,0.2695,,,,,,,
99,1715316600000,728.841,5109175.41,3.4823,0.7769,0.2231,1.3843,0.5806,0.4194,2.7147,0.7308,0.2692,,,,,,,
100,1715316900000,728.632,5106923.98108152,3.4863,0.7771,0.2229,1.3889,0.5814,0.4186,2.7064,0.7302,0.2698,,,,,,,
101,1715317200000,729.625,5121237.875,3.4743,0.7765,0.2235,1.3889,0.5814,0.4186,2.701,0.7298,0.2702,,,,,,,
102,1715317500000,729.371,5122610.77588126,3.5106,0.7783,0.2217,1.3892,0.5815,0.4185,2.7175,0.731,0.269,,,,,,,
103,1715317800000,729.219,5116240.26489933,3.4964,0.7776,0.2224,1.3893,0.5815,0.4185,2.7051,0.7301,0.2699,,,,,,,
104,1715318100000,728.427,5097263.83357125,3.4964,0.7776,0.2224,1.3918,0.5819,0.4181,2.7092,0.7304,0.2696,,,,,,,
105,1715318400000,728.181,5098211.16195313,3.4924,0.7774,0.2226,1.3916,0.5819,0.4181,2.7037,0.73,0.27,,,,,,,
106,1715318700000,727.468,5090821.064,3.4903,0.7773,0.2227,1.391,0.5818,0.4182,2.7106,0.7305,0.2695,,,,,,,
107,1715319000000,725.51,5080136.45387193,3.4703,0.7763,0.2237,1.3928,0.5821,0.4179,2.6969,0.7295,0.2705,,,,,,,
108,1715319300000,725.524,5094394.57296562,3.4743,0.7765,0.2235,1.3927,0.5821,0.4179,2.7051,0.7301,0.2699,,,,,,,
109,1715319600000,725.054,5087703.918,3.2481,0.7646,0.2354,1.394,0.5823,0.4177,2.5638,0.7194,0.2806,,,,,,,
110,1715319900000,727.014,5103651.20481127,3.2445,0.7644,0.2356,1.3922,0.582,0.418,2.5829,0.7209,0.2791,,,,,,,
111,1715320200000,726.057,5104142.78823167,3.2409,0.7642,0.2358,1.3941,0.5823,0.4177,2.574,0.7202,0.2798,,,,,,,
112,1715320500000,725.476,5098369.42971661,3.4803,0.7768,0.2232,1.3925,0.582,0.418,2.7286,0.7318,0.2682,,,,,,,
113,1715320800000,725.856,5101315.968,3.4743,0.7765,0.2235,1.3939,0.5823,0.4177,2.7189,0.7311,0.2689,,,,,,,
114,1715321100000,726.867,5116416.813,3.4444,0.775,0.225,1.3904,0.5817,0.4183,2.7023,0.7299,0.2701,,,,,,,
115,1715321400000,727.524,5128316.676,3.4643,0.776,0.224,1.389,0.5814,0.4186,2.7106,0.7305,0.2695,,,,,,,
116,1715321700000,728.943,5137909.44476979,3.4683,0.7762,0.2238,1.3851,0.5807,0.4193,2.712,0.7306,0.2694,,,,,,,
117,1715322000000,728.231,5132292.49466015,3.4924,0.7774,0.2226,1.3878,0.5812,0.4188,2.7327,0.7321,0.2679,,,,,,,
118,1715322300000,727.429,5124009.876,3.4823,0.7769,0.2231,1.3878,0.5812,0.4188,2.7258,0.7316,0.2684,,,,,,,
119,1715322600000,727.491,5116444.203,3.4863,0.7771,0.2229,1.3863,0.5809,0.4191,2.7327,0.7321,0.2679,,,,,,,
120,1715322900000,726.686,5107104.87333042,3.5208,0.7788,0.2212,1.3869,0.5811,0.4189,2.7608,0.7341,0.2659,,,,,,,
121,1715323200000,728.336,5126496.61939292,3.5025,0.7779,0.2221,1.3868,0.581,0.419,2.7453,0.733,0.267,,,,,,,
122,1715323500000,728.287,5130053.628,3.4924,0.7774,0.2226,1.3853,0.5808,0.4192,2.7453,0.733,0.267,,,,,,,
123,1715323800000,727.51,5127054.40132482,3.5005,0.7778,0.2222,1.389,0.5814,0.4186,2.7369,0.7324,0.2676,,,,,,,
124,1715324100000,727.808,5133957.632,3.5126,0.7784,0.2216,1.3861,0.5809,0.4191,2.7665,0.7345,0.2655,,,,,,,
125,1715324400000,727.889,5131599.59961411,3.5351,0.7795,0.2205,1.3855,0.5808,0.4192,2.7722,0.7349,0.2651,,,,,,,
126,1715324700000,727.559,5133730.97348203,3.5455,0.78,0.22,1.3853,0.5808,0.4192,2.7864,0.7359,0.2641,,,,,,,
127,1715325000000,727.018,5128384.972,3.5331,0.7794,0.2206,1.3817,0.5801,0.4199,2.7665,0.7345,0.2655,,,,,,,
128,1715325300000,726.648,5119235.16,3.5372,0.7796,0.2204,1.3799,0.5798,0.4202,2.7608,0.7341,0.2659,,,,,,,
129,1715325600000,725.722,5120565.63130213,3.5045,0.778,0.222,1.3781,0.5795,0.4205,2.7566,0.7338,0.2662,,,,,,,
130,1715325900000,725.663,5118101.139,3.5147,0.7785,0.2215,1.3789,0.5796,0.4204,2.7566,0.7338,0.2662,,,,,,,
131,1715326200000,725.874,5126122.188,3.5147,0.7785,0.2215,1.3757,0.5791,0.4209,2.7566,0.7338,0.2662,,,,,,,
132,1715326500000,724.829,5117292.74,3.5662,0.781,0.219,1.3771,0.5793,0.4207,2.7608,0.7341,0.2659,,,,,,,
133,1715326800000,725.034,5125265.346,3.5537,0.7804,0.2196,1.3759,0.5791,0.4209,2.7636,0.7343,0.2657,,,,,,,
134,1715327100000,725.26,5131492.2098723,3.5351,0.7795,0.2205,1.3743,0.5788,0.4212,2.758,0.7339,0.2661,,,,,,,
135,1715327400000,725.239,5118736.862,3.5496,0.7802,0.2198,1.3733,0.5786,0.4214,2.7707,0.7348,0.2652,,,,,,,
136,1715327700000,725.212,5118087.27901859,3.5413,0.7798,0.2202,1.3739,0.5788,0.4212,2.7665,0.7345,0.2655,,,,,,,
137,1715328000000,721.347,5096316.555,3.4944,0.7775,0.2225,1.3818,0.5802,0.4198,2.7538,0.7336,0.2664,,,,,,,
138,1715328300000,720.348,5088161.1487158,3.4643,0.776,0.224,1.3834,0.5804,0.4196,2.723,0.7314,0.2686,,,,,,,
139,1715328600000,719.83,5071922.18,3.4524,0.7754,0.2246,1.3846,0.5806,0.4194,2.7189,0.7311,0.2689,,,,,,,
140,1715328900000,719.933,5068328.32,3.4603,0.7758,0.2242,1.3852,0.5807,0.4193,2.7202,0.7312,0.2688,,,,,,,
141,1715329200000,719.722,5072600.656,3.4563,0.7756,0.2244,1.3839,0.5805,0.4195,2.7051,0.7301,0.2699,,,,,,,
142,1715329500000,717.907,5056936.908,3.5005,0.7778,0.2222,1.3834,0.5804,0.4196,2.723,0.7314,0.2686,,,,,,,
143,1715329800000,718.176,5061998.01594889,3.5025,0.7779,0.2221,1.3825,0.5803,0.4197,2.7202,0.7312,0.2688,,,,,,,
144,1715330100000,718.022,5062317.99318602,3.5025,0.7779,0.2221,1.3832,0.5804,0.4196,2.7216,0.7313,0.2687,,,,,,,
145,1715330400000,718.174,5057329.31936978,3.4944,0.7775,0.2225,1.3814,0.5801,0.4199,2.7175,0.731,0.269,,,,,,,
146,1715330700000,718.155,5050784.115,3.5106,0.7783,0.2217,1.3824,0.5803,0.4197,2.7258,0.7316,0.2684,,,,,,,
147,1715331000000,719.114,5062996.97348105,3.5045,0.778,0.222,1.3802,0.5799,0.4201,2.73,0.7319,0.2681,,,,,,,
148,1715331300000,717.874,5055268.708,3.5413,0.7798,0.2202,1.3872,0.5811,0.4189,2.7453,0.733,0.267,,,,,,,
149,1715331600000,717.732,5055704.208,3.529,0.7792,0.2208,1.3866,0.581,0.419,2.7383,0.7325,0.2675,,,,,,,
150,1715331900000,717.619,5047732.046,3.5393,0.7797,0.2203,1.3873,0.5811,0.4189,2.7397,0.7326,0.2674,,,,,,,
151,1715332200000,717.554,5051580.16,3.5106,0.7783,0.2217,1.3893,0.5815,0.4185,2.7189,0.7311,0.2689,,,,,,,
