,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,4176404.0,624359868.788,2.1566,0.6832,0.3168,1.824,0.6459,0.3541,1.9851,0.665,0.335,,,,,,,
1,1715287200000,4177018.0,625184767.665087,2.1606,0.6836,0.3164,1.8206,0.6455,0.3545,1.9985,0.6665,0.3335,,,,,,,
2,1715287500000,4180819.0,625450522.4,2.1616,0.6837,0.3163,1.8172,0.645,0.355,2.003,0.667,0.333,,,,,,,
3,1715287800000,4173140.0,623859391.16,2.1566,0.6832,0.3168,1.8177,0.6451,0.3549,1.9967,0.6663,0.3337,,,,,,,
4,1715288100000,4171889.0,624616724.8791089,2.1646,0.684,0.316,1.8156,0.6448,0.3552,2.0039,0.6671,0.3329,,,,,,,
5,1715288400000,4172844.0,626813594.5342362,2.1666,0.6842,0.3158,1.8114,0.6443,0.3557,2.0157,0.6684,0.3316,,,,,,,
6,1715288700000,4175001.0,627830939.5631322,2.1656,0.6841,0.3159,1.8061,0.6436,0.3564,2.0202,0.6689,0.3311,,,,,,,
7,1715289000000,4169206.0,627715655.36,2.1736,0.6849,0.3151,1.8032,0.6433,0.3567,2.0257,0.6695,0.3305,,,,,,,
8,1715289300000,4165959.0,624916780.9380813,2.1736,0.6849,0.3151,1.804,0.6434,0.3566,2.0211,0.669,0.331,,,,,,,
9,1715289600000,4163145.0,623356027.14,2.1726,0.6848,0.3152,1.8026,0.6432,0.3568,2.0084,0.6676,0.3324,,,,,,,
10,1715289900000,4160303.0,623475488.489,2.1666,0.6842,0.3158,1.8019,0.6431,0.3569,1.9985,0.6665,0.3335,,,,,,,
11,1715290200000,4158043.0,623135989.993343,2.1596,0.6835,0.3165,1.8046,0.6434,0.3566,1.9949,0.6661,0.3339,,,,,,,
12,1715290500000,4155581.0,622988081.196,2.1536,0.6829,0.3171,1.8064,0.6437,0.3563,1.9931,0.6659,0.3341,,,,,,,
13,1715290800000,4155445.0,623861371.4727979,2.1437,0.6819,0.3181,1.8033,0.6433,0.3567,1.9922,0.6658,0.3342,,,,,,,
14,1715291100000,4160185.0,626018968.9670672,2.1546,0.683,0.317,1.8018,0.6431,0.3569,1.9994,0.6666,0.3334,,,,,,,
15,1715291400000,4159281.0,626707983.237,2.1348,0.681,0.319,1.8055,0.6436,0.3564,1.9824,0.6647,0.3353,,,,,,,
16,1715291700000,4158458.0,626276250.174,2.1586,0.6834,0.3166,1.8087,0.644,0.356,1.9967,0.6663,0.3337,,,,,,,
17,1715292000000,4164015.0,625786780.5180656,2.1486,0.6824,0.3176,1.8087,0.644,0.356,1.9895,0.6655,0.3345,,,,,,,
18,1715292300000,4174039.0,627971248.9827758,2.1447,0.682,0.318,1.8048,0.6435,0.3565,1.9869,0.6652,0.3348,,,,,,,
19,1715292600000,4177756.0,629357332.1659777,2.1496,0.6825,0.3175,1.8029,0.6432,0.3568,1.9895,0.6655,0.3345,,,,,,,
20,1715292900000,4166824.0,632420210.5771363,2.1456,0.6821,0.3179,1.8129,0.6445,0.3555,2.0193,0.6688,0.3312,,,,,,,
21,1715293200000,4175010.0,633077641.35,2.1289,0.6804,0.3196,1.8079,0.6439,0.3561,2.0003,0.6667,0.3333,,,,,,,
22,1715293500000,4170971.0,631130372.6324347,2.1447,0.682,0.318,1.8082,0.6439,0.3561,2.0102,0.6678,0.3322,,,,,,,
23,1715293800000,4169448.0,631303149.4930764,2.1466,0.6822,0.3178,1.8071,0.6438,0.3562,2.0148,0.6683,0.3317,,,,,,,
24,1715294100000,4167315.0,631281461.3635833,2.1496,0.6825,0.3175,1.8047,0.6435,0.3565,2.0166,0.6685,0.3315,,,,,,,
25,1715294400000,4167452.0,633330695.8832437,2.1616,0.6837,0.3163,1.7984,0.6427,0.3573,2.046,0.6717,0.3283,,,,,,,
26,1715294700000,4172207.0,636993063.5307056,2.1616,0.6837,0.3163,1.7971,0.6425,0.3575,2.0534,0.6725,0.3275,,,,,,,
27,1715295000000,4162194.0,635816852.7937176,2.1496,0.6825,0.3175,1.802,0.6431,0.3569,2.0479,0.6719,0.3281,,,,,,,
28,1715295300000,4148105.0,633933669.592925,2.1456,0.6821,0.3179,1.8123,0.6444,0.3556,2.0479,0.6719,0.3281,,,,,,,
29,1715295600000,4150186.0,634517787.354,2.1358,0.6811,0.3189,1.8131,0.6445,0.3555,2.0321,0.6702,0.3298,,,,,,,
30,1715295900000,4153411.0,633764077.6502446,2.1486,0.6824,0.3176,1.8161,0.6449,0.3551,2.034,0.6704,0.3296,,,,,,,
31,1715296200000,4148183.0,631473749.907,2.1279,0.6803,0.3197,1.8161,0.6449,0.3551,1.9967,0.6663,0.3337,,,,,,,
32,1715296500000,4134976.0,628287465.2000922,2.1338,0.6809,0.3191,1.8254,0.6461,0.3539,1.9985,0.6665,0.3335,,,,,,,
33,1715296800000,4127160.0,626317165.8,2.1289,0.6804,0.3196,1.8324,0.6469,0.3531,1.9985,0.6665,0.3335,,,,,,,
34,1715297100000,4110012.0,621314624.052,2.1407,0.6816,0.3184,1.8491,0.649,0.351,2.0075,0.6675,0.3325,,,,,,,
35,1715297400000,4097506.0,620505821.11,2.1289,0.6804,0.3196,1.8478,0.6489,0.3511,2.0111,0.6679,0.3321,,,,,,,
36,1715297700000,4094308.0,621270409.9874209,2.127,0.6802,0.3198,1.8428,0.6482,0.3518,1.9985,0.6665,0.3335,,,,,,,
37,1715298000000,4093368.0,621635237.952,2.1124,0.6787,0.3213,1.8331,0.647,0.353,1.9806,0.6645,0.3355,,,,,,,
38,1715298300000,4092327.0,622317643.7657882,2.1133,0.6788,0.3212,1.8303,0.6467,0.3533,1.9842,0.6649,0.3351,,,,,,,
39,1715298600000,4091811.0,623983427.2648001,2.123,0.6798,0.3202,1.8311,0.6468,0.3532,1.9967,0.6663,0.3337,,,,,,,
40,1715298900000,4104639.0,626593666.545,2.1172,0.6792,0.3208,1.8217,0.6456,0.3544,1.9851,0.665,0.335,,,,,,,
41,1715299200000,4101294.0,625270979.358,2.1143,0.6789,0.3211,1.819,0.6453,0.3547,1.9851,0.665,0.335,,,,,,,
42,1715299500000,4106636.0,623871927.848,2.1536,0.6829,0.3171,1.8056,0.6436,0.3564,2.0021,0.6669,0.3331,,,,,,,
43,1715299800000,4111578.0,627592550.7058934,2.1221,0.6797,0.3203,1.8041,0.6434,0.3566,1.9824,0.6647,0.3353,,,,,,,
44,1715300100000,4117791.0,628506074.261557,2.1066,0.6781,0.3219,1.798,0.6426,0.3574,1.9656,0.6628,0.3372,,,,,,,
45,1715300400000,4121833.0,626753560.481,2.1153,0.679,0.321,1.7974,0.6425,0.3575,1.963,0.6625,0.3375,,,,,,,
46,1715300700000,4125398.0,626225070.2318479,2.1201,0.6795,0.3205,1.7975,0.6425,0.3575,1.963,0.6625,0.3375,,,,,,,
47,1715301000000,4123469.0,626284669.9309344,2.1104,0.6785,0.3215,1.7991,0.6427,0.3573,1.9472,0.6607,0.3393,,,,,,,
48,1715301300000,4122741.0,627060660.618,2.1046,0.6779,0.3221,1.8018,0.6431,0.3569,1.9369,0.6595,0.3405,,,,,,,
49,1715301600000,4123893.0,626472759.8570032,2.1066,0.6781,0.3219,1.8002,0.6429,0.3571,1.9343,0.6592,0.3408,,,,,,,
