,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,23871373.0,9023435.33044028,1.6164,0.6178,0.3822,1.3008,0.5654,0.4346,1.6288,0.6196,0.3804,,,,,,,
1,1715287200000,23919483.0,9071703.12258,1.5947,0.6146,0.3854,1.3017,0.5655,0.4345,1.5967,0.6149,0.3851,,,,,,,
2,1715287500000,23894996.0,9049766.1720776,1.5913,0.6141,0.3859,1.299,0.565,0.435,1.5974,0.615,0.385,,,,,,,
3,1715287800000,23861312.0,9043437.248,1.5961,0.6148,0.3852,1.2967,0.5646,0.4354,1.6021,0.6157,0.3843,,,,,,,
4,1715288100000,23850922.0,9055698.50720396,1.578,0.6121,0.3879,1.295,0.5643,0.4357,1.586,0.6133,0.3867,,,,,,,
5,1715288400000,23816336.0,9042612.17412288,1.5833,0.6129,0.3871,1.2941,0.5641,0.4359,1.6021,0.6157,0.3843,,,,,,,
6,1715288700000,23786564.0,9052991.4271546,1.6048,0.6161,0.3839,1.2958,0.5644,0.4356,1.6281,0.6195,0.3805,,,,,,,
7,1715289000000,23777897.0,9062268.72260138,1.6164,0.6178,0.3822,1.2964,0.5645,0.4355,1.6434,0.6217,0.3783,,,,,,,
8,1715289300000,23758397.0,9028521.1017183,1.6267,0.6193,0.3807,1.2962,0.5645,0.4355,1.6504,0.6227,0.3773,,,,,,,
9,1715289600000,23759001.0,9012010.98836934,1.6399,0.6212,0.3788,1.296,0.5645,0.4355,1.6532,0.6231,0.3769,,,,,,,
10,1715289900000,23743688.0,8999332.62576,1.6483,0.6224,0.3776,1.2963,0.5645,0.4355,1.6638,0.6246,0.3754,,,,,,,
11,1715290200000,23755227.0,8996579.56944,1.6504,0.6227,0.3773,1.2975,0.5647,0.4353,1.666,0.6249,0.3751,,,,,,,
12,1715290500000,23734021.0,8980486.46086672,1.6553,0.6234,0.3766,1.2972,0.5647,0.4353,1.6724,0.6258,0.3742,,,,,,,
13,1715290800000,23725281.0,8976304.19125383,1.6539,0.6232,0.3768,1.2973,0.5647,0.4353,1.6724,0.6258,0.3742,,,,,,,
14,1715291100000,23706696.0,8979385.24392,1.6518,0.6229,0.3771,1.2962,0.5645,0.4355,1.6774,0.6265,0.3735,,,,,,,
15,1715291400000,23693073.0,8983228.62795,1.6567,0.6236,0.3764,1.2961,0.5645,0.4355,1.6853,0.6276,0.3724,,,,,,,
16,1715291700000,23681811.0,8996483.18079,1.6553,0.6234,0.3766,1.2953,0.5643,0.4357,1.6882,0.628,0.372,,,,,,,
17,1715292000000,23667081.0,8979763.87302,1.6518,0.6229,0.3771,1.2964,0.5645,0.4355,1.6767,0.6264,0.3736,,,,,,,
18,1715292300000,23649770.0,8969175.2725,1.6385,0.621,0.379,1.2952,0.5643,0.4357,1.6702,0.6255,0.3745,,,,,,,
19,1715292600000,23639718.0,8964843.21410118,1.6497,0.6226,0.3774,1.2937,0.564,0.436,1.6954,0.629,0.371,,,,,,,
20,1715292900000,23640693.0,8976798.55582944,1.6518,0.6229,0.3771,1.292,0.5637,0.4363,1.7078,0.6307,0.3693,,,,,,,
21,1715293200000,23620215.0,8955840.7194,1.6603,0.6241,0.3759,1.2883,0.563,0.437,1.713,0.6314,0.3686,,,,,,,
22,1715293500000,23619432.0,8954126.6712,1.666,0.6249,0.3751,1.2887,0.5631,0.4369,1.7233,0.6328,0.3672,,,,,,,
23,1715293800000,23650717.0,8990274.44550881,1.6681,0.6252,0.3748,1.2866,0.5627,0.4373,1.7203,0.6324,0.3676,,,,,,,
24,1715294100000,23707128.0,9012227.25193776,1.6567,0.6236,0.3764,1.2862,0.5626,0.4374,1.6759,0.6263,0.3737,,,,,,,
25,1715294400000,23684989.0,9036297.00328,1.6518,0.6229,0.3771,1.2839,0.5621,0.4379,1.6925,0.6286,0.3714,,,,,,,
26,1715294700000,23662674.0,9064438.99614666,1.6674,0.6251,0.3749,1.2835,0.5621,0.4379,1.7122,0.6313,0.3687,,,,,,,
27,1715295000000,23617455.0,9085162.5894,1.6532,0.6231,0.3769,1.2817,0.5617,0.4383,1.6874,0.6279,0.3721,,,,,,,
28,1715295300000,23578933.0,9085434.46356,1.611,0.617,0.383,1.2823,0.5619,0.4381,1.6476,0.6223,0.3777,,,,,,,
29,1715295600000,23505180.0,9024383.0110506,1.6553,0.6234,0.3766,1.2789,0.5612,0.4388,1.7093,0.6309,0.3691,,,,,,,
30,1715295900000,23538014.0,9012234.80032,1.656,0.6235,0.3765,1.2801,0.5614,0.4386,1.7263,0.6332,0.3668,,,,,,,
31,1715296200000,23325668.0,8901074.9088,1.6731,0.6259,0.3741,1.274,0.5603,0.4397,1.7405,0.6351,0.3649,,,,,,,
32,1715296500000,23311926.0,8884420.70630004,1.6638,0.6246,0.3754,1.2737,0.5602,0.4398,1.7181,0.6321,0.3679,,,,,,,
33,1715296800000,23294140.0,8872737.926,1.6745,0.6261,0.3739,1.2736,0.5602,0.4398,1.7427,0.6354,0.3646,,,,,,,
