,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,23246182.0,21742154.0246,2.4025,0.7061,0.2939,1.4091,0.5849,0.4151,2.5361,0.7172,0.2828,,,,,,,
1,1715287200000,23240343.0,21797770.98574173,2.3898,0.705,0.295,1.4089,0.5849,0.4151,2.5373,0.7173,0.2827,,,,,,,
2,1715287500000,23227588.0,21746544.95932288,2.3921,0.7052,0.2948,1.4107,0.5852,0.4148,2.5398,0.7175,0.2825,,,,,,,
3,1715287800000,23234013.0,21756766.34030427,2.4037,0.7062,0.2938,1.4132,0.5856,0.4144,2.5474,0.7181,0.2819,,,,,,,
4,1715288100000,23209570.0,21707910.821,2.4153,0.7072,0.2928,1.4138,0.5857,0.4143,2.5575,0.7189,0.2811,,,,,,,
5,1715288400000,23219980.0,21744811.8842024,2.4329,0.7087,0.2913,1.4178,0.5864,0.4136,2.5714,0.72,0.28,,,,,,,
6,1715288700000,23242849.0,21857051.53821203,2.4095,0.7067,0.2933,1.4142,0.5858,0.4142,2.5436,0.7178,0.2822,,,,,,,
7,1715289000000,23164767.0,21879122.4315,2.4095,0.7067,0.2933,1.4116,0.5853,0.4147,2.5613,0.7192,0.2808,,,,,,,
8,1715289300000,23135580.0,21747074.1052968,2.4341,0.7088,0.2912,1.4117,0.5854,0.4146,2.5714,0.72,0.28,,,,,,,
9,1715289600000,23126544.0,21740345.65933776,2.4153,0.7072,0.2928,1.4127,0.5855,0.4145,2.56,0.7191,0.2809,,,,,,,
10,1715289900000,23129074.0,21759684.56183566,2.4083,0.7066,0.2934,1.4147,0.5859,0.4141,2.5625,0.7193,0.2807,,,,,,,
11,1715290200000,23130533.0,21722285.31765821,2.4048,0.7063,0.2937,1.4135,0.5857,0.4143,2.5549,0.7187,0.2813,,,,,,,
12,1715290500000,23126908.0,21696188.20125512,2.4118,0.7069,0.2931,1.4138,0.5857,0.4143,2.5524,0.7185,0.2815,,,,,,,
