,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,101691385.0,89120645.8046644,2.6258,0.7242,0.2758,1.4515,0.5921,0.4079,3.3011,0.7675,0.2325,,,,,,,
1,1715287200000,101711677.0,89376059.38552076,2.6219,0.7239,0.2761,1.4518,0.5921,0.4079,3.2937,0.7671,0.2329,,,,,,,
2,1715287500000,101708217.0,89405874.83760543,2.639,0.7252,0.2748,1.4529,0.5923,0.4077,3.3122,0.7681,0.2319,,,,,,,
3,1715287800000,101692565.0,89138467.3457538,2.6496,0.726,0.274,1.4517,0.5921,0.4079,3.3215,0.7686,0.2314,,,,,,,
4,1715288100000,101648572.0,89094973.358,2.6403,0.7253,0.2747,1.4522,0.5922,0.4078,3.3178,0.7684,0.2316,,,,,,,
5,1715288400000,101648902.0,89321942.70392706,2.6576,0.7266,0.2734,1.4516,0.5921,0.4079,3.2992,0.7674,0.2326,,,,,,,
6,1715288700000,101695873.0,89777116.6844,2.663,0.727,0.273,1.4517,0.5921,0.4079,3.2845,0.7666,0.2334,,,,,,,
7,1715289000000,101749593.0,89909210.60671902,2.6684,0.7274,0.2726,1.4529,0.5923,0.4077,3.29,0.7669,0.2331,,,,,,,
8,1715289300000,101668889.0,89581533.75474562,2.6778,0.7281,0.2719,1.4525,0.5923,0.4077,3.3346,0.7693,0.2307,,,,,,,
9,1715289600000,101494180.0,89182143.2964542,2.6603,0.7268,0.2732,1.4513,0.5921,0.4079,3.3178,0.7684,0.2316,,,,,,,
10,1715289900000,101541220.0,89309397.095787,2.6364,0.725,0.275,1.4512,0.592,0.408,3.29,0.7669,0.2331,,,,,,,
11,1715290200000,101501805.0,89445078.54101714,2.6284,0.7244,0.2756,1.4532,0.5924,0.4076,3.2319,0.7637,0.2363,,,,,,,
12,1715290500000,101387839.0,89687474.53433006,2.6193,0.7237,0.2763,1.4525,0.5923,0.4077,3.2105,0.7625,0.2375,,,,,,,
13,1715290800000,101411298.0,89748998.73,2.6075,0.7228,0.2772,1.4504,0.5919,0.4081,3.1754,0.7605,0.2395,,,,,,,
14,1715291100000,101448206.0,89868859.07202113,2.6271,0.7243,0.2757,1.4523,0.5922,0.4078,3.1964,0.7617,0.2383,,,,,,,
15,1715291400000,101205983.0,89477043.50759992,2.6284,0.7244,0.2756,1.4529,0.5923,0.4077,3.2123,0.7626,0.2374,,,,,,,
16,1715291700000,101153223.0,89615851.2643735,2.6258,0.7242,0.2758,1.4529,0.5923,0.4077,3.2123,0.7626,0.2374,,,,,,,
17,1715292000000,101127137.0,89464190.80827302,2.6337,0.7248,0.2752,1.4527,0.5923,0.4077,3.2176,0.7629,0.2371,,,,,,,
18,1715292300000,101116984.0,89520708.28664848,2.647,0.7258,0.2742,1.4537,0.5925,0.4075,3.2212,0.7631,0.2369,,,,,,,
19,1715292600000,101056667.0,89455361.6284,2.643,0.7255,0.2745,1.4541,0.5925,0.4075,3.2105,0.7625,0.2375,,,,,,,
20,1715292900000,101037476.0,89582886.64674804,2.6284,0.7244,0.2756,1.4543,0.5926,0.4074,3.1701,0.7602,0.2398,,,,,,,
21,1715293200000,101132720.0,89766171.8919992,2.6219,0.7239,0.2761,1.4533,0.5924,0.4076,3.1649,0.7599,0.2401,,,,,,,
22,1715293500000,101138473.0,89889054.05038802,2.6088,0.7229,0.2771,1.4544,0.5926,0.4074,3.1459,0.7588,0.2412,,,,,,,
23,1715293800000,101139904.0,90072662.92500672,2.6311,0.7246,0.2754,1.4536,0.5924,0.4076,3.1789,0.7607,0.2393,,,,,,,
24,1715294100000,100927452.0,89585669.0250288,2.6245,0.7241,0.2759,1.4529,0.5923,0.4077,3.1597,0.7596,0.2404,,,,,,,
25,1715294400000,100995726.0,89896295.7126,2.6298,0.7245,0.2755,1.4521,0.5922,0.4078,3.1649,0.7599,0.2401,,,,,,,
26,1715294700000,100946045.0,90077475.0594596,2.5791,0.7206,0.2794,1.455,0.5927,0.4073,3.065,0.754,0.246,,,,,,,
27,1715295000000,101055456.0,90697444.56482977,2.5842,0.721,0.279,1.4556,0.5928,0.4072,3.0601,0.7537,0.2463,,,,,,,
28,1715295300000,100964400.0,90688276.686252,2.5971,0.722,0.278,1.4549,0.5926,0.4074,3.0816,0.755,0.245,,,,,,,
