,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715287200000,8999428.0,9864633.00792,5.8634,0.8543,0.1457,3.4684,0.7762,0.2238,4.7078,0.8248,0.1752,,,,,,,
1,1715287500000,9003048.0,9864909.78504,5.8353,0.8537,0.1463,3.4938,0.7775,0.2225,4.7013,0.8246,0.1754,,,,,,,
2,1715287800000,9004668.0,9883163.41008,5.8259,0.8535,0.1465,3.4863,0.7771,0.2229,4.7274,0.8254,0.1746,,,,,,,
3,1715288100000,9010484.0,9904152.09276528,5.8446,0.8539,0.1461,3.4924,0.7774,0.2226,4.6786,0.8239,0.1761,,,,,,,
4,1715288400000,8986457.0,9928011.68420645,5.8306,0.8536,0.1464,3.4862,0.7771,0.2229,4.6915,0.8243,0.1757,,,,,,,
5,1715288700000,8964082.0,9953268.4487,5.7568,0.852,0.148,3.5188,0.7787,0.2213,4.7307,0.8255,0.1745,,,,,,,
6,1715289000000,8938095.0,9940842.7169076,5.6667,0.85,0.15,3.5048,0.778,0.222,4.6465,0.8229,0.1771,,,,,,,
7,1715289300000,8905909.0,9904817.1276216,5.7159,0.8511,0.1489,3.4949,0.7775,0.2225,4.7143,0.825,0.175,,,,,,,
8,1715289600000,8891276.0,9879985.8912,5.6489,0.8496,0.1504,3.5028,0.7779,0.2221,4.5866,0.821,0.179,,,,,,,
9,1715289900000,8891208.0,9897420.85245936,5.6578,0.8498,0.1502,3.4977,0.7777,0.2223,4.6243,0.8222,0.1778,,,,,,,
10,1715290200000,8941973.0,9939291.45754898,5.6269,0.8491,0.1509,3.4951,0.7775,0.2225,4.6721,0.8237,0.1763,,,,,,,
11,1715290500000,8943314.0,9978441.51266538,5.6979,0.8507,0.1493,3.4922,0.7774,0.2226,4.6561,0.8232,0.1768,,,,,,,
12,1715290800000,8938257.0,9965837.01231225,5.5789,0.848,0.152,3.4907,0.7773,0.2227,4.5741,0.8206,0.1794,,,,,,,
13,1715291100000,8916945.0,9929909.952,5.5445,0.8472,0.1528,3.4824,0.7769,0.2231,4.6306,0.8224,0.1776,,,,,,,
14,1715291400000,8871013.0,9887702.23532426,5.5746,0.8479,0.1521,3.4797,0.7768,0.2232,4.7013,0.8246,0.1754,,,,,,,
15,1715291700000,8865990.0,9894403.9677861,5.5317,0.8469,0.1531,3.4787,0.7767,0.2233,4.6915,0.8243,0.1757,,,,,,,
