,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,1622643021.0,3313437.048882,4.9559,0.8321,0.1679,2.3185,0.6987,0.3013,4.277,0.8105,0.1895,,,,,,,
1,1715287200000,1624662249.0,3328120.6170765,4.9347,0.8315,0.1685,2.315,0.6983,0.3017,4.2659,0.8101,0.1899,,,,,,,
2,1715287500000,1627145697.0,3334672.3914318,4.8997,0.8305,0.1695,2.3159,0.6984,0.3016,4.2383,0.8091,0.1909,,,,,,,
3,1715287800000,1626382961.0,3332458.687089,4.8962,0.8304,0.1696,2.3122,0.6981,0.3019,4.2356,0.809,0.191,,,,,,,
4,1715288100000,1628339354.0,3333422.34175402,4.9242,0.8312,0.1688,2.3128,0.6981,0.3019,4.2411,0.8092,0.1908,,,,,,,
5,1715288400000,1630243897.0,3340369.744953,4.9277,0.8313,0.1687,2.3076,0.6977,0.3023,4.2659,0.8101,0.1899,,,,,,,
6,1715288700000,1636976940.0,3367523.4818904,4.8173,0.8281,0.1719,2.3026,0.6972,0.3028,4.1787,0.8069,0.1931,,,,,,,
7,1715289000000,1636273238.0,3365437.70772126,4.8858,0.8301,0.1699,2.3014,0.6971,0.3029,4.2576,0.8098,0.1902,,,,,,,
8,1715289300000,1638571198.0,3362348.098296,4.8858,0.8301,0.1699,2.3114,0.698,0.302,4.2576,0.8098,0.1902,,,,,,,
9,1715289600000,1636053265.0,3351455.1133525,4.8685,0.8296,0.1704,2.3218,0.699,0.301,4.2274,0.8087,0.1913,,,,,,,
10,1715289900000,1635155202.0,3350433.008898,4.8309,0.8285,0.1715,2.3259,0.6993,0.3007,4.1867,0.8072,0.1928,,,,,,,
11,1715290200000,1636777522.0,3353871.71700454,4.8445,0.8289,0.1711,2.3297,0.6997,0.3003,4.1867,0.8072,0.1928,,,,,,,
12,1715290500000,1635072926.0,3351425.32715146,4.7904,0.8273,0.1727,2.3276,0.6995,0.3005,4.1733,0.8067,0.1933,,,,,,,
13,1715290800000,1636161953.0,3354819.19167026,4.7803,0.827,0.173,2.3221,0.699,0.301,4.176,0.8068,0.1932,,,,,,,
14,1715291100000,1635508005.0,3351417.5835258,4.7971,0.8275,0.1725,2.3236,0.6991,0.3009,4.1813,0.807,0.193,,,,,,,
15,1715291400000,1636981343.0,3357448.734493,4.7737,0.8268,0.1732,2.3258,0.6993,0.3007,4.176,0.8068,0.1932,,,,,,,
16,1715291700000,1640983923.0,3372304.01096115,4.7604,0.8264,0.1736,2.3177,0.6986,0.3014,4.1813,0.807,0.193,,,,,,,
17,1715292000000,1639574095.0,3367931.12724425,4.7571,0.8263,0.1737,2.3218,0.699,0.301,4.1733,0.8067,0.1933,,,,,,,
