,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,9367660.0,10266018.594,2.827,0.7387,0.2613,1.5135,0.6022,0.3978,2.3245,0.6992,0.3008,,,,,,,
1,1715287200000,9396251.0,10337755.3502,2.8314,0.739,0.261,1.5117,0.6019,0.3981,2.3234,0.6991,0.3009,,,,,,,
2,1715287500000,9433751.0,10412407.3853649,2.8314,0.739,0.261,1.506,0.601,0.399,2.3322,0.6999,0.3001,,,,,,,
3,1715287800000,9463584.0,10471934.36407872,2.7679,0.7346,0.2654,1.5159,0.6025,0.3975,2.3069,0.6976,0.3024,,,,,,,
4,1715288100000,9470661.0,10432880.1576,2.8153,0.7379,0.2621,1.5169,0.6027,0.3973,2.3356,0.7002,0.2998,,,,,,,
5,1715288400000,9480800.0,10460454.192664,2.8168,0.738,0.262,1.5235,0.6037,0.3963,2.3256,0.6993,0.3007,,,,,,,
6,1715288700000,9451899.0,10464227.72349579,2.8052,0.7372,0.2628,1.5189,0.603,0.397,2.3267,0.6994,0.3006,,,,,,,
7,1715289000000,9355178.0,10418861.7386,2.7922,0.7363,0.2637,1.5239,0.6038,0.3962,2.34,0.7006,0.2994,,,,,,,
8,1715289300000,9422317.0,10508367.74310022,2.8023,0.737,0.263,1.5256,0.6041,0.3959,2.3311,0.6998,0.3002,,,,,,,
9,1715289600000,9433715.0,10476326.7290341,2.7994,0.7368,0.2632,1.5236,0.6037,0.3963,2.3445,0.701,0.299,,,,,,,
10,1715289900000,9453415.0,10521650.895,2.7908,0.7362,0.2638,1.5142,0.6023,0.3977,2.349,0.7014,0.2986,,,,,,,
11,1715290200000,9442844.0,10456782.68891004,2.8183,0.7381,0.2619,1.5168,0.6027,0.3973,2.3512,0.7016,0.2984,,,,,,,
12,1715290500000,9401807.0,10380150.38675756,2.8168,0.738,0.262,1.5173,0.6027,0.3973,2.3546,0.7019,0.2981,,,,,,,
13,1715290800000,9357850.0,10291763.43,2.8491,0.7402,0.2598,1.5184,0.6029,0.3971,2.3727,0.7035,0.2965,,,,,,,
14,1715291100000,9322587.0,10251116.6652,2.8432,0.7398,0.2602,1.5154,0.6025,0.3975,2.3727,0.7035,0.2965,,,,,,,
15,1715291400000,9312642.0,10279575.66764124,2.8417,0.7397,0.2603,1.5116,0.6018,0.3982,2.3772,0.7039,0.2961,,,,,,,
16,1715291700000,9312513.0,10282896.22462704,2.858,0.7408,0.2592,1.5103,0.6016,0.3984,2.3807,0.7042,0.2958,,,,,,,
17,1715292000000,9306242.0,10287119.9068,2.8344,0.7392,0.2608,1.5072,0.6011,0.3989,2.3704,0.7033,0.2967,,,,,,,
18,1715292300000,9302440.0,10297228.7938912,2.8124,0.7377,0.2623,1.5097,0.6015,0.3985,2.3591,0.7023,0.2977,,,,,,,
19,1715292600000,9279523.0,10273359.9133,2.867,0.7414,0.2586,1.5053,0.6008,0.3992,2.3967,0.7056,0.2944,,,,,,,
20,1715292900000,9261600.0,10300944.253896,2.8432,0.7398,0.2602,1.5076,0.6012,0.3988,2.3681,0.7031,0.2969,,,,,,,
21,1715293200000,9262763.0,10308528.9427,2.8256,0.7386,0.2614,1.5054,0.6009,0.3991,2.367,0.703,0.297,,,,,,,
