,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,6483141.0,3897966.09458214,2.951,0.7469,0.2531,1.5808,0.6125,0.3875,2.5714,0.72,0.28,,,,,,,
1,1715287200000,6475756.0,3902938.1412,2.9324,0.7457,0.2543,1.5769,0.6119,0.3881,2.5587,0.719,0.281,,,,,,,
2,1715287500000,6468823.0,3901589.27934489,2.9339,0.7458,0.2542,1.58,0.6124,0.3876,2.5562,0.7188,0.2812,,,,,,,
3,1715287800000,6467741.0,3900047.823,2.9479,0.7467,0.2533,1.5785,0.6122,0.3878,2.5907,0.7215,0.2785,,,,,,,
4,1715288100000,6467970.0,3901876.1199204,2.951,0.7469,0.2531,1.579,0.6123,0.3877,2.5842,0.721,0.279,,,,,,,
5,1715288400000,6464098.0,3902375.9626,2.9308,0.7456,0.2544,1.5819,0.6127,0.3873,2.5663,0.7196,0.2804,,,,,,,
6,1715288700000,6464322.0,3911285.02172094,2.9108,0.7443,0.2557,1.5781,0.6121,0.3879,2.5587,0.719,0.281,,,,,,,
7,1715289000000,6586282.0,3993921.4048,2.882,0.7424,0.2576,1.5735,0.6114,0.3886,2.5174,0.7157,0.2843,,,,,,,
8,1715289300000,6577322.0,3976825.87693502,2.8536,0.7405,0.2595,1.5774,0.612,0.388,2.5186,0.7158,0.2842,,,,,,,
9,1715289600000,6567852.0,3968031.23125032,2.879,0.7422,0.2578,1.5783,0.6122,0.3878,2.5373,0.7173,0.2827,,,,,,,
10,1715289900000,6565167.0,3967087.30996599,2.867,0.7414,0.2586,1.5793,0.6123,0.3877,2.5249,0.7163,0.2837,,,,,,,
11,1715290200000,6563946.0,3965144.16747564,2.867,0.7414,0.2586,1.5802,0.6124,0.3876,2.5286,0.7166,0.2834,,,,,,,
12,1715290500000,6558070.0,3962616.6724833,2.858,0.7408,0.2592,1.582,0.6127,0.3873,2.5224,0.7161,0.2839,,,,,,,
13,1715290800000,6555594.0,3962716.87329186,2.8625,0.7411,0.2589,1.5829,0.6128,0.3872,2.5249,0.7163,0.2837,,,,,,,
14,1715291100000,6550790.0,3961879.0113232,2.8506,0.7403,0.2597,1.5825,0.6128,0.3872,2.5186,0.7158,0.2842,,,,,,,
15,1715291400000,6430785.0,3883402.31744295,2.9154,0.7446,0.2554,1.5904,0.614,0.386,2.5829,0.7209,0.2791,,,,,,,
16,1715291700000,6428985.0,3885035.6355,2.9154,0.7446,0.2554,1.5912,0.6141,0.3859,2.5868,0.7212,0.2788,,,,,,,
17,1715292000000,6427891.0,3887738.50377594,2.937,0.746,0.254,1.5914,0.6141,0.3859,2.6023,0.7224,0.2776,,,,,,,
18,1715292300000,6418273.0,3883055.165,2.9573,0.7473,0.2527,1.5937,0.6145,0.3855,2.6023,0.7224,0.2776,,,,,,,
19,1715292600000,6399482.0,3878726.0402,2.9139,0.7445,0.2555,1.598,0.6151,0.3849,2.5702,0.7199,0.2801,,,,,,,
20,1715292900000,6396785.0,3879785.714342,2.9017,0.7437,0.2563,1.5963,0.6148,0.3852,2.574,0.7202,0.2798,,,,,,,
21,1715293200000,6400869.0,3877006.3533,2.9339,0.7458,0.2542,1.5955,0.6147,0.3853,2.601,0.7223,0.2777,,,,,,,
22,1715293500000,6400775.0,3873285.42186675,2.9526,0.747,0.253,1.5952,0.6147,0.3853,2.6206,0.7238,0.2762,,,,,,,
23,1715293800000,6400878.0,3876371.7168,2.9541,0.7471,0.2529,1.5935,0.6144,0.3856,2.6153,0.7234,0.2766,,,,,,,
24,1715294100000,6399253.0,3875387.6168,2.9557,0.7472,0.2528,1.5927,0.6143,0.3857,2.614,0.7233,0.2767,,,,,,,
25,1715294400000,6398414.0,3882880.47917044,2.937,0.746,0.254,1.5923,0.6142,0.3858,2.601,0.7223,0.2777,,,,,,,
26,1715294700000,6396928.0,3888052.8384,2.9339,0.7458,0.2542,1.5923,0.6142,0.3858,2.5817,0.7208,0.2792,,,,,,,
27,1715295000000,6390439.0,3896250.6583,2.9432,0.7464,0.2536,1.598,0.6151,0.3849,2.5804,0.7207,0.2793,,,,,,,
28,1715295300000,6390998.0,3895952.3808,2.9746,0.7484,0.2516,1.6,0.6154,0.3846,2.5945,0.7218,0.2782,,,,,,,
29,1715295600000,6394183.0,3898533.3751,2.9683,0.748,0.252,1.6023,0.6157,0.3843,2.5791,0.7206,0.2794,,,,,,,
30,1715295900000,6392244.0,3896711.9424,2.9683,0.748,0.252,1.6018,0.6156,0.3844,2.5587,0.719,0.281,,,,,,,
31,1715296200000,6386491.0,3886287.51360317,2.9746,0.7484,0.2516,1.6029,0.6158,0.3842,2.5765,0.7204,0.2796,,,,,,,
32,1715296500000,6383708.0,3877464.2392,2.992,0.7495,0.2505,1.6043,0.616,0.384,2.5868,0.7212,0.2788,,,,,,,
33,1715296800000,6380831.0,3879545.248,2.9904,0.7494,0.2506,1.6042,0.616,0.384,2.5791,0.7206,0.2794,,,,,,,
34,1715297100000,6380649.0,3874472.3612727,2.9952,0.7497,0.2503,1.6049,0.6161,0.3839,2.5894,0.7214,0.2786,,,,,,,
35,1715297400000,6377799.0,3876780.58271244,2.9952,0.7497,0.2503,1.6049,0.6161,0.3839,2.5894,0.7214,0.2786,,,,,,,
36,1715297700000,6370665.0,3873787.52327595,2.9793,0.7487,0.2513,1.6061,0.6163,0.3837,2.5676,0.7197,0.2803,,,,,,,
37,1715298000000,6368108.0,3869899.2316,2.9714,0.7482,0.2518,1.6061,0.6163,0.3837,2.5638,0.7194,0.2806,,,,,,,
38,1715298300000,6366365.0,3872248.1803391,2.9809,0.7488,0.2512,1.6068,0.6164,0.3836,2.5702,0.7199,0.2801,,,,,,,
39,1715298600000,6360281.0,3885344.41541782,2.9683,0.748,0.252,1.6045,0.6161,0.3839,2.5651,0.7195,0.2805,,,,,,,
40,1715298900000,6355932.0,3885381.2316,2.9401,0.7462,0.2538,1.6044,0.616,0.384,2.5411,0.7176,0.2824,,,,,,,
41,1715299200000,6394394.0,3902511.25515618,2.9857,0.7491,0.2509,1.605,0.6161,0.3839,2.614,0.7233,0.2767,,,,,,,
42,1715299500000,6406376.0,3902764.2592,2.9635,0.7477,0.2523,1.6012,0.6156,0.3844,2.6443,0.7256,0.2744,,,,,,,
43,1715299800000,6399910.0,3906628.8382594,2.9494,0.7468,0.2532,1.5999,0.6154,0.3846,2.6311,0.7246,0.2754,,,,,,,
44,1715300100000,6405513.0,3911206.2378,2.92,0.7449,0.2551,1.5974,0.615,0.385,2.6179,0.7236,0.2764,,,,,,,
45,1715300400000,6398525.0,3911418.3325,2.9339,0.7458,0.2542,1.5989,0.6152,0.3848,2.6166,0.7235,0.2765,,,,,,,
46,1715300700000,6382226.0,3900862.1641159,2.9246,0.7452,0.2548,1.5984,0.6152,0.3848,2.6245,0.7241,0.2759,,,,,,,
47,1715301000000,6368164.0,3880759.1416,2.9841,0.749,0.251,1.5994,0.6153,0.3847,2.7037,0.73,0.27,,,,,,,
48,1715301300000,6371953.0,3886254.1347,2.9324,0.7457,0.2543,1.5984,0.6152,0.3848,2.647,0.7258,0.2742,,,,,,,
49,1715301600000,6374197.0,3886923.5008891,2.9386,0.7461,0.2539,1.5976,0.615,0.385,2.659,0.7267,0.2733,,,,,,,
50,1715301900000,6380014.0,3893084.5428,2.9339,0.7458,0.2542,1.5986,0.6152,0.3848,2.6603,0.7268,0.2732,,,,,,,
51,1715302200000,6378701.0,3883640.14655799,2.9324,0.7457,0.2543,1.5983,0.6151,0.3849,2.6576,0.7266,0.2734,,,,,,,
52,1715302500000,6380130.0,3884861.157,2.9277,0.7454,0.2546,1.5976,0.615,0.385,2.663,0.727,0.273,,,,,,,
53,1715302800000,6383536.0,3881828.2416,2.9432,0.7464,0.2536,1.5994,0.6153,0.3847,2.6765,0.728,0.272,,,,,,,
54,1715303100000,6377029.0,3881059.8494,2.9355,0.7459,0.2541,1.6039,0.616,0.384,2.6617,0.7269,0.2731,,,,,,,
55,1715303400000,6374054.0,3871600.3996,2.9448,0.7465,0.2535,1.6056,0.6162,0.3838,2.663,0.727,0.273,,,,,,,
56,1715303700000,6369629.0,3873827.71512156,2.9139,0.7445,0.2555,1.6068,0.6164,0.3836,2.639,0.7252,0.2748,,,,,,,
57,1715304000000,6367505.0,3882904.549,2.9093,0.7442,0.2558,1.6082,0.6166,0.3834,2.6364,0.725,0.275,,,,,,,
58,1715304300000,6366287.0,3882239.35397566,2.9139,0.7445,0.2555,1.6123,0.6172,0.3828,2.635,0.7249,0.2751,,,,,,,
59,1715304600000,6361092.0,3878768.46449952,2.9277,0.7454,0.2546,1.6136,0.6174,0.3826,2.6496,0.726,0.274,,,,,,,
60,1715304900000,6369069.0,3885768.9969,2.9324,0.7457,0.2543,1.6187,0.6181,0.3819,2.6284,0.7244,0.2756,,,,,,,
61,1715305200000,6355209.0,3882377.73116046,3.0064,0.7504,0.2496,1.6214,0.6185,0.3815,2.6697,0.7275,0.2725,,,,,,,
62,1715305500000,6355137.0,3884895.2481,2.9952,0.7497,0.2503,1.621,0.6185,0.3815,2.6417,0.7254,0.2746,,,,,,,
63,1715305800000,6355393.0,3881238.5051,3.0225,0.7514,0.2486,1.6198,0.6183,0.3817,2.6456,0.7257,0.2743,,,,,,,
64,1715306100000,6354409.0,3886356.5444,2.973,0.7483,0.2517,1.7051,0.6303,0.3697,2.6456,0.7257,0.2743,,,,,,,
65,1715306400000,6351750.0,3882924.497475,2.9635,0.7477,0.2523,1.7059,0.6304,0.3696,2.6377,0.7251,0.2749,,,,,,,
66,1715306700000,6351323.0,3885739.4114,2.9904,0.7494,0.2506,1.71,0.631,0.369,2.5932,0.7217,0.2783,,,,,,,
67,1715307000000,6352343.0,3878105.4015,2.9698,0.7481,0.2519,1.7099,0.631,0.369,2.6166,0.7235,0.2765,,,,,,,
68,1715307300000,6354713.0,3870655.6883,3.0274,0.7517,0.2483,1.7131,0.6314,0.3686,2.655,0.7264,0.2736,,,,,,,
69,1715307600000,6350540.0,3871872.798626,3.0371,0.7523,0.2477,1.7142,0.6316,0.3684,2.6496,0.726,0.274,,,,,,,
70,1715307900000,6350830.0,3873371.217,3.0535,0.7533,0.2467,1.7162,0.6318,0.3682,2.6403,0.7253,0.2747,,,,,,,
71,1715308200000,6355091.0,3875970.0009,3.0535,0.7533,0.2467,1.7168,0.6319,0.3681,2.647,0.7258,0.2742,,,,,,,
